# x  u(x)  d(x)  ubar(x)  dbar(x)
1.0000000000e-04 6.6841242194e+03 6.6047294173e+03 6.5809768116e+03 6.5921511483e+03
1.0309198249e-04 6.4476925196e+03 6.3694078107e+03 6.3457668885e+03 6.3568566959e+03
1.0627956855e-04 6.2195785340e+03 6.1423906003e+03 6.1188589925e+03 6.1298648720e+03
1.0956571420e-04 5.9995253313e+03 5.9234210159e+03 5.8999956442e+03 5.9109182530e+03
1.1295346690e-04 5.7872593039e+03 5.7122262276e+03 5.6889048485e+03 5.6997445672e+03
1.1644596833e-04 5.5824504686e+03 5.5084780391e+03 5.4852624697e+03 5.4960187849e+03
1.2004645728e-04 5.3848371516e+03 5.3119141725e+03 5.2888056152e+03 5.2994782718e+03
1.2375827272e-04 5.1941720654e+03 5.1222866421e+03 5.0992853944e+03 5.1098744524e+03
1.2758485685e-04 5.0102161727e+03 4.9393558030e+03 4.9164613669e+03 4.9269671652e+03
1.3152975829e-04 4.8327384211e+03 4.7628900788e+03 4.7401012616e+03 4.7505243848e+03
1.3559663539e-04 4.6615154849e+03 4.5926656971e+03 4.5699807050e+03 4.5803219522e+03
1.3978925962e-04 4.4963315155e+03 4.4284664342e+03 4.4058829577e+03 4.4161433140e+03
1.4411151906e-04 4.3369754828e+03 4.2700814093e+03 4.2475975848e+03 4.2577779820e+03
1.4856742200e-04 4.1832336185e+03 4.1172990434e+03 4.0949169686e+03 4.1050173708e+03
1.5316110068e-04 4.0349108235e+03 3.9699243972e+03 3.9476457022e+03 3.9576660932e+03
1.5789681510e-04 3.8918203908e+03 3.8277706000e+03 3.8055958583e+03 3.8155363898e+03
1.6277895698e-04 3.7537818464e+03 3.6906570455e+03 3.6685858992e+03 3.6784468709e+03
1.6781205383e-04 3.6206207490e+03 3.5584091893e+03 3.5364404648e+03 3.5462223065e+03
1.7300077316e-04 3.4921684955e+03 3.4308583521e+03 3.4089901662e+03 3.4186934211e+03
1.7834992678e-04 3.3682621331e+03 3.3078415290e+03 3.2860713878e+03 3.2956966968e+03
1.8386447530e-04 3.2487410433e+03 3.1891981906e+03 3.1675236074e+03 3.1770715833e+03
