     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     0.750     0.010    0.319E+00    0.290E+00    0.000E+00    0.194E+00    0.215E+00    0.554E-01    0.554E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.020    0.336E+00    0.312E+00    0.369E+00    0.164E+00    0.185E+00    0.474E-01    0.474E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.030    0.361E+00    0.330E+00    0.723E+00    0.149E+00    0.166E+00    0.429E-01    0.429E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.040    0.388E+00    0.346E+00    0.927E+00    0.139E+00    0.151E+00    0.401E-01    0.401E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.050    0.413E+00    0.359E+00    0.107E+01    0.131E+00    0.140E+00    0.378E-01    0.378E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.060    0.438E+00    0.370E+00    0.117E+01    0.122E+00    0.132E+00    0.360E-01    0.360E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.070    0.462E+00    0.380E+00    0.124E+01    0.114E+00    0.126E+00    0.343E-01    0.343E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.080    0.484E+00    0.389E+00    0.129E+01    0.105E+00    0.121E+00    0.329E-01    0.329E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.090    0.506E+00    0.396E+00    0.132E+01    0.975E-01    0.117E+00    0.315E-01    0.315E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.100    0.527E+00    0.403E+00    0.134E+01    0.900E-01    0.113E+00    0.302E-01    0.302E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.110    0.547E+00    0.408E+00    0.134E+01    0.830E-01    0.110E+00    0.290E-01    0.290E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.120    0.567E+00    0.411E+00    0.133E+01    0.767E-01    0.106E+00    0.279E-01    0.279E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.130    0.585E+00    0.414E+00    0.132E+01    0.711E-01    0.103E+00    0.268E-01    0.268E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.140    0.603E+00    0.416E+00    0.129E+01    0.661E-01    0.989E-01    0.258E-01    0.258E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.150    0.621E+00    0.417E+00    0.127E+01    0.617E-01    0.951E-01    0.247E-01    0.247E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.160    0.637E+00    0.417E+00    0.123E+01    0.578E-01    0.912E-01    0.237E-01    0.237E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.170    0.652E+00    0.416E+00    0.120E+01    0.544E-01    0.872E-01    0.228E-01    0.228E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.180    0.666E+00    0.415E+00    0.116E+01    0.514E-01    0.831E-01    0.219E-01    0.219E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.190    0.679E+00    0.413E+00    0.112E+01    0.488E-01    0.789E-01    0.210E-01    0.210E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.200    0.691E+00    0.410E+00    0.107E+01    0.465E-01    0.748E-01    0.201E-01    0.201E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.210    0.701E+00    0.407E+00    0.103E+01    0.444E-01    0.707E-01    0.192E-01    0.192E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.220    0.711E+00    0.403E+00    0.983E+00    0.425E-01    0.666E-01    0.184E-01    0.184E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     0.750     0.230    0.719E+00    0.398E+00    0.938E+00    0.407E-01    0.627E-01    0.176E-01    0.176E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
