     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
    16.000     0.010    0.493E+00    0.454E+00    0.544E+01    0.319E+00    0.339E+00    0.198E+00    0.198E+00    0.111E+00    0.111E+00    0.891E-17    0.891E-17
    16.000     0.020    0.490E+00    0.439E+00    0.388E+01    0.254E+00    0.272E+00    0.154E+00    0.154E+00    0.811E-01    0.811E-01    0.000E+00    0.000E+00
    16.000     0.030    0.500E+00    0.432E+00    0.308E+01    0.216E+00    0.231E+00    0.128E+00    0.128E+00    0.649E-01    0.649E-01    0.000E+00    0.000E+00
    16.000     0.040    0.515E+00    0.428E+00    0.263E+01    0.191E+00    0.204E+00    0.112E+00    0.112E+00    0.551E-01    0.551E-01    0.835E-17    0.835E-17
    16.000     0.050    0.529E+00    0.424E+00    0.229E+01    0.170E+00    0.184E+00    0.991E-01    0.991E-01    0.473E-01    0.473E-01    0.000E+00    0.000E+00
    16.000     0.060    0.541E+00    0.420E+00    0.202E+01    0.152E+00    0.167E+00    0.886E-01    0.886E-01    0.413E-01    0.413E-01    0.000E+00    0.000E+00
    16.000     0.070    0.553E+00    0.415E+00    0.181E+01    0.136E+00    0.154E+00    0.797E-01    0.797E-01    0.362E-01    0.362E-01    0.000E+00    0.000E+00
    16.000     0.080    0.563E+00    0.410E+00    0.162E+01    0.122E+00    0.142E+00    0.721E-01    0.721E-01    0.320E-01    0.320E-01    0.000E+00    0.000E+00
    16.000     0.090    0.572E+00    0.404E+00    0.147E+01    0.110E+00    0.132E+00    0.654E-01    0.654E-01    0.284E-01    0.284E-01    0.000E+00    0.000E+00
    16.000     0.100    0.580E+00    0.398E+00    0.133E+01    0.993E-01    0.123E+00    0.596E-01    0.596E-01    0.252E-01    0.252E-01    0.000E+00    0.000E+00
    16.000     0.110    0.587E+00    0.392E+00    0.121E+01    0.899E-01    0.114E+00    0.544E-01    0.544E-01    0.225E-01    0.225E-01    0.121E-17    0.121E-17
    16.000     0.120    0.593E+00    0.385E+00    0.110E+01    0.816E-01    0.106E+00    0.497E-01    0.497E-01    0.201E-01    0.201E-01    0.233E-16    0.233E-16
    16.000     0.130    0.598E+00    0.377E+00    0.100E+01    0.743E-01    0.990E-01    0.455E-01    0.455E-01    0.180E-01    0.180E-01    0.181E-16    0.181E-16
    16.000     0.140    0.601E+00    0.370E+00    0.916E+00    0.679E-01    0.920E-01    0.417E-01    0.417E-01    0.161E-01    0.161E-01    0.000E+00    0.000E+00
    16.000     0.150    0.604E+00    0.362E+00    0.838E+00    0.623E-01    0.854E-01    0.382E-01    0.382E-01    0.144E-01    0.144E-01    0.000E+00    0.000E+00
    16.000     0.160    0.605E+00    0.353E+00    0.766E+00    0.573E-01    0.791E-01    0.351E-01    0.351E-01    0.129E-01    0.129E-01    0.000E+00    0.000E+00
    16.000     0.170    0.605E+00    0.345E+00    0.700E+00    0.529E-01    0.732E-01    0.322E-01    0.322E-01    0.116E-01    0.116E-01    0.000E+00    0.000E+00
    16.000     0.180    0.605E+00    0.336E+00    0.640E+00    0.489E-01    0.676E-01    0.296E-01    0.296E-01    0.104E-01    0.104E-01    0.000E+00    0.000E+00
    16.000     0.190    0.603E+00    0.327E+00    0.586E+00    0.454E-01    0.624E-01    0.271E-01    0.271E-01    0.931E-02    0.931E-02    0.000E+00    0.000E+00
    16.000     0.200    0.600E+00    0.318E+00    0.535E+00    0.422E-01    0.575E-01    0.249E-01    0.249E-01    0.835E-02    0.835E-02    0.000E+00    0.000E+00
    16.000     0.210    0.596E+00    0.309E+00    0.489E+00    0.392E-01    0.529E-01    0.229E-01    0.229E-01    0.747E-02    0.747E-02    0.000E+00    0.000E+00
