 Q**2=      1.69 GeV**2
 x times the labelled pdf
      x         u           d           g          ub          db          sb           s          cb           c          bb           b
     0.050   0.457E+00   0.384E+00   0.163E+01   0.146E+00   0.157E+00   0.605E-01   0.605E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.100   0.552E+00   0.405E+00   0.139E+01   0.948E-01   0.119E+00   0.428E-01   0.428E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.150   0.621E+00   0.400E+00   0.113E+01   0.632E-01   0.938E-01   0.314E-01   0.314E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.200   0.664E+00   0.379E+00   0.874E+00   0.459E-01   0.698E-01   0.231E-01   0.231E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.250   0.677E+00   0.347E+00   0.647E+00   0.353E-01   0.492E-01   0.169E-01   0.169E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.300   0.661E+00   0.308E+00   0.459E+00   0.273E-01   0.336E-01   0.122E-01   0.122E-01   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.350   0.620E+00   0.264E+00   0.312E+00   0.204E-01   0.226E-01   0.861E-02   0.861E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.400   0.560E+00   0.217E+00   0.202E+00   0.145E-01   0.151E-01   0.591E-02   0.591E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.450   0.488E+00   0.171E+00   0.124E+00   0.975E-02   0.988E-02   0.393E-02   0.393E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.500   0.410E+00   0.127E+00   0.716E-01   0.622E-02   0.624E-02   0.249E-02   0.249E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.550   0.330E+00   0.885E-01   0.386E-01   0.372E-02   0.372E-02   0.149E-02   0.149E-02   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.600   0.254E+00   0.573E-01   0.190E-01   0.204E-02   0.204E-02   0.817E-03   0.817E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.650   0.184E+00   0.340E-01   0.846E-02   0.987E-03   0.987E-03   0.395E-03   0.395E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.700   0.125E+00   0.180E-01   0.327E-02   0.379E-03   0.379E-03   0.152E-03   0.152E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.750   0.769E-01   0.818E-02   0.105E-02   0.744E-04   0.744E-04   0.298E-04   0.298E-04   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.800   0.416E-01   0.303E-02   0.256E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.850   0.184E-01   0.843E-03   0.406E-04   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.900   0.559E-02   0.139E-03   0.286E-05   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
     0.950   0.688E-03   0.778E-05   0.129E-07   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00
 Q**2=      2.25 GeV**2
 x times the labelled pdf
      x         u           d           g          ub          db          sb           s          cb           c          bb           b
     0.050   0.470E+00   0.392E+00   0.181E+01   0.150E+00   0.161E+00   0.670E-01   0.670E-01   0.800E-02   0.800E-02   0.000E+00   0.000E+00
     0.100   0.559E+00   0.405E+00   0.142E+01   0.963E-01   0.121E+00   0.465E-01   0.465E-01   0.511E-02   0.511E-02   0.000E+00   0.000E+00
     0.150   0.622E+00   0.395E+00   0.109E+01   0.638E-01   0.931E-01   0.334E-01   0.334E-01   0.330E-02   0.330E-02   0.000E+00   0.000E+00
     0.200   0.656E+00   0.370E+00   0.815E+00   0.458E-01   0.681E-01   0.241E-01   0.241E-01   0.210E-02   0.210E-02   0.000E+00   0.000E+00
     0.250   0.662E+00   0.335E+00   0.587E+00   0.348E-01   0.475E-01   0.172E-01   0.172E-01   0.130E-02   0.130E-02   0.000E+00   0.000E+00
     0.300   0.639E+00   0.294E+00   0.406E+00   0.264E-01   0.320E-01   0.122E-01   0.122E-01   0.784E-03   0.784E-03   0.000E+00   0.000E+00
     0.350   0.593E+00   0.249E+00   0.270E+00   0.194E-01   0.213E-01   0.842E-02   0.842E-02   0.453E-03   0.453E-03   0.000E+00   0.000E+00
     0.400   0.531E+00   0.203E+00   0.171E+00   0.136E-01   0.141E-01   0.568E-02   0.568E-02   0.250E-03   0.250E-03   0.000E+00   0.000E+00
     0.450   0.458E+00   0.158E+00   0.103E+00   0.900E-02   0.911E-02   0.370E-02   0.370E-02   0.131E-03   0.131E-03   0.000E+00   0.000E+00
     0.500   0.381E+00   0.116E+00   0.587E-01   0.566E-02   0.568E-02   0.231E-02   0.231E-02   0.645E-04   0.645E-04   0.000E+00   0.000E+00
     0.550   0.303E+00   0.799E-01   0.312E-01   0.334E-02   0.334E-02   0.135E-02   0.135E-02   0.294E-04   0.294E-04   0.000E+00   0.000E+00
     0.600   0.231E+00   0.512E-01   0.153E-01   0.181E-02   0.181E-02   0.731E-03   0.731E-03   0.122E-04   0.122E-04   0.000E+00   0.000E+00
     0.650   0.166E+00   0.300E-01   0.675E-02   0.858E-03   0.858E-03   0.346E-03   0.346E-03   0.453E-05   0.453E-05   0.000E+00   0.000E+00
     0.700   0.111E+00   0.156E-01   0.263E-02   0.320E-03   0.320E-03   0.129E-03   0.129E-03   0.145E-05   0.145E-05   0.000E+00   0.000E+00
     0.750   0.674E-01   0.702E-02   0.864E-03   0.569E-04   0.569E-04   0.230E-04   0.230E-04   0.377E-06   0.377E-06   0.000E+00   0.000E+00
     0.800   0.359E-01   0.256E-02   0.226E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.740E-07   0.740E-07   0.000E+00   0.000E+00
     0.850   0.155E-01   0.699E-03   0.425E-04   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.949E-08   0.949E-08   0.000E+00   0.000E+00
     0.900   0.461E-02   0.113E-03   0.471E-05   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.585E-09   0.585E-09   0.000E+00   0.000E+00
     0.950   0.544E-03   0.605E-05   0.160E-06   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.774E-11   0.774E-11   0.000E+00   0.000E+00
 Q**2=      5.29 GeV**2
 x times the labelled pdf
      x         u           d           g          ub          db          sb           s          cb           c          bb           b
     0.050   0.501E+00   0.409E+00   0.212E+01   0.160E+00   0.173E+00   0.836E-01   0.836E-01   0.282E-01   0.282E-01   0.000E+00   0.000E+00
     0.100   0.573E+00   0.404E+00   0.141E+01   0.987E-01   0.123E+00   0.542E-01   0.542E-01   0.164E-01   0.164E-01   0.000E+00   0.000E+00
     0.150   0.617E+00   0.380E+00   0.975E+00   0.639E-01   0.901E-01   0.367E-01   0.367E-01   0.992E-02   0.992E-02   0.000E+00   0.000E+00
     0.200   0.632E+00   0.345E+00   0.670E+00   0.446E-01   0.632E-01   0.252E-01   0.252E-01   0.600E-02   0.600E-02   0.000E+00   0.000E+00
