     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     4.435     0.050   0.495E+00   0.406E+00   0.208E+01   0.158E+00   0.171E+00   0.805E-01   0.805E-01   0.245E-01   0.245E-01   0.000E+00   0.000E+00
     4.435     0.100   0.571E+00   0.405E+00   0.142E+01   0.984E-01   0.123E+00   0.529E-01   0.529E-01   0.145E-01   0.145E-01   0.000E+00   0.000E+00
     4.435     0.150   0.618E+00   0.384E+00   0.100E+01   0.640E-01   0.908E-01   0.363E-01   0.363E-01   0.887E-02   0.887E-02   0.000E+00   0.000E+00
     4.435     0.200   0.637E+00   0.350E+00   0.697E+00   0.450E-01   0.642E-01   0.251E-01   0.251E-01   0.543E-02   0.543E-02   0.000E+00   0.000E+00
     4.435     0.250   0.627E+00   0.310E+00   0.474E+00   0.331E-01   0.435E-01   0.173E-01   0.173E-01   0.325E-02   0.325E-02   0.000E+00   0.000E+00
     4.435     0.300   0.592E+00   0.266E+00   0.313E+00   0.243E-01   0.288E-01   0.117E-01   0.117E-01   0.189E-02   0.189E-02   0.000E+00   0.000E+00
     4.435     0.350   0.539E+00   0.221E+00   0.199E+00   0.173E-01   0.188E-01   0.785E-02   0.785E-02   0.107E-02   0.107E-02   0.000E+00   0.000E+00
     4.435     0.400   0.472E+00   0.176E+00   0.122E+00   0.117E-01   0.121E-01   0.511E-02   0.511E-02   0.574E-03   0.574E-03   0.000E+00   0.000E+00
     4.435     0.450   0.399E+00   0.133E+00   0.711E-01   0.758E-02   0.765E-02   0.322E-02   0.322E-02   0.294E-03   0.294E-03   0.000E+00   0.000E+00
     4.435     0.500   0.325E+00   0.957E-01   0.394E-01   0.464E-02   0.465E-02   0.194E-02   0.194E-02   0.142E-03   0.142E-03   0.000E+00   0.000E+00
     4.435     0.550   0.254E+00   0.646E-01   0.205E-01   0.267E-02   0.267E-02   0.110E-02   0.110E-02   0.635E-04   0.635E-04   0.000E+00   0.000E+00
     4.435     0.600   0.189E+00   0.404E-01   0.989E-02   0.140E-02   0.140E-02   0.575E-03   0.575E-03   0.261E-04   0.261E-04   0.000E+00   0.000E+00
     4.435     0.650   0.133E+00   0.231E-01   0.438E-02   0.639E-03   0.639E-03   0.261E-03   0.261E-03   0.962E-05   0.962E-05   0.000E+00   0.000E+00
     4.435     0.700   0.865E-01   0.117E-01   0.174E-02   0.225E-03   0.225E-03   0.917E-04   0.917E-04   0.309E-05   0.309E-05   0.000E+00   0.000E+00
     4.435     0.750   0.512E-01   0.511E-02   0.600E-03   0.308E-04   0.308E-04   0.128E-04   0.128E-04   0.828E-06   0.828E-06   0.000E+00   0.000E+00
     4.435     0.800   0.264E-01   0.180E-02   0.173E-03   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.174E-06   0.174E-06   0.000E+00   0.000E+00
     4.435     0.850   0.110E-01   0.474E-03   0.381E-04   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.254E-07   0.254E-07   0.000E+00   0.000E+00
     4.435     0.900   0.309E-02   0.727E-04   0.523E-05   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.199E-08   0.199E-08   0.000E+00   0.000E+00
     4.435     0.950   0.333E-03   0.359E-05   0.209E-06   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.376E-10   0.376E-10   0.000E+00   0.000E+00

