W	Quantity	Uncertainty
1.1	0.013386	0.00309
1.11	0.017489	0.003452
1.12	0.023335	0.004098
1.13	0.029338	0.004301
1.14	0.037263	0.00481
1.15	0.044752	0.006438
1.16	0.057376	0.007637
1.17	0.069979	0.009042
1.18	0.089703	0.011938
1.19	0.11232	0.01448
1.2	0.134291	0.01448
1.21	0.151308	0.012279
1.22	0.159542	0.010362
1.23	0.167227	0.010496
1.24	0.163524	0.011381
1.25	0.156764	0.011646
1.26	0.146752	0.01092
1.27	0.140458	0.010466
1.28	0.137434	0.00997
1.29	0.13189	0.009385
1.3	0.128889	0.008857
1.31	0.127139	0.008587
1.32	0.126308	0.007498
1.33	0.125665	0.006975
1.34	0.125807	0.007022
1.35	0.125589	0.007122
1.36	0.126651	0.00709
1.37	0.128731	0.00756
1.38	0.131239	0.008193
1.39	0.137705	0.008719
1.4	0.143011	0.008828
1.41	0.146039	0.008949
1.42	0.148407	0.009272
1.43	0.153671	0.010209
1.44	0.162649	0.01115
1.45	0.172161	0.012265
1.46	0.184564	0.014399
1.47	0.201535	0.0170459999999999
1.48	0.225945999999999	0.018633
1.49	0.251728999999999	0.018847
1.5	0.28146	0.016544
1.51	0.295355	0.016627
1.52	0.294849	0.017479
1.53	0.28416	0.018898
1.54	0.2688	0.019424
1.55	0.256354	0.016364
1.56	0.245964	0.013676
1.57	0.233962	0.011697
1.58	0.227436	0.010501
1.59	0.223531	0.00959800000000002
1.6	0.226115	0.008904
1.61	0.233825	0.00847400000000001
1.62	0.242999	0.00895999999999999
1.63	0.255254	0.009624
1.64	0.272084	0.010826
1.65	0.287778	0.012147
1.66	0.303877	0.013406
1.67	0.321005	0.014488
1.68	0.338920000000001	0.014239
1.69	0.355742	0.013767
1.7	0.368694	0.014206
1.71	0.379568	0.015011
1.72	0.380412	0.01671
1.73	0.378582	0.018638
1.74	0.369078	0.01957
1.75	0.358307	0.019307
1.76	0.347031	0.018406
1.77	0.335523	0.016398
1.78	0.326096	0.014541
1.79	0.324975	0.013961
1.8	0.32477	0.013645
1.81	0.329967	0.013621
1.82	0.335736	0.013832
1.83	0.341082	0.014107
1.84	0.34504	0.014447
1.85	0.349023	0.014769
1.86	0.355133	0.015185
1.87	0.362531	0.015998
1.88	0.369843	0.016823
1.89	0.377202	0.017296
1.9	0.384453	0.017479
1.91	0.390512	0.017704
1.92	0.39362	0.018373
1.93	0.396777	0.019107
1.94	0.400105	0.019575
1.95	0.403216	0.019865
1.96	0.40623	0.020155
1.97	0.409776	0.020781
1.98	0.413418	0.021483
1.99	0.416656	0.022186
2	0.419513	0.022554
2.01	0.422133	0.022776
2.02	0.426453	0.022998
2.03	0.430763	0.023353
2.04	0.433832	0.02363
2.05	0.435902	0.023906
2.06	0.438195	0.024159
2.07	0.440329	0.024537
2.08	0.44352	0.024946
2.09	0.446988	0.025395
2.1	0.451124	0.02593
2.11	0.455908	0.026509
2.12	0.4601	0.02709
2.13	0.464284	0.027722
2.14	0.468084	0.028363
2.15	0.472034	0.029004
2.16	0.476041	0.029639
2.17	0.480032	0.030259
2.18	0.484227	0.030865
2.19	0.486661	0.031471
2.2	0.490595	0.032194
