    Q2           x            u         \bar{u}       d        \bar{d}
  0.2774E+01  0.5000E-01  0.9618E+01  0.2485E+01  0.7044E+01  0.3055E+01
  0.2774E+01  0.1000E+00  0.5783E+01  0.7650E+00  0.3878E+01  0.1149E+01
  0.2774E+01  0.1500E+00  0.4236E+01  0.3061E+00  0.2609E+01  0.5677E+00
  0.2774E+01  0.2000E+00  0.3307E+01  0.1467E+00  0.1840E+01  0.2884E+00
  0.2774E+01  0.2500E+00  0.2633E+01  0.8364E-01  0.1311E+01  0.1394E+00
  0.2774E+01  0.3000E+00  0.2091E+01  0.5025E-01  0.9363E+00  0.6424E-01
  0.2774E+01  0.3500E+00  0.1642E+01  0.2935E-01  0.6644E+00  0.2870E-01
  0.2774E+01  0.4000E+00  0.1268E+01  0.1626E-01  0.4639E+00  0.1238E-01
  0.2774E+01  0.4500E+00  0.9579E+00  0.8506E-02  0.3160E+00  0.5140E-02
  0.2774E+01  0.5000E+00  0.7047E+00  0.4160E-02  0.2081E+00  0.2005E-02
  0.2774E+01  0.5500E+00  0.5016E+00  0.1870E-02  0.1312E+00  0.7097E-03
  0.2774E+01  0.6000E+00  0.3426E+00  0.7449E-03  0.7837E-01  0.2049E-03
  0.2774E+01  0.6500E+00  0.2220E+00  0.2366E-03  0.4362E-01  0.2584E-04
  0.2774E+01  0.7000E+00  0.1342E+00  0.3162E-04  0.2215E-01  0.0000E+00
  0.2774E+01  0.7500E+00  0.7381E-01  0.0000E+00  0.9918E-02  0.0000E+00
  0.2774E+01  0.8000E+00  0.3541E-01  0.0000E+00  0.3699E-02  0.0000E+00
  0.2774E+01  0.8500E+00  0.1369E-01  0.0000E+00  0.1035E-02  0.0000E+00
  0.2774E+01  0.9000E+00  0.3577E-02  0.0000E+00  0.1720E-03  0.0000E+00
  0.2774E+01  0.9500E+00  0.3685E-03  0.0000E+00  0.8395E-05  0.0000E+00

