     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     6.065     0.050    0.505E+00    0.412E+00    0.216E+01    0.162E+00    0.175E+00    0.858E-01    0.858E-01    0.309E-01    0.309E-01    0.000E+00    0.000E+00
     6.065     0.100    0.575E+00    0.404E+00    0.140E+01    0.990E-01    0.123E+00    0.551E-01    0.551E-01    0.178E-01    0.178E-01    0.000E+00    0.000E+00
     6.065     0.150    0.616E+00    0.378E+00    0.957E+00    0.638E-01    0.896E-01    0.371E-01    0.371E-01    0.107E-01    0.107E-01    0.000E+00    0.000E+00
     6.065     0.200    0.628E+00    0.342E+00    0.650E+00    0.444E-01    0.625E-01    0.252E-01    0.252E-01    0.644E-02    0.644E-02    0.000E+00    0.000E+00
     6.065     0.250    0.612E+00    0.300E+00    0.433E+00    0.322E-01    0.419E-01    0.171E-01    0.171E-01    0.381E-02    0.381E-02    0.000E+00    0.000E+00
     6.065     0.300    0.573E+00    0.255E+00    0.281E+00    0.234E-01    0.274E-01    0.115E-01    0.115E-01    0.219E-02    0.219E-02    0.000E+00    0.000E+00
     6.065     0.350    0.517E+00    0.210E+00    0.176E+00    0.164E-01    0.177E-01    0.756E-02    0.756E-02    0.122E-02    0.122E-02    0.000E+00    0.000E+00
     6.065     0.400    0.450E+00    0.165E+00    0.106E+00    0.110E-01    0.114E-01    0.487E-02    0.487E-02    0.651E-03    0.651E-03    0.000E+00    0.000E+00
     6.065     0.450    0.377E+00    0.124E+00    0.613E-01    0.704E-02    0.711E-02    0.303E-02    0.303E-02    0.330E-03    0.330E-03    0.000E+00    0.000E+00
     6.065     0.500    0.305E+00    0.885E-01    0.336E-01    0.427E-02    0.428E-02    0.181E-02    0.181E-02    0.158E-03    0.158E-03    0.000E+00    0.000E+00
     6.065     0.550    0.236E+00    0.591E-01    0.174E-01    0.243E-02    0.243E-02    0.101E-02    0.101E-02    0.704E-04    0.704E-04    0.000E+00    0.000E+00
     6.065     0.600    0.174E+00    0.366E-01    0.838E-02    0.126E-02    0.126E-02    0.520E-03    0.520E-03    0.288E-04    0.288E-04    0.000E+00    0.000E+00
     6.065     0.650    0.121E+00    0.207E-01    0.371E-02    0.566E-03    0.566E-03    0.233E-03    0.233E-03    0.106E-04    0.106E-04    0.000E+00    0.000E+00
     6.065     0.700    0.781E-01    0.104E-01    0.149E-02    0.194E-03    0.194E-03    0.795E-04    0.795E-04    0.341E-05    0.341E-05    0.000E+00    0.000E+00
     6.065     0.750    0.457E-01    0.448E-02    0.522E-03    0.240E-04    0.240E-04    0.101E-04    0.101E-04    0.922E-06    0.922E-06    0.000E+00    0.000E+00
     6.065     0.800    0.232E-01    0.156E-02    0.154E-03    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.197E-06    0.197E-06    0.000E+00    0.000E+00
     6.065     0.850    0.951E-02    0.404E-03    0.349E-04    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.296E-07    0.296E-07    0.000E+00    0.000E+00
     6.065     0.900    0.262E-02    0.607E-04    0.489E-05    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.239E-08    0.239E-08    0.000E+00    0.000E+00
     6.065     0.950    0.272E-03    0.290E-05    0.192E-06    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.465E-10    0.465E-10    0.000E+00    0.000E+00

