     Q2          W           W1         W2           x
 0.10000E+02 0.10770E+01 0.50979E-04 0.16599E-04 0.95000E+00
 0.10000E+02 0.10800E+01 0.50979E-04 0.16589E-04 0.95000E+00
 0.10000E+02 0.10900E+01 0.50979E-04 0.16554E-04 0.95000E+00
 0.10000E+02 0.11000E+01 0.50979E-04 0.16519E-04 0.95000E+00
 0.10000E+02 0.11100E+01 0.50979E-04 0.16483E-04 0.95000E+00
 0.10000E+02 0.11200E+01 0.50979E-04 0.16448E-04 0.95000E+00
 0.10000E+02 0.11300E+01 0.50979E-04 0.16412E-04 0.95000E+00
 0.10000E+02 0.11400E+01 0.50979E-04 0.16377E-04 0.95000E+00
 0.10000E+02 0.11500E+01 0.50979E-04 0.16341E-04 0.95000E+00
 0.10000E+02 0.11600E+01 0.50979E-04 0.16305E-04 0.95000E+00
 0.10000E+02 0.11650E+01 0.50979E-04 0.16287E-04 0.95000E+00
 0.10000E+02 0.11700E+01 0.50979E-04 0.16268E-04 0.95000E+00
 0.10000E+02 0.11750E+01 0.50979E-04 0.16250E-04 0.95000E+00
 0.10000E+02 0.11800E+01 0.50979E-04 0.16232E-04 0.95000E+00
 0.10000E+02 0.11850E+01 0.50979E-04 0.16214E-04 0.95000E+00
 0.10000E+02 0.11900E+01 0.55636E-04 0.17660E-04 0.94919E+00
 0.10000E+02 0.11950E+01 0.61812E-04 0.19576E-04 0.94812E+00
 0.10000E+02 0.12000E+01 0.68034E-04 0.21498E-04 0.94704E+00
 0.10000E+02 0.12050E+01 0.74311E-04 0.23428E-04 0.94596E+00
 0.10000E+02 0.12100E+01 0.80656E-04 0.25370E-04 0.94488E+00
 0.10000E+02 0.12125E+01 0.83857E-04 0.26347E-04 0.94434E+00
 0.10000E+02 0.12150E+01 0.87079E-04 0.27328E-04 0.94380E+00
 0.10000E+02 0.12175E+01 0.90324E-04 0.28314E-04 0.94326E+00
 0.10000E+02 0.12200E+01 0.93593E-04 0.29305E-04 0.94272E+00
 0.10000E+02 0.12255E+01 0.10088E-03 0.31505E-04 0.94152E+00
 0.10000E+02 0.12250E+01 0.10021E-03 0.31304E-04 0.94163E+00
