Q2,W,epsilon,XSEC,Stat,Sys,ScaleType
9.699,1.15,0.7305,2.4452870125355405e-07,1.0928476716423838e-08,3.145886194497098e-08,8.292371711233305e-07
9.699,1.2,0.7245,5.98037628828995e-07,2.3885622895430066e-08,8.157771491093438e-08,2.0280442705220164e-06
9.699,1.25,0.7182,8.361269392825912e-07,2.98405343360564e-08,1.2082368723409156e-07,2.8354444049975394e-06
9.699,1.3,0.7115,9.810899276206331e-07,3.0717925633802035e-08,1.360555889825742e-07,3.3270378161218097e-06
9.699,1.35,0.7045,1.2391983974716798e-06,3.57756577350074e-08,1.4891571062256926e-07,4.202326223106478e-06
9.699,1.4,0.697,1.6216081300987362e-06,3.9818587634574464e-08,2.0639017475831666e-07,5.49914072082418e-06
9.699,1.45,0.6892,2.378767413538703e-06,5.2625471489716735e-08,2.4958741333072135e-07,8.066792775862444e-06
9.699,1.5,0.6809,3.2657894807058483e-06,6.44960764544598e-08,3.353933138790099e-07,1.1074830956783187e-05
9.699,1.55,0.6722,3.286238536026355e-06,6.03879193380203e-08,3.184069379941296e-07,1.1144177077296618e-05
9.699,1.6,0.6631,3.560409219351178e-06,5.977571038368693e-08,3.073345238143937e-07,1.2073935100300562e-05
9.699,1.65,0.6534,4.400295295963132e-06,6.779534962490397e-08,3.704960633295038e-07,1.4922127360207913e-05
9.699,1.7,0.6433,5.9282521766262655e-06,8.483328864752187e-08,4.339658440855725e-07,2.0103681242529978e-05
9.699,1.75,0.6327,6.177769714503656e-06,8.223847043947266e-08,4.415622681138633e-07,2.094983638176069e-05
9.699,1.8,0.6216,6.344506848867698e-06,8.049275839158448e-08,4.3180713613393554e-07,2.1515269514609503e-05
9.699,1.85,0.6099,7.243898326385649e-06,8.575326838775333e-08,4.740624381736561e-07,2.456525440687817e-05
9.699,1.9,0.5977,8.382634785750776e-06,9.348314313069265e-08,5.665068414558232e-07,2.8426897622493172e-05
9.699,1.95,0.5849,9.506109928856404e-06,9.883502493032005e-08,6.294090444995114e-07,3.22367871966838e-05
9.699,2.0,0.5715,1.0662857966161507e-05,1.0530638527381107e-07,6.880528988404699e-07,3.615951064485166e-05
