W,GeV	Quantity	Uncertainty
2.3	0.0080791487066779	0.000134031048443478
2.29	0.00802187168658896	0.000133065262093269
2.28	0.00796566321413382	0.000132150992533687
2.27	0.00791055322648655	0.00013123299414772
2.26	0.00785657104326343	0.000130338245039877
2.25	0.00780371819498042	0.000129466299534192
2.24	0.00775207758952214	0.00012858948100146
2.23	0.00770162272967562	0.000127761835306474
2.22	0.00765243579349897	0.00012695565810502
2.21	0.00760451711838267	0.000126143339385395
2.2	0.00795817214475993	5.95528877291243e-05
2.19	0.00790609813925189	5.89101730340133e-05
2.18	0.00784536895252952	5.93626421084789e-05
2.17	0.00777269729570403	5.99056521659011e-05
2.16	0.00771225827428519	6.05122540555879e-05
2.15	0.00766141473361359	6.11283812684597e-05
2.14	0.007618757539602	6.17270825710109e-05
2.13	0.00757475356477772	6.22813372939715e-05
2.12	0.00751290967243046	6.29544558464751e-05
2.11	0.00745272412041638	6.36379842427467e-05
2.1	0.00739481589507198	6.44411771625583e-05
2.09	0.00734676734780926	6.53100570723563e-05
2.08	0.00731002677914705	6.62177733467171e-05
2.07	0.00727894292018983	6.71647255552559e-05
2.06	0.00725584154096053	6.80416762557392e-05
2.05	0.0072294750510115	6.88484816766097e-05
2.04	0.00720829924759216	6.95023795778204e-05
2.03	0.00717249292524953	6.99750027649109e-05
2.02	0.00712621552156007	7.05691736668285e-05
2.01	0.00708417720731292	7.15349661117576e-05
2	0.00706416616904786	7.30972058835669e-05
1.99	0.0070546807159856	7.46761211098592e-05
1.98	0.00703632487821597	7.60210091273854e-05
1.97	0.00701070532456024	7.71022261797707e-05
1.96	0.00698946163314343	7.82264174654269e-05
1.95	0.00697020901242145	7.95348498842394e-05
1.94	0.00693949221366135	8.11705885166121e-05
1.93	0.00690229721923148	8.29103069234012e-05
1.92	0.00686008832981194	8.46415520339277e-05
1.91	0.00682122283023051	8.61362054411778e-05
1.9	0.00674644273188461	8.76209737383307e-05
1.89	0.00666370848471673	8.90096273874315e-05
1.88	0.00657784689144207	9.03588441403357e-05
1.87	0.00648967350493672	9.13785604666254e-05
1.86	0.00639664342976599	9.27627142465372e-05
1.85	0.00631929543831355	9.4486496654188e-05
1.84	0.00626877752510539	9.61729776814828e-05
1.83	0.00622007021260007	9.68499608451448e-05
1.82	0.00617067923468545	9.75689133842368e-05
1.81	0.00612715780302971	9.80330989124912e-05
1.8	0.0060887480125728	9.83880324329283e-05
1.79	0.00610126873367881	9.95912593274289e-05
1.78	0.00615531723881397	0.000101202606771424
1.77	0.00632016352976113	0.00010331851317087
1.76	0.00651009309680505	0.000107375392255391
1.75	0.00671627564886995	0.000111751522152992
1.74	0.00695136006679018	0.00011617538361107
1.73	0.00715071992392517	0.000120709525139722
1.72	0.00725350577386195	0.000125945076432388
1.71	0.00728887306252795	0.000130926263510597
1.7	0.0071545513540632	0.000131261219382214
1.69	0.00696776355641655	0.000130279500191191
1.68	0.00666448786219129	0.000127991461837686
1.67	0.00629861382051906	0.000125267289680962
1.66	0.00594612033691409	0.00012264365402189
1.65	0.00563078462460778	0.000119059519414795
1.64	0.00533001516086721	0.000115340133902443
1.63	0.00503088270016947	0.000114411458709588
1.62	0.00481038566734323	0.000114028949377903
1.61	0.00465402616653166	0.000111470528389
1.6	0.00456835765227053	0.000110768917936846
1.59	0.00452900595054769	0.000111988319947869
1.58	0.00458421807646051	0.000113755630437071
1.57	0.00467323686015071	0.000115507780384162
1.56	0.00487965643076272	0.000119578854924108
1.55	0.00510391586328024	0.00012451065173941
1.54	0.00539307536590803	0.000129016848230377
1.53	0.0057095644422201	0.000134294104424744
1.52	0.00596337113680111	0.00014111641045655
1.51	0.0060216264577946	0.000145715110283135
1.5	0.00586571943332757	0.000143780160743155
1.49	0.00540155415123883	0.000134565305023105
1.48	0.00490147086663278	0.000126337884878171
1.47	0.00440869843035796	0.000122818956312787
1.46	0.00404614058593428	0.000118789261329628
1.45	0.00377688126068708	0.00011413226706765
1.44	0.00357034544087734	0.000111880023401707
1.43	0.00339819506602399	0.000110507447429921
1.42	0.00327703998389062	0.000111494592662968
1.41	0.00318801464340731	0.000112560629783173
1.4	0.00313459595218265	0.000111076817995507
1.39	0.00304747993642055	0.000109383919209874
1.38	0.00293910735470702	0.000109987618984678
1.37	0.00288471142948231	0.000112097453668827
1.36	0.0028453623549809	0.000109793770600021
1.35	0.00284399747649218	0.000109361093636561
1.34	0.00284403505730612	0.000112590340289237
1.33	0.00280971227423537	0.00011284556745813
1.32	0.00278878783341483	0.000112167272986921
1.31	0.00279877864168719	0.000106457946721952
1.3	0.00281577994186211	9.79840141337004e-05
1.29	0.00284405841161584	9.78217178899279e-05
1.28	0.00293132088718466	0.000100927530950536
1.27	0.00299356276164583	0.000104731637231156
1.26	0.00313843098107255	0.000110160969521685
1.25	0.00333314191945199	0.000105214078314572
1.24	0.00347660449960216	9.69068714858346e-05
1.23	0.00358570978425326	9.61596231039372e-05
1.22	0.00346734334175116	9.29976219093094e-05
1.21	0.00329929862284404	8.93480037663131e-05
1.2	0.00295306740938447	8.19623857422521e-05
1.19	0.00249371365131625	6.93477012352678e-05
1.18	0.00202173272265084	5.95528627795467e-05
1.17	0.00159215918458741	5.25769838106039e-05
1.16	0.0012925278990468	4.54933058197143e-05
1.15	0.00101713368619862	4.00644533025237e-05
1.14	0.000839919966830102	3.70292732893801e-05
1.13	0.00065151638615176	3.33731369651197e-05
1.12	0.000501231562058847	2.79429270384412e-05
1.11	0.000371322617019872	2.23390414831703e-05
1.1	0.000274693344769832	1.86580928991505e-05
