W,GeV	Quantity	Uncertainty
1.94	0.00487646097013078	9.82268876939068e-05
1.93	0.00487473018943804	9.81123931590843e-05
1.92	0.00486834408529421	9.80176082684579e-05
1.91	0.0048099726110301	9.70839374667801e-05
1.9	0.0047517154193502	9.60580045137671e-05
1.89	0.0046897490458065	9.48249169104813e-05
1.88	0.0046220702250175	9.33927511888368e-05
1.87	0.00452960369398832	9.16467162568293e-05
1.86	0.00447280425373254	9.06768643377971e-05
1.85	0.00444376787899815	9.0096424739225e-05
1.84	0.00441563414102036	8.94599810108594e-05
1.83	0.00435158396016273	8.82532505714235e-05
1.82	0.00425722704865859	8.67533992516147e-05
1.81	0.00421576285727252	8.61983408977397e-05
1.8	0.00419215221519043	8.59203994848077e-05
1.79	0.00420357396165677	8.61632748433477e-05
1.78	0.00425247462269125	8.70104849021293e-05
1.77	0.00436000322851416	8.89134654713004e-05
1.76	0.00450039960798949	9.14598106590195e-05
1.75	0.00462020899787383	9.39284685557668e-05
1.74	0.00469478059876138	9.56173095315324e-05
1.73	0.00477590891557703	9.71638797073942e-05
1.72	0.00480981386957627	9.75803028806435e-05
1.71	0.00478140237798607	9.68374790604123e-05
1.7	0.00468986040837097	9.50780319650092e-05
1.69	0.00453106383423492	9.24275785813746e-05
1.68	0.00426885810322682	8.86484128886534e-05
1.67	0.00399824200898556	8.49875593687615e-05
1.66	0.00381077453962079	8.24289537669525e-05
1.65	0.00363859433581156	8.02498809933552e-05
1.64	0.0034444532406748	7.84070404665261e-05
1.63	0.00328184859785436	7.70846349753894e-05
1.62	0.00313569858826293	7.57447230352779e-05
1.61	0.00299276845185698	7.42402758749828e-05
1.6	0.00290968491107189	7.33955692741436e-05
1.59	0.00290072005678357	7.37573265548276e-05
1.58	0.00295557405027523	7.52905461714232e-05
1.57	0.00305945840285747	7.72248968432605e-05
1.56	0.00315083052580721	7.89320120708432e-05
1.55	0.00325378089939953	8.16397881864017e-05
1.54	0.00352920260747892	8.76802661291751e-05
1.53	0.00380647749719556	9.36937389707519e-05
1.52	0.00392920053776609	9.71901185209161e-05
1.51	0.00395451777414923	9.93830168009531e-05
1.5	0.00388716000309356	0.000100317070881683
1.49	0.00362178249065532	9.72548571111077e-05
1.48	0.00318164956545512	8.9375112362141e-05
1.47	0.0028298943697833	8.24685784227478e-05
1.46	0.00258460144335337	7.87227259643239e-05
1.45	0.00238986726471194	7.65226805994348e-05
1.44	0.00225319271554845	7.51974931266236e-05
1.43	0.00213355032140626	7.48297198988259e-05
1.42	0.00201989753492082	7.31023210970377e-05
1.41	0.00192401081666994	7.13281053389628e-05
1.4	0.00181982789032846	6.99671558203015e-05
1.39	0.00185998001176359	7.20732176629901e-05
1.38	0.00190329423554264	7.47562720857647e-05
1.37	0.001843784574686	7.46292406211738e-05
1.36	0.00177635429055521	7.38650331219509e-05
1.35	0.00169135401197925	7.17458557751427e-05
1.34	0.00161529524459699	6.99128066079818e-05
1.33	0.00159377131401011	7.12420963365522e-05
1.32	0.00164672019417208	7.43686082548853e-05
1.31	0.0016875743460808	7.57541741145743e-05
1.3	0.00166530359796723	7.41169816768725e-05
1.29	0.00169571074034147	7.53216708168708e-05
1.28	0.0017442353170373	8.08834492829576e-05
1.27	0.00174261543374518	7.96945365089518e-05
1.26	0.00175387574113404	7.87557307371111e-05
1.25	0.00180116273447518	8.19012167304276e-05
1.24	0.0018774527287819	8.93369359849391e-05
1.23	0.0019041972350276	9.21986306207052e-05
1.22	0.00183180095769944	8.68316918220677e-05
1.21	0.0017317603811044	8.67924317704465e-05
1.2	0.00147915646398262	8.0199700905499e-05
1.19	0.00117830645993825	6.91186498137588e-05
1.18	0.000962041312505497	6.09011626357955e-05
1.17	0.000810475846028656	5.49261116369837e-05
1.16	0.000629202894479123	4.4901492114516e-05
1.15	0.000510264883765695	4.08112929180727e-05
1.14	0.000415963669821456	3.7089197810474e-05
1.13	0.000339765946690566	3.21726773439042e-05
