W,GeV	Quantity	Uncertainty
2	0.00470101368541591	5.928461388708e-05
1.99	0.00469560824479091	5.96011946791087e-05
1.98	0.0046830830757346	6.0144701103313e-05
1.97	0.00466453369508352	6.06220985642624e-05
1.96	0.00465067241365733	6.0918256054687e-05
1.95	0.00463414856885729	6.10997174869761e-05
1.94	0.00460500214858525	6.15566848817839e-05
1.93	0.00456830915248073	6.21074461348933e-05
1.92	0.00452423727911272	6.26834105035611e-05
1.91	0.00448347508953267	6.30050016222372e-05
1.9	0.00443375347082954	6.32798045897958e-05
1.89	0.00438488945680155	6.33897055922394e-05
1.88	0.00433033948734077	6.32619330392312e-05
1.87	0.00426753176325909	6.28936821063163e-05
1.86	0.00419989619611818	6.30669319176109e-05
1.85	0.00413984611769688	6.3406038120573e-05
1.84	0.00409291703524576	6.36492789218039e-05
1.83	0.0040474549476966	6.35790140309421e-05
1.82	0.00401294769313001	6.34814128637459e-05
1.81	0.00398804571749871	6.38409185490125e-05
1.8	0.00396412694596107	6.42734086409723e-05
1.79	0.00395429298838449	6.48773131009761e-05
1.78	0.00398289011135312	6.58015010397683e-05
1.77	0.00405611891659017	6.74183299195531e-05
1.76	0.00414039324351797	6.94142682587539e-05
1.75	0.00423958731050303	7.1619755834074e-05
1.74	0.00435603623502595	7.35643910842842e-05
1.73	0.00445368305345704	7.56443025089447e-05
1.72	0.00450908226356436	7.73849615877086e-05
1.71	0.00451067884387763	7.85815919914076e-05
1.7	0.00443888092597142	7.90519139754239e-05
1.69	0.00432180174203101	7.85607381765359e-05
1.68	0.00413006413832058	7.66668946053659e-05
1.67	0.00389502281029447	7.46041251342577e-05
1.66	0.00365973035468141	7.29841103944158e-05
1.65	0.00345248457992981	7.14526323478554e-05
1.64	0.00326476886393811	7.0319285264378e-05
1.63	0.00309367666838038	6.96396432083623e-05
1.62	0.00296334895907042	6.87712845486383e-05
1.61	0.00286435186226002	6.77644426436e-05
1.6	0.0028092262828312	6.72427415977331e-05
1.59	0.00276960837922136	6.77329298447257e-05
1.58	0.00279582239120007	6.92179156005974e-05
1.57	0.00284577106006684	7.09709204413775e-05
1.56	0.00295116088135281	7.25462106116612e-05
1.55	0.00306466898002607	7.50250832107063e-05
1.54	0.00321079825629354	8.03752601842775e-05
1.53	0.00338937565658716	8.5591770180218e-05
1.52	0.0035361003180284	8.82753158465559e-05
1.51	0.00356754376602898	8.94463299177315e-05
1.5	0.00344787907270327	8.93334207334715e-05
1.49	0.00318825194722044	8.6181307003424e-05
1.48	0.0028963559220758	8.04244247190031e-05
1.47	0.0026043708893909	7.56595107112734e-05
1.46	0.0023734728980019	7.33283003394129e-05
1.45	0.00219926665339222	7.20390987864533e-05
1.44	0.00206416935204667	7.13103861466718e-05
1.43	0.00194221985560741	7.11461785687758e-05
1.42	0.00184745086881696	6.97759057361824e-05
1.41	0.00178055243073023	6.80397937284094e-05
1.4	0.00174961322181542	6.68404505819137e-05
1.39	0.00169580042215475	6.89287225879478e-05
1.38	0.001626523634001	7.14341366160509e-05
1.37	0.00158585886330729	7.1297178365323e-05
1.36	0.00154369386873972	7.05472298240818e-05
1.35	0.00151979297971162	6.84611384328828e-05
1.34	0.00150216837567103	6.66681332751152e-05
1.33	0.00146899317170085	6.79202039448681e-05
1.32	0.00145021611752569	7.08413322183503e-05
1.31	0.00144136775239808	7.206699421321e-05
1.3	0.00142826114495297	7.05283134657471e-05
1.29	0.00143499910731556	7.16912607663204e-05
1.28	0.00145682200596644	7.71624197043243e-05
1.27	0.00146674204746422	7.6252987469194e-05
1.26	0.00151372654315206	7.57845299917276e-05
1.25	0.00158758939633272	7.93822788144709e-05
1.24	0.0016367194614864	8.73123258812006e-05
1.23	0.00166724473211041	9.06074553056357e-05
1.22	0.00160570911417632	8.5731354781881e-05
1.21	0.00151765674758389	8.56614372614419e-05
1.2	0.00136283084802596	7.9432859953891e-05
1.19	0.00115518019783886	6.8360373957319e-05
1.18	0.000935645525412555	6.03478226373529e-05
1.17	0.000742902109780957	5.43283560991933e-05
1.16	0.000602574006127635	4.47073773376409e-05
1.15	0.000474028184310509	4.02236590338671e-05
1.14	0.000379519957336474	3.67523799448397e-05
1.13	0.000287773264340682	3.17484368328658e-05
1.12	0.000214576267184012	2.53258287128697e-05
1.11	0.000154235741623723	1.99479357631122e-05
1.1	0.000106144146256962	1.46259391297572e-05
