W,GeV	Quantity	Uncertainty
2.3	0.00431643914654021	0.000144516071045651
2.29	0.00426584918438486	0.000142818964617608
2.28	0.0042158476951555	0.000141146832906591
2.27	0.00416642190230206	0.000139481845272672
2.26	0.00411759354913575	0.000137858259811696
2.25	0.00406936662855277	0.000136240973976844
2.24	0.00402174488278981	0.000134646839037126
2.23	0.00397476599422689	0.000133075369140382
2.22	0.00392844993765784	0.000131526081204197
2.21	0.00388278235434387	0.000129998494946326
2.2	0.00395475681225421	0.000135934088751645
2.19	0.00390886044496159	0.000121324694239799
2.18	0.00385937036802863	0.000103841671930704
2.17	0.00379762887224766	9.78855847368335e-05
2.16	0.00374281440996162	0.000100210988358721
2.15	0.00369473874401474	0.000102665422179363
2.14	0.00365232149568045	0.000105398094006859
2.13	0.00361033608041919	0.000113711894692823
2.12	0.00355800536839012	0.000117512741030419
2.11	0.00350570325125951	0.000116488932618112
2.1	0.0034561155059918	9.57974932162809e-05
2.09	0.00341077086859328	7.61109194879849e-05
2.08	0.00337098968573691	6.12680787813122e-05
2.07	0.00333443688997019	5.81026879092117e-05
2.06	0.00329719860239206	5.72236493509686e-05
2.05	0.00325760680872894	5.69069069685189e-05
2.04	0.00322088391372879	5.7588388245729e-05
2.03	0.00318013644932932	5.78342422931782e-05
2.02	0.00314043047685745	5.72251825218061e-05
2.01	0.00310427473680201	5.650963955393e-05
2	0.00307772073375544	5.5429233786673e-05
1.99	0.00305537655847222	5.36300040011029e-05
1.98	0.00302891426967264	4.9195448619202e-05
1.97	0.0029990648411381	4.59994585875267e-05
1.96	0.00297316679461447	4.41496500572118e-05
1.95	0.00294547660186734	4.38181497611935e-05
1.94	0.00290964627648112	4.34908380804477e-05
1.93	0.00286923216755635	4.33922480862228e-05
1.92	0.00282428068922785	4.33934825776061e-05
1.91	0.0027823040127162	4.34301801965343e-05
1.9	0.00273831830492199	4.34862174731562e-05
1.89	0.00269668411801711	4.36255623328622e-05
1.88	0.00265160826666411	4.37680594425079e-05
1.87	0.00260106573741082	4.38016974539074e-05
1.86	0.00254805416021141	4.36465650446401e-05
1.85	0.002499756287847	4.34466296974291e-05
1.84	0.00245908168564116	4.31858233609674e-05
1.83	0.00241992421413635	4.29120138396515e-05
1.82	0.00238980258881464	4.27529896935884e-05
1.81	0.00236685283136103	4.28365776616891e-05
1.8	0.00234451175715096	4.29069128020793e-05
1.79	0.00232737828328105	4.30439097765618e-05
1.78	0.00233490444300293	4.34555615741193e-05
1.77	0.00236357045562393	4.41741004463965e-05
1.76	0.00239788309981109	4.5279933536316e-05
1.75	0.00244174290039893	4.66775050957298e-05
1.74	0.0024953896135325	4.79827142365503e-05
1.73	0.00253932700034338	4.87946657450061e-05
1.72	0.0025629998030336	4.91607178856842e-05
1.71	0.0025545218403306	4.88873742469514e-05
1.7	0.00251086869886798	4.83588517288565e-05
1.69	0.00243960974843259	4.77673906996529e-05
1.68	0.00232641394369859	4.68230549449654e-05
1.67	0.00218873370938737	4.55570180395015e-05
1.66	0.00205006795679459	4.43228315449001e-05
1.65	0.00192857498358625	4.32010088250535e-05
1.64	0.00182048954951842	4.20140298356209e-05
1.63	0.00172499404697038	4.09392941091547e-05
1.62	0.00165110751700307	4.01872606435254e-05
1.61	0.00159344298713215	3.94834283890618e-05
1.6	0.00156026175071067	3.88602302184461e-05
1.59	0.00153366924674263	3.89832012050476e-05
1.58	0.00154468160656251	3.98709272086122e-05
1.57	0.00156941252831048	4.07776924194387e-05
1.56	0.00162184553232517	4.1768665626616e-05
1.55	0.00167854967626691	4.31701587291645e-05
1.54	0.00175213955029978	4.50815053650557e-05
1.53	0.00184638339918796	4.73574104404602e-05
1.52	0.00192457462419643	4.97046527161721e-05
1.51	0.00194078766709754	5.09604189090178e-05
1.5	0.00187086588254776	4.99562339750904e-05
1.49	0.0017322575812398	4.76689804853322e-05
1.48	0.00157394639628777	4.44555393070678e-05
1.47	0.00141491794527357	4.14646661021688e-05
1.46	0.00128634906037782	4.02627865690769e-05
1.45	0.00118889460704564	3.98168311839159e-05
1.44	0.00111313492351446	3.88243327880282e-05
1.43	0.00104355035019235	3.81268296722622e-05
1.42	0.000988244714710893	3.75100425448298e-05
1.41	0.000949557304322406	3.68084025771912e-05
1.4	0.000932742640045477	3.65361550229595e-05
1.39	0.000903275822135299	3.66947493243071e-05
1.38	0.000865155663284262	3.67199090149496e-05
1.37	0.000841838811996291	3.6627758603507e-05
1.36	0.000816049665932528	3.61510385529275e-05
1.35	0.000799431798460652	3.62232361541754e-05
1.34	0.000787101626667046	3.72470867214582e-05
1.33	0.000767262626493218	3.64654238321135e-05
1.32	0.000756234008557047	3.42913151671611e-05
1.31	0.000749248143926612	3.44749677230073e-05
1.3	0.000738750180950199	3.60668715437333e-05
1.29	0.000741117221918173	3.65017861452222e-05
1.28	0.000748601257273297	3.61798174308478e-05
1.27	0.000750314848041358	3.59230850274878e-05
1.26	0.000770310271339849	3.77009047325918e-05
1.25	0.000804599698690146	4.05744211790534e-05
1.24	0.000826577924649532	4.17308676351822e-05
1.23	0.000838863007732168	4.22964641521537e-05
1.22	0.000807853555352688	4.21518157967836e-05
