# Q2	W	W1	W2
6.065000e+00	1.095442e+00	6.797584e-05	3.563687e-05
6.065000e+00	1.102500e+00	7.948040e-05	4.071985e-05
6.065000e+00	1.109558e+00	9.211105e-05	4.647127e-05
6.065000e+00	1.116616e+00	1.059602e-04	5.291709e-05
6.065000e+00	1.123674e+00	1.211201e-04	6.008298e-05
6.065000e+00	1.130732e+00	1.376833e-04	6.799425e-05
6.065000e+00	1.137790e+00	1.557421e-04	7.667593e-05
6.065000e+00	1.144848e+00	1.753888e-04	8.615271e-05
6.065000e+00	1.151906e+00	1.967160e-04	9.644899e-05
6.065000e+00	1.158965e+00	2.198159e-04	1.075888e-04
6.065000e+00	1.166023e+00	2.447809e-04	1.195960e-04
6.065000e+00	1.173081e+00	2.717034e-04	1.324939e-04
6.065000e+00	1.180139e+00	3.006759e-04	1.463056e-04
6.065000e+00	1.187197e+00	3.317906e-04	1.610540e-04
6.065000e+00	1.194255e+00	3.651399e-04	1.767616e-04
6.065000e+00	1.201313e+00	4.008164e-04	1.934505e-04
6.065000e+00	1.208371e+00	4.389122e-04	2.111427e-04
6.065000e+00	1.215429e+00	4.795199e-04	2.298595e-04
6.065000e+00	1.222487e+00	5.227317e-04	2.496223e-04
6.065000e+00	1.229545e+00	5.686401e-04	2.704521e-04
6.065000e+00	1.236603e+00	6.173375e-04	2.923694e-04
6.065000e+00	1.243662e+00	6.689162e-04	3.153945e-04
6.065000e+00	1.250720e+00	7.234687e-04	3.395474e-04
6.065000e+00	1.257778e+00	7.810872e-04	3.648479e-04
6.065000e+00	1.264836e+00	8.418642e-04	3.913152e-04
6.065000e+00	1.271894e+00	9.058921e-04	4.189686e-04
6.065000e+00	1.278952e+00	9.732632e-04	4.478267e-04
6.065000e+00	1.286010e+00	1.044070e-03	4.779081e-04
6.065000e+00	1.293068e+00	1.118405e-03	5.092309e-04
6.065000e+00	1.300126e+00	1.196360e-03	5.418130e-04
6.065000e+00	1.307184e+00	1.278028e-03	5.756719e-04
6.065000e+00	1.314242e+00	1.363501e-03	6.108250e-04
6.065000e+00	1.321300e+00	1.452871e-03	6.472892e-04
6.065000e+00	1.328359e+00	1.546232e-03	6.850813e-04
6.065000e+00	1.335417e+00	1.643675e-03	7.242175e-04
6.065000e+00	1.342475e+00	1.745292e-03	7.647140e-04
6.065000e+00	1.349533e+00	1.851177e-03	8.065867e-04
6.065000e+00	1.356591e+00	1.961421e-03	8.498510e-04
6.065000e+00	1.363649e+00	2.076117e-03	8.945222e-04
6.065000e+00	1.370707e+00	2.195357e-03	9.406153e-04
6.065000e+00	1.377765e+00	2.319234e-03	9.881449e-04
6.065000e+00	1.384823e+00	2.447839e-03	1.037125e-03
6.065000e+00	1.391881e+00	2.581266e-03	1.087571e-03
6.065000e+00	1.398939e+00	2.719607e-03	1.139495e-03
6.065000e+00	1.405997e+00	2.862958e-03	1.192910e-03
6.065000e+00	1.413055e+00	3.011422e-03	1.247821e-03
6.065000e+00	1.420114e+00	3.165101e-03	1.304235e-03
6.065000e+00	1.427172e+00	3.324101e-03	1.362159e-03
6.065000e+00	1.434230e+00	3.488523e-03	1.421598e-03
6.065000e+00	1.441288e+00	3.658471e-03	1.482557e-03
6.065000e+00	1.448346e+00	3.834049e-03	1.545043e-03
6.065000e+00	1.455404e+00	4.015359e-03	1.609061e-03
6.065000e+00	1.462462e+00	4.202506e-03	1.674616e-03
6.065000e+00	1.469520e+00	4.395592e-03	1.741713e-03
6.065000e+00	1.476578e+00	4.594722e-03	1.810356e-03
6.065000e+00	1.483636e+00	4.799997e-03	1.880551e-03
