#W	sigma_L	sigma_T
1.077010	1.08284044e-05	7.37830315e-05
1.080000	1.97190874e-04	1.34967786e-03
1.090000	4.67922563e-04	3.33102584e-03
1.100000	6.83388538e-04	4.99512468e-03
1.110000	8.86542125e-04	6.63514696e-03
1.120000	1.09171838e-03	8.37565473e-03
1.130000	1.31193604e-03	1.03241411e-02
1.140000	1.56050108e-03	1.26011514e-02
1.150000	1.85208509e-03	1.53462460e-02
1.160000	2.20295593e-03	1.87069379e-02
1.165000	2.40272057e-03	2.06590690e-02
1.170000	2.62371993e-03	2.28019425e-02
1.175000	2.86098527e-03	2.51300671e-02
1.180000	3.11530894e-03	2.76145216e-02
1.185000	3.38032167e-03	3.02021201e-02
1.190000	3.64617704e-03	3.27770510e-02
1.195000	3.90883202e-03	3.52825418e-02
1.200000	4.14833752e-03	3.75428759e-02
1.205000	4.35422894e-03	3.94054927e-02
1.210000	4.51071124e-03	4.07369131e-02
1.212500	4.56942498e-03	4.11749518e-02
1.215000	4.61397568e-03	4.14532931e-02
1.217500	4.64323326e-03	4.15733772e-02
1.220000	4.65991984e-03	4.15390390e-02
1.225000	4.63783052e-03	4.10518176e-02
1.225500	4.65820779e-03	4.09671609e-02
1.230000	4.59922776e-03	4.00842867e-02
1.235000	4.51694084e-03	3.87818804e-02
1.240000	4.41691074e-03	3.72748193e-02
1.250000	4.20213732e-03	3.40953265e-02
1.260000	4.01711338e-03	3.11815879e-02
1.270000	3.88790967e-03	2.88118026e-02
1.280000	3.82536983e-03	2.70461944e-02
1.290000	3.82525363e-03	2.58513555e-02
1.300000	3.88197957e-03	2.51567032e-02
1.310000	3.98579362e-03	2.48917986e-02
1.320000	4.13018964e-03	2.49870239e-02
1.330000	4.30364402e-03	2.53746385e-02
1.340000	4.48987880e-03	2.59749594e-02
1.350000	4.66571270e-03	2.66903362e-02
1.360000	4.80788321e-03	2.74111393e-02
1.370000	4.88938681e-03	2.80200347e-02
1.380000	4.89465136e-03	2.84209200e-02
1.390000	4.81762139e-03	2.85753402e-02
1.400000	4.67349416e-03	2.85295941e-02
1.410000	4.49028566e-03	2.84053591e-02
1.420000	4.29468728e-03	2.83593504e-02
1.430000	4.11015420e-03	2.85445518e-02
1.440000	3.95001631e-03	2.91054492e-02
1.450000	3.82296308e-03	3.01927856e-02
1.460000	3.73820541e-03	3.20050313e-02
1.470000	3.70874459e-03	3.48352290e-02
1.480000	3.75173474e-03	3.93118870e-02
1.490000	3.91411366e-03	4.77590634e-02
1.500000	4.10674907e-03	5.03884328e-02
1.510000	4.27092331e-03	5.15330544e-02
1.520000	4.32956713e-03	5.07329947e-02
1.530000	4.27019625e-03	4.84233586e-02
1.540000	4.14566817e-03	4.54642570e-02
1.550000	4.01300187e-03	4.25247000e-02
1.560000	3.90285747e-03	3.99542232e-02
1.570000	3.84168704e-03	3.78854823e-02
1.580000	3.83124942e-03	3.63777624e-02
1.590000	3.87618350e-03	3.54664769e-02
1.600000	3.97790556e-03	3.51983152e-02
1.610000	4.15317185e-03	3.55920923e-02
1.620000	4.51474266e-03	3.66181454e-02
1.630000	4.91089179e-03	3.82938368e-02
1.640000	5.33786984e-03	4.02277995e-02
1.650000	5.76219465e-03	4.20794311e-02
1.660000	6.16622053e-03	4.35201833e-02
1.670000	6.52917930e-03	4.43402607e-02
1.680000	6.85447231e-03	4.44855602e-02
1.690000	7.18450925e-03	4.27674597e-02
1.700000	7.47843547e-03	4.34954722e-02
1.710000	7.76838623e-03	4.40659008e-02
1.720000	8.04106007e-03	4.42375000e-02
1.730000	8.28263032e-03	4.40494993e-02
1.740000	8.50161592e-03	4.35919352e-02
1.750000	8.68827678e-03	4.29777862e-02
1.760000	8.84277457e-03	4.22844324e-02
1.770000	8.96193864e-03	4.15694272e-02
1.780000	9.03806273e-03	4.08776696e-02
1.790000	9.07601126e-03	4.02338176e-02
1.800000	9.08263505e-03	3.96652064e-02
1.810000	9.06997507e-03	3.91935582e-02
1.820000	9.04905421e-03	3.88388531e-02
1.830000	9.03337734e-03	3.86062077e-02
1.840000	9.02562279e-03	3.84993740e-02
1.850000	9.03290024e-03	3.85002520e-02
1.860000	9.05091210e-03	3.85913865e-02
1.870000	9.07569293e-03	3.87469922e-02
1.880000	9.10406013e-03	3.89350860e-02
1.890000	9.12691632e-03	3.91349386e-02
1.900000	9.14328717e-03	3.93254247e-02
1.910000	9.15201310e-03	3.94928675e-02
1.920000	9.15311598e-03	3.96336277e-02
1.930000	9.14774162e-03	3.97503745e-02
1.940000	9.13886898e-03	3.98509406e-02
1.950000	9.13129758e-03	3.99446407e-02
1.960000	9.12883572e-03	4.00440245e-02
1.970000	9.12750339e-03	4.01668975e-02
1.980000	9.13569944e-03	4.03205165e-02
1.990000	9.14885960e-03	4.05198864e-02
2.000000	9.17061604e-03	4.07713644e-02
2.020000	9.23338937e-03	4.14597115e-02
2.040000	9.32096736e-03	4.24147043e-02
2.060000	9.42975429e-03	4.36450211e-02
2.080000	9.55452254e-03	4.51437479e-02
2.100000	9.68624341e-03	4.68826405e-02
