#W	sigma_L	sigma_T
1.077010	1.08284044e-05	7.37830315e-05
1.080000	1.97190874e-04	1.34967786e-03
1.090000	4.67922563e-04	3.33102584e-03
1.100000	6.83388538e-04	4.99512468e-03
1.110000	8.86542125e-04	6.63514696e-03
1.120000	1.09171838e-03	8.37565473e-03
1.130000	1.31193604e-03	1.03241411e-02
1.140000	1.56050108e-03	1.26011514e-02
1.150000	1.85208509e-03	1.53462460e-02
1.160000	2.20295593e-03	1.87069379e-02
1.165000	2.40272057e-03	2.06590690e-02
1.170000	2.62371993e-03	2.28019425e-02
1.175000	2.86098527e-03	2.51300671e-02
1.180000	3.11530894e-03	2.76145216e-02
1.185000	3.38032167e-03	3.02021201e-02
1.190000	3.64912848e-03	3.28095987e-02
1.195000	3.91068653e-03	3.53153183e-02
1.200000	4.15030249e-03	3.75749103e-02
1.205000	4.35665850e-03	3.94368036e-02
1.210000	4.51408661e-03	4.07666477e-02
1.212500	4.57268928e-03	4.12045190e-02
1.215000	4.61517453e-03	4.14825215e-02
1.217500	4.64444170e-03	4.16022848e-02
1.220000	4.65907143e-03	4.15677106e-02
1.225000	4.64010534e-03	4.10773627e-02
1.225500	4.66035213e-03	4.09926483e-02
1.230000	4.60030164e-03	4.01066657e-02
1.235000	4.51788548e-03	3.88005660e-02
1.240000	4.41469617e-03	3.72889980e-02
1.250000	4.19777723e-03	3.40939642e-02
1.260000	4.00603047e-03	3.11566189e-02
1.270000	3.86452822e-03	2.87500449e-02
1.280000	3.78482048e-03	2.69296486e-02
1.290000	3.75689312e-03	2.56532343e-02
1.300000	3.77285871e-03	2.48444379e-02
1.310000	3.82382984e-03	2.44248986e-02
1.320000	3.89498197e-03	2.43189187e-02
1.330000	3.97377788e-03	2.44481586e-02
1.340000	4.04041487e-03	2.47241482e-02
1.350000	4.07167251e-03	2.50492602e-02
1.360000	4.04819948e-03	2.53175030e-02
1.370000	3.95036778e-03	2.54286941e-02
1.380000	3.77020508e-03	2.53155163e-02
1.390000	3.51838644e-03	2.49754901e-02
1.400000	3.22066341e-03	2.44892033e-02
1.410000	2.91491903e-03	2.39935718e-02
1.420000	2.63189417e-03	2.36376328e-02
1.430000	2.39146563e-03	2.35489506e-02
1.440000	2.20379231e-03	2.38332408e-02
1.450000	2.07245433e-03	2.45956103e-02
1.460000	2.00151489e-03	2.59759721e-02
1.470000	1.99668491e-03	2.81952821e-02
1.480000	2.06371939e-03	3.18821806e-02
1.490000	2.19949763e-03	3.55153201e-02
1.500000	2.33567928e-03	3.40146759e-02
1.510000	2.42394461e-03	3.26600637e-02
1.520000	2.41007243e-03	3.03165733e-02
1.530000	2.30691743e-03	2.72570632e-02
1.540000	2.16864014e-03	2.40551341e-02
1.550000	2.03590649e-03	2.11469044e-02
1.560000	1.92959902e-03	1.87434456e-02
1.570000	1.85224964e-03	1.69261282e-02
1.580000	1.80465654e-03	1.57250322e-02
1.590000	1.78572416e-03	1.51600739e-02
1.600000	1.79536361e-03	1.52460808e-02
1.610000	1.83885250e-03	1.59583491e-02
1.620000	1.90284750e-03	1.70613169e-02
1.630000	1.97156746e-03	1.85968795e-02
1.640000	2.05070218e-03	2.02235233e-02
1.650000	2.13305667e-03	2.16393986e-02
1.660000	2.20758664e-03	2.25862297e-02
1.670000	2.26315275e-03	2.29203466e-02
1.680000	2.29902517e-03	2.26896219e-02
1.690000	2.32346130e-03	2.00099391e-02
1.700000	2.29094744e-03	1.93651598e-02
1.710000	2.27400552e-03	1.90605230e-02
1.720000	2.26560409e-03	1.85462886e-02
1.730000	2.26695490e-03	1.78537829e-02
1.740000	2.27719420e-03	1.70647870e-02
1.750000	2.29687065e-03	1.62566615e-02
1.760000	2.32197177e-03	1.54831667e-02
1.770000	2.35014946e-03	1.47727972e-02
1.780000	2.37996135e-03	1.41361328e-02
1.790000	2.40817979e-03	1.35735169e-02
1.800000	2.43485272e-03	1.30784447e-02
1.810000	2.46054317e-03	1.26418885e-02
1.820000	2.48494979e-03	1.22531012e-02
1.830000	2.50850321e-03	1.19005032e-02
1.840000	2.53062705e-03	1.15716490e-02
1.850000	2.54819292e-03	1.12545544e-02
1.860000	2.56050438e-03	1.09385057e-02
1.870000	2.56659086e-03	1.06161696e-02
1.880000	2.56348569e-03	1.02837090e-02
1.890000	2.55159328e-03	9.94133299e-03
1.900000	2.53201442e-03	9.59322717e-03
1.910000	2.50524133e-03	9.24707730e-03
1.920000	2.47468415e-03	8.91092682e-03
1.930000	2.44153326e-03	8.59313362e-03
1.940000	2.40915185e-03	8.30114231e-03
1.950000	2.37863755e-03	8.03945109e-03
1.960000	2.35054130e-03	7.81099775e-03
1.970000	2.32657640e-03	7.61689645e-03
1.980000	2.30694725e-03	7.45678453e-03
1.990000	2.29124532e-03	7.32910501e-03
2.000000	2.27863658e-03	7.23225168e-03
2.020000	2.26387332e-03	7.12285909e-03
2.040000	2.26000851e-03	7.11220379e-03
2.060000	2.26208557e-03	7.18402992e-03
2.080000	2.26697157e-03	7.32324489e-03
2.100000	2.27238770e-03	7.51574511e-03
