Q2	W	LO_xsection(mub/GeV)	NLO_xsection(mub/GeV)	NLO_TMC_xsection(mub/GeV)	NLO_TMC_HT_xsection(mub/GeV)
4.435000e+00	1.070000e+00	6.258423e-07	1.443503e-06	2.957826e-05	4.686265e-05
4.435000e+00	1.080000e+00	8.032543e-07	1.806311e-06	3.123234e-05	4.913887e-05
4.435000e+00	1.090000e+00	1.013640e-06	2.225226e-06	3.289924e-05	5.140366e-05
4.435000e+00	1.100000e+00	1.260341e-06	2.704143e-06	3.460329e-05	5.369375e-05
4.435000e+00	1.110000e+00	1.546433e-06	3.246971e-06	3.636912e-05	5.604638e-05
4.435000e+00	1.120000e+00	1.875109e-06	3.857668e-06	3.821735e-05	5.849230e-05
4.435000e+00	1.130000e+00	2.250154e-06	4.540344e-06	4.015128e-05	6.103460e-05
4.435000e+00	1.140000e+00	2.674955e-06	5.299103e-06	4.216829e-05	6.366717e-05
4.435000e+00	1.150000e+00	3.152758e-06	6.137833e-06	4.425946e-05	6.637504e-05
4.435000e+00	1.160000e+00	3.686879e-06	7.060227e-06	4.641733e-05	6.914555e-05
4.435000e+00	1.170000e+00	4.281115e-06	8.069418e-06	4.864690e-05	7.198484e-05
4.435000e+00	1.180000e+00	4.938867e-06	9.168490e-06	5.095477e-05	7.490140e-05
4.435000e+00	1.190000e+00	5.663397e-06	1.036094e-05	5.334118e-05	7.789417e-05
4.435000e+00	1.200000e+00	6.457977e-06	1.165033e-05	5.580501e-05	8.096008e-05
4.435000e+00	1.210000e+00	7.326144e-06	1.304000e-05	5.834621e-05	8.409780e-05
4.435000e+00	1.220000e+00	8.271297e-06	1.453317e-05	6.096551e-05	8.730713e-05
4.435000e+00	1.230000e+00	9.296544e-06	1.613278e-05	6.366565e-05	9.059073e-05
4.435000e+00	1.240000e+00	1.040496e-05	1.784152e-05	6.644925e-05	9.395110e-05
4.435000e+00	1.250000e+00	1.159969e-05	1.966160e-05	6.931638e-05	9.738710e-05
4.435000e+00	1.260000e+00	1.288400e-05	2.159528e-05	7.226661e-05	1.008969e-04
4.435000e+00	1.270000e+00	1.426072e-05	2.364561e-05	7.530023e-05	1.044798e-04
4.435000e+00	1.280000e+00	1.573261e-05	2.581540e-05	7.841789e-05	1.081357e-04
4.435000e+00	1.290000e+00	1.730242e-05	2.810569e-05	8.162122e-05	1.118656e-04
4.435000e+00	1.300000e+00	1.897290e-05	3.051788e-05	8.491172e-05	1.156707e-04
4.435000e+00	1.310000e+00	2.074662e-05	3.305671e-05	8.828951e-05	1.195500e-04
4.435000e+00	1.320000e+00	2.262600e-05	3.572490e-05	9.175445e-05	1.235024e-04
4.435000e+00	1.330000e+00	2.461330e-05	3.851379e-05	9.530677e-05	1.275273e-04
4.435000e+00	1.340000e+00	2.671063e-05	4.142205e-05	9.894680e-05	1.316242e-04
4.435000e+00	1.350000e+00	2.892019e-05	4.448946e-05	1.026750e-04	1.357929e-04
4.435000e+00	1.360000e+00	3.123792e-05	4.774322e-05	1.064919e-04	1.400333e-04
4.435000e+00	1.370000e+00	3.369449e-05	5.111855e-05	1.103980e-04	1.443455e-04
4.435000e+00	1.380000e+00	3.624868e-05	5.455167e-05	1.143939e-04	1.487293e-04
4.435000e+00	1.390000e+00	3.891716e-05	5.807593e-05	1.184788e-04	1.531830e-04
4.435000e+00	1.400000e+00	4.171410e-05	6.174126e-05	1.226519e-04	1.577050e-04
4.435000e+00	1.410000e+00	4.463225e-05	6.556624e-05	1.269132e-04	1.622947e-04
4.435000e+00	1.420000e+00	4.767389e-05	6.955560e-05	1.312630e-04	1.669520e-04
4.435000e+00	1.430000e+00	5.083865e-05	7.369014e-05	1.357023e-04	1.716776e-04
4.435000e+00	1.440000e+00	5.412823e-05	7.795045e-05	1.402314e-04	1.764714e-04
4.435000e+00	1.450000e+00	5.754293e-05	8.234043e-05	1.448478e-04	1.813298e-04
4.435000e+00	1.460000e+00	6.108308e-05	8.686711e-05	1.495490e-04	1.862496e-04
4.435000e+00	1.470000e+00	6.474954e-05	9.152679e-05	1.543369e-04	1.912325e-04
4.435000e+00	1.480000e+00	6.854195e-05	9.631486e-05	1.592133e-04	1.962806e-04
4.435000e+00	1.490000e+00	7.246068e-05	1.012340e-04	1.641771e-04	2.013924e-04
4.435000e+00	1.500000e+00	7.650556e-05	1.062869e-04	1.692262e-04	2.065649e-04
4.435000e+00	1.510000e+00	8.067626e-05	1.114689e-04	1.743577e-04	2.117945e-04
4.435000e+00	1.520000e+00	8.497258e-05	1.167751e-04	1.795696e-04	2.170788e-04
4.435000e+00	1.530000e+00	8.939399e-05	1.222069e-04	1.848650e-04	2.224213e-04
4.435000e+00	1.540000e+00	9.393950e-05	1.277659e-04	1.902464e-04	2.278251e-04
4.435000e+00	1.550000e+00	9.860882e-05	1.334486e-04	1.957092e-04	2.332846e-04
4.435000e+00	1.560000e+00	1.034005e-04	1.392510e-04	2.012484e-04	2.387938e-04
4.435000e+00	1.570000e+00	1.083138e-04	1.451715e-04	2.068642e-04	2.443533e-04
4.435000e+00	1.580000e+00	1.133477e-04	1.512092e-04	2.125580e-04	2.499647e-04
4.435000e+00	1.590000e+00	1.185002e-04	1.573630e-04	2.183304e-04	2.556289e-04
4.435000e+00	1.600000e+00	1.237710e-04	1.636308e-04	2.241802e-04	2.613446e-04
4.435000e+00	1.610000e+00	1.291572e-04	1.700080e-04	2.301011e-04	2.671049e-04
4.435000e+00	1.620000e+00	1.346582e-04	1.764901e-04	2.360881e-04	2.729040e-04
4.435000e+00	1.630000e+00	1.402717e-04	1.830785e-04	2.421459e-04	2.787478e-04
4.435000e+00	1.640000e+00	1.459956e-04	1.897735e-04	2.482789e-04	2.846416e-04
4.435000e+00	1.650000e+00	1.518290e-04	1.965677e-04	2.544808e-04	2.905786e-04
4.435000e+00	1.660000e+00	1.577680e-04	2.034540e-04	2.607444e-04	2.965509e-04
4.435000e+00	1.670000e+00	1.638125e-04	2.104351e-04	2.670693e-04	3.025586e-04
4.435000e+00	1.680000e+00	1.699585e-04	2.175133e-04	2.734569e-04	3.086035e-04
4.435000e+00	1.690000e+00	1.762047e-04	2.246797e-04	2.799080e-04	3.146872e-04
4.435000e+00	1.700000e+00	1.825485e-04	2.319252e-04	2.864219e-04	3.208090e-04
4.435000e+00	1.710000e+00	1.889864e-04	2.392528e-04	2.929897e-04	3.269599e-04
4.435000e+00	1.720000e+00	1.955176e-04	2.466653e-04	2.996044e-04	3.331324e-04
4.435000e+00	1.730000e+00	2.021373e-04	2.541541e-04	3.062721e-04	3.393339e-04
4.435000e+00	1.740000e+00	2.088449e-04	2.617103e-04	3.129988e-04	3.455716e-04
4.435000e+00	1.750000e+00	2.156361e-04	2.693353e-04	3.197760e-04	3.518367e-04
4.435000e+00	1.760000e+00	2.225086e-04	2.770310e-04	3.265941e-04	3.581192e-04
4.435000e+00	1.770000e+00	2.294601e-04	2.847906e-04	3.334546e-04	3.644214e-04
4.435000e+00	1.780000e+00	2.364859e-04	2.926067e-04	3.403605e-04	3.707473e-04
4.435000e+00	1.790000e+00	2.435856e-04	3.004773e-04	3.473110e-04	3.770965e-04
4.435000e+00	1.800000e+00	2.507533e-04	3.084014e-04	3.543026e-04	3.834660e-04
4.435000e+00	1.810000e+00	2.579883e-04	3.163759e-04	3.613265e-04	3.898468e-04
4.435000e+00	1.820000e+00	2.652863e-04	3.243969e-04	3.683759e-04	3.962324e-04
4.435000e+00	1.830000e+00	2.726442e-04	3.324594e-04	3.754580e-04	4.026312e-04
4.435000e+00	1.840000e+00	2.800601e-04	3.405589e-04	3.825790e-04	4.090505e-04
4.435000e+00	1.850000e+00	2.875284e-04	3.486958e-04	3.897273e-04	4.154788e-04
4.435000e+00	1.860000e+00	2.950489e-04	3.568690e-04	3.968916e-04	4.219044e-04
4.435000e+00	1.870000e+00	3.026155e-04	3.650689e-04	4.040769e-04	4.283336e-04
4.435000e+00	1.880000e+00	3.102275e-04	3.732872e-04	4.112896e-04	4.347739e-04
4.435000e+00	1.890000e+00	3.178804e-04	3.815281e-04	4.185243e-04	4.412203e-04
4.435000e+00	1.900000e+00	3.255705e-04	3.897953e-04	4.257736e-04	4.476655e-04
4.435000e+00	1.910000e+00	3.332966e-04	3.980773e-04	4.330327e-04	4.541054e-04
4.435000e+00	1.920000e+00	3.410527e-04	4.063630e-04	4.402992e-04	4.605382e-04
4.435000e+00	1.930000e+00	3.488386e-04	4.146594e-04	4.475772e-04	4.669688e-04
4.435000e+00	1.940000e+00	3.566486e-04	4.229724e-04	4.548694e-04	4.734008e-04
4.435000e+00	1.950000e+00	3.644812e-04	4.312860e-04	4.621669e-04	4.798256e-04
4.435000e+00	1.960000e+00	3.723330e-04	4.395852e-04	4.694568e-04	4.862306e-04
4.435000e+00	1.970000e+00	3.801996e-04	4.478800e-04	4.767222e-04	4.925991e-04
4.435000e+00	1.980000e+00	3.880805e-04	4.561801e-04	4.839594e-04	4.989281e-04
4.435000e+00	1.990000e+00	3.959692e-04	4.644693e-04	4.912200e-04	5.052714e-04
4.435000e+00	2.000000e+00	4.038659e-04	4.727321e-04	4.985516e-04	5.116785e-04
4.435000e+00	2.010000e+00	4.117653e-04	4.809792e-04	5.059300e-04	5.181246e-04
4.435000e+00	2.020000e+00	4.196657e-04	4.892213e-04	5.133134e-04	5.245675e-04
4.435000e+00	2.030000e+00	4.275645e-04	4.974418e-04	5.206607e-04	5.309658e-04
4.435000e+00	2.040000e+00	4.354567e-04	5.056239e-04	5.279414e-04	5.372895e-04
4.435000e+00	2.050000e+00	4.433424e-04	5.137770e-04	5.351673e-04	5.435513e-04
4.435000e+00	2.060000e+00	4.512157e-04	5.219123e-04	5.423563e-04	5.497703e-04
4.435000e+00	2.070000e+00	4.590768e-04	5.300213e-04	5.495095e-04	5.559483e-04
4.435000e+00	2.080000e+00	4.669209e-04	5.380875e-04	5.566245e-04	5.620836e-04
4.435000e+00	2.090000e+00	4.747456e-04	5.460790e-04	5.637019e-04	5.681774e-04
4.435000e+00	2.100000e+00	4.825494e-04	5.539855e-04	5.707430e-04	5.742319e-04
4.435000e+00	2.110000e+00	4.903277e-04	5.618968e-04	5.777487e-04	5.802483e-04
4.435000e+00	2.120000e+00	4.980807e-04	5.698902e-04	5.847186e-04	5.862270e-04
4.435000e+00	2.130000e+00	5.058032e-04	5.778985e-04	5.916495e-04	5.921653e-04
4.435000e+00	2.140000e+00	5.134950e-04	5.858339e-04	5.985404e-04	5.980627e-04
4.435000e+00	2.150000e+00	5.211525e-04	5.936687e-04	6.054021e-04	6.039307e-04
4.435000e+00	2.160000e+00	5.287727e-04	6.013951e-04	6.122468e-04	6.097816e-04
4.435000e+00	2.170000e+00	5.363554e-04	6.090254e-04	6.190790e-04	6.156206e-04
4.435000e+00	2.180000e+00	5.438958e-04	6.165738e-04	6.258988e-04	6.214479e-04
4.435000e+00	2.190000e+00	5.513946e-04	6.240433e-04	6.326942e-04	6.272521e-04
4.435000e+00	2.200000e+00	5.588474e-04	6.314344e-04	6.394520e-04	6.330205e-04
4.435000e+00	2.210000e+00	5.662534e-04	6.387500e-04	6.461656e-04	6.387469e-04
4.435000e+00	2.220000e+00	5.736106e-04	6.459923e-04	6.528296e-04	6.444267e-04
4.435000e+00	2.230000e+00	5.809156e-04	6.531599e-04	6.594378e-04	6.500539e-04
4.435000e+00	2.240000e+00	5.881687e-04	6.602529e-04	6.659841e-04	6.556231e-04
4.435000e+00	2.250000e+00	5.953660e-04	6.672816e-04	6.724646e-04	6.611309e-04
4.435000e+00	2.260000e+00	6.025076e-04	6.742589e-04	6.788748e-04	6.665733e-04
4.435000e+00	2.270000e+00	6.095908e-04	6.811989e-04	6.852053e-04	6.719415e-04
4.435000e+00	2.280000e+00	6.166138e-04	6.881089e-04	6.914502e-04	6.772302e-04
4.435000e+00	2.290000e+00	6.235763e-04	6.949718e-04	6.976223e-04	6.824524e-04
4.435000e+00	2.300000e+00	6.304746e-04	7.017670e-04	7.037389e-04	6.876253e-04
4.435000e+00	2.310000e+00	6.373097e-04	7.084857e-04	7.098172e-04	6.927660e-04
4.435000e+00	2.320000e+00	6.440781e-04	7.151219e-04	7.158684e-04	6.978855e-04
4.435000e+00	2.330000e+00	6.507797e-04	7.216674e-04	7.218794e-04	7.029714e-04
4.435000e+00	2.340000e+00	6.574132e-04	7.281145e-04	7.278337e-04	7.080078e-04
4.435000e+00	2.350000e+00	6.639763e-04	7.344592e-04	7.337256e-04	7.129896e-04
4.435000e+00	2.360000e+00	6.704697e-04	7.406965e-04	7.395518e-04	7.179136e-04
4.435000e+00	2.370000e+00	6.768902e-04	7.468132e-04	7.453067e-04	7.227747e-04
4.435000e+00	2.380000e+00	6.832383e-04	7.528063e-04	7.509852e-04	7.275682e-04
4.435000e+00	2.390000e+00	6.895123e-04	7.587204e-04	7.565838e-04	7.322911e-04
4.435000e+00	2.400000e+00	6.957110e-04	7.645978e-04	7.620989e-04	7.369400e-04
4.435000e+00	2.410000e+00	7.018347e-04	7.704273e-04	7.675233e-04	7.415083e-04
4.435000e+00	2.420000e+00	7.078807e-04	7.761876e-04	7.728525e-04	7.459918e-04
4.435000e+00	2.430000e+00	7.138500e-04	7.818696e-04	7.780962e-04	7.504001e-04
4.435000e+00	2.440000e+00	7.197408e-04	7.874669e-04	7.832681e-04	7.547467e-04
4.435000e+00	2.450000e+00	7.255528e-04	7.929725e-04	7.883845e-04	7.590474e-04
4.435000e+00	2.460000e+00	7.312858e-04	7.983799e-04	7.934570e-04	7.633132e-04
4.435000e+00	2.470000e+00	7.369379e-04	8.036851e-04	7.984748e-04	7.675341e-04
4.435000e+00	2.480000e+00	7.425101e-04	8.088839e-04	8.034241e-04	7.716967e-04
4.435000e+00	2.490000e+00	7.480007e-04	8.139676e-04	8.083006e-04	7.757973e-04
4.435000e+00	2.500000e+00	7.534145e-04	8.189309e-04	8.131022e-04	7.798337e-04
