Q2	W	LO_xsection(mub/GeV)	NLO_xsection(mub/GeV)	NLO_TMC_xsection(mub/GeV)	NLO_TMC_HT_xsection(mub/GeV)
6.065000e+00	1.070000e+00	1.059623e-07	1.030216e-07	4.923793e-06	7.037239e-06
6.065000e+00	1.080000e+00	1.420265e-07	1.456051e-07	5.224929e-06	7.435006e-06
6.065000e+00	1.090000e+00	1.860770e-07	1.901265e-07	5.538689e-06	7.847113e-06
6.065000e+00	1.100000e+00	2.351058e-07	2.379121e-07	5.866154e-06	8.274866e-06
6.065000e+00	1.110000e+00	2.890787e-07	2.903110e-07	6.208416e-06	8.719585e-06
6.065000e+00	1.120000e+00	3.496514e-07	3.491320e-07	6.566617e-06	9.182648e-06
6.065000e+00	1.130000e+00	4.185555e-07	4.179730e-07	6.942057e-06	9.665612e-06
6.065000e+00	1.140000e+00	4.975978e-07	5.006009e-07	7.335849e-06	1.016976e-05
6.065000e+00	1.150000e+00	5.886598e-07	5.995159e-07	7.748177e-06	1.069507e-05
6.065000e+00	1.160000e+00	6.936441e-07	7.152780e-07	8.178581e-06	1.124062e-05
6.065000e+00	1.170000e+00	8.098180e-07	8.418645e-07	8.624964e-06	1.180331e-05
6.065000e+00	1.180000e+00	9.358752e-07	9.739197e-07	9.085657e-06	1.238062e-05
6.065000e+00	1.190000e+00	1.073546e-06	1.115716e-06	9.562458e-06	1.297480e-05
6.065000e+00	1.200000e+00	1.224625e-06	1.273744e-06	1.005771e-05	1.358882e-05
6.065000e+00	1.210000e+00	1.390966e-06	1.453475e-06	1.057231e-05	1.422364e-05
6.065000e+00	1.220000e+00	1.574487e-06	1.658183e-06	1.110709e-05	1.488009e-05
6.065000e+00	1.230000e+00	1.777158e-06	1.883213e-06	1.166386e-05	1.556034e-05
6.065000e+00	1.240000e+00	1.996877e-06	2.123146e-06	1.224399e-05	1.626591e-05
6.065000e+00	1.250000e+00	2.231912e-06	2.377714e-06	1.284583e-05	1.699432e-05
6.065000e+00	1.260000e+00	2.483913e-06	2.648667e-06	1.346732e-05	1.774259e-05
6.065000e+00	1.270000e+00	2.754580e-06	2.940635e-06	1.410799e-05	1.850986e-05
6.065000e+00	1.280000e+00	3.045656e-06	3.258635e-06	1.476803e-05	1.929618e-05
6.065000e+00	1.290000e+00	3.358929e-06	3.606218e-06	1.544891e-05	2.010322e-05
6.065000e+00	1.300000e+00	3.696227e-06	3.984447e-06	1.615223e-05	2.093285e-05
6.065000e+00	1.310000e+00	4.055730e-06	4.385811e-06	1.687888e-05	2.178595e-05
6.065000e+00	1.320000e+00	4.435767e-06	4.803409e-06	1.762970e-05	2.266335e-05
6.065000e+00	1.330000e+00	4.837840e-06	5.241657e-06	1.840608e-05	2.356655e-05
6.065000e+00	1.340000e+00	5.263477e-06	5.707516e-06	1.920874e-05	2.449620e-05
6.065000e+00	1.350000e+00	5.714241e-06	6.206624e-06	2.003518e-05	2.544887e-05
6.065000e+00	1.360000e+00	6.191721e-06	6.742280e-06	2.088293e-05	2.642118e-05
6.065000e+00	1.370000e+00	6.697529e-06	7.309647e-06	2.175305e-05	2.741426e-05
6.065000e+00	1.380000e+00	7.229989e-06	7.903060e-06	2.264725e-05	2.843009e-05
6.065000e+00	1.390000e+00	7.787678e-06	8.521866e-06	2.356636e-05	2.946946e-05
6.065000e+00	1.400000e+00	8.371837e-06	9.167405e-06	2.451106e-05	3.053302e-05
6.065000e+00	1.410000e+00	8.983726e-06	9.843997e-06	2.548252e-05	3.162196e-05
6.065000e+00	1.420000e+00	9.624622e-06	1.055631e-05	2.648164e-05	3.273718e-05
6.065000e+00	1.430000e+00	1.029581e-05	1.130734e-05	2.750789e-05	3.387781e-05
6.065000e+00	1.440000e+00	1.099860e-05	1.209775e-05	2.856035e-05	3.504244e-05
6.065000e+00	1.450000e+00	1.173176e-05	1.292040e-05	2.963785e-05	3.622949e-05
6.065000e+00	1.460000e+00	1.249415e-05	1.376872e-05	3.073964e-05	3.743785e-05
6.065000e+00	1.470000e+00	1.328651e-05	1.464650e-05	3.186678e-05	3.866863e-05
6.065000e+00	1.480000e+00	1.410954e-05	1.555975e-05	3.302056e-05	3.992321e-05
6.065000e+00	1.490000e+00	1.496397e-05	1.651307e-05	3.420145e-05	4.120201e-05
6.065000e+00	1.500000e+00	1.585050e-05	1.750900e-05	3.540987e-05	4.250532e-05
6.065000e+00	1.510000e+00	1.676986e-05	1.854317e-05	3.664660e-05	4.383390e-05
6.065000e+00	1.520000e+00	1.772027e-05	1.961047e-05	3.791205e-05	4.518806e-05
6.065000e+00	1.530000e+00	1.870074e-05	2.070990e-05	3.920460e-05	4.656570e-05
6.065000e+00	1.540000e+00	1.971245e-05	2.184205e-05	4.052262e-05	4.796474e-05
6.065000e+00	1.550000e+00	2.075660e-05	2.300992e-05	4.186651e-05	4.938552e-05
6.065000e+00	1.560000e+00	2.183438e-05	2.421684e-05	4.323704e-05	5.082883e-05
6.065000e+00	1.570000e+00	2.294700e-05	2.546514e-05	4.463449e-05	5.229486e-05
6.065000e+00	1.580000e+00	2.409566e-05	2.675536e-05	4.605906e-05	5.378371e-05
6.065000e+00	1.590000e+00	2.527995e-05	2.808189e-05	4.751114e-05	5.529573e-05
6.065000e+00	1.600000e+00	2.649841e-05	2.943942e-05	4.899104e-05	5.683115e-05
6.065000e+00	1.610000e+00	2.775092e-05	3.083006e-05	5.049836e-05	5.838939e-05
6.065000e+00	1.620000e+00	2.903737e-05	3.225746e-05	5.203253e-05	5.996969e-05
6.065000e+00	1.630000e+00	3.035762e-05	3.372395e-05	5.359299e-05	6.157131e-05
6.065000e+00	1.640000e+00	3.171153e-05	3.523074e-05	5.517932e-05	6.319368e-05
6.065000e+00	1.650000e+00	3.309893e-05	3.677604e-05	5.679155e-05	6.483678e-05
6.065000e+00	1.660000e+00	3.452275e-05	3.835738e-05	5.842980e-05	6.650066e-05
6.065000e+00	1.670000e+00	3.598113e-05	3.997257e-05	6.009398e-05	6.818516e-05
6.065000e+00	1.680000e+00	3.747326e-05	4.162019e-05	6.178395e-05	6.989007e-05
6.065000e+00	1.690000e+00	3.899887e-05	4.330168e-05	6.349965e-05	7.161525e-05
6.065000e+00	1.700000e+00	4.055765e-05	4.501908e-05	6.524099e-05	7.336056e-05
6.065000e+00	1.710000e+00	4.214929e-05	4.677379e-05	6.700778e-05	7.512575e-05
6.065000e+00	1.720000e+00	4.377347e-05	4.856618e-05	6.879975e-05	7.691048e-05
6.065000e+00	1.730000e+00	4.542994e-05	5.039298e-05	7.061640e-05	7.871415e-05
6.065000e+00	1.740000e+00	4.711874e-05	5.225087e-05	7.245720e-05	8.053616e-05
