# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.150000 1.68592479e-06 1.53167958e-06 1.54245212e-07 1.80567665e-07 1.17888668e-01 3.53666004e-02
1.200000 5.43035023e-06 4.96527888e-06 4.65071351e-07 5.46968804e-07 1.10158728e-01 3.30476183e-02
1.250000 6.35953480e-06 5.75117049e-06 6.08364306e-07 7.19055836e-07 1.25027738e-01 3.75083213e-02
1.300000 5.95431819e-06 5.25222603e-06 7.02092159e-07 8.34254174e-07 1.58838209e-01 4.76514626e-02
1.350000 7.77044686e-06 6.74372013e-06 1.02672673e-06 1.22693855e-06 1.81937940e-01 5.45813820e-02
1.400000 9.79937846e-06 8.57447416e-06 1.22490430e-06 1.47265704e-06 1.71748962e-01 5.15246887e-02
1.450000 1.18182229e-05 1.06466729e-05 1.17155002e-06 1.41765290e-06 1.33154546e-01 3.99463638e-02
1.500000 2.20566287e-05 2.06096362e-05 1.44699253e-06 1.76308866e-06 8.55468116e-02 2.56640435e-02
1.550000 2.15510353e-05 1.99484114e-05 1.60262393e-06 1.96715862e-06 9.86122947e-02 2.95836884e-02
1.600000 2.05693325e-05 1.87925288e-05 1.77680368e-06 2.19816897e-06 1.16970366e-01 3.50911098e-02
1.650000 2.82103559e-05 2.53656647e-05 2.84469124e-06 3.54893871e-06 1.39911126e-01 4.19733378e-02
1.700000 3.34521481e-05 2.94144539e-05 4.03769415e-06 5.08254689e-06 1.72790795e-01 5.18372386e-02
1.750000 3.75196046e-05 3.24401215e-05 5.07948314e-06 6.45522241e-06 1.98988848e-01 5.96966545e-02
1.800000 3.89252476e-05 3.32253727e-05 5.69987487e-06 7.31774682e-06 2.20245740e-01 6.60737221e-02
1.850000 4.16495249e-05 3.56126285e-05 6.03689635e-06 7.83505115e-06 2.20007662e-01 6.60022987e-02
1.900000 4.64497210e-05 3.99893645e-05 6.46035642e-06 8.48236557e-06 2.12115538e-01 6.36346614e-02
1.950000 5.12485724e-05 4.44715467e-05 6.77702567e-06 9.00887978e-06 2.02576264e-01 6.07728791e-02
2.000000 5.60125232e-05 4.90874863e-05 6.92503688e-06 9.32799013e-06 1.90027863e-01 5.70083590e-02
2.050000 6.08594568e-05 5.43808916e-05 6.47856522e-06 8.85052306e-06 1.62750606e-01 4.88251818e-02
2.100000 6.61406416e-05 5.98156846e-05 6.32495702e-06 8.77183909e-06 1.46647809e-01 4.39943427e-02
2.150000 7.16290150e-05 6.53522509e-05 6.27676409e-06 8.84631796e-06 1.35363631e-01 4.06090892e-02
2.200000 7.71974052e-05 7.08625001e-05 6.33490512e-06 9.08335156e-06 1.28182770e-01 3.84548310e-02
2.250000 8.27308913e-05 7.62535221e-05 6.47736918e-06 9.46036647e-06 1.24064649e-01 3.72193948e-02
2.300000 8.81419619e-05 8.14899079e-05 6.65205408e-06 9.90911362e-06 1.21599274e-01 3.64797821e-02
2.350000 9.34151641e-05 8.66102197e-05 6.80494448e-06 1.03534883e-05 1.19541186e-01 3.58623557e-02
2.400000 9.86160093e-05 9.17504702e-05 6.86553911e-06 1.06852651e-05 1.16460058e-01 3.49380175e-02
2.450000 1.03963996e-04 9.71717180e-05 6.79227754e-06 1.08317393e-05 1.11470082e-01 3.34410245e-02
2.500000 1.09830440e-04 1.03284830e-04 6.54560955e-06 1.07150361e-05 1.03742593e-01 3.11227778e-02
