channel,q2_min,q2_max,q2,w_min,w_max,w,F_2,F_2_err
pi+ n,0.25,0.35,0.3,1.115,1.125,1.12,0.033086805977575774,0.0027441157941348426
pi+ n,0.25,0.35,0.3,1.125,1.135,1.13,0.035401802644072,0.0020749211821002
pi+ n,0.25,0.35,0.3,1.135,1.145,1.14,0.0439921669377322,0.0023886339744525
pi+ n,0.25,0.35,0.3,1.145,1.155,1.15,0.0525825312313924,0.0027023467668048
pi+ n,0.25,0.35,0.3,1.155,1.165,1.16,0.065459878297158,0.0082217087624001
pi+ n,0.25,0.35,0.3,1.165,1.175,1.17,0.0783372253629236,0.0137410707579954
pi+ n,0.25,0.35,0.3,1.175,1.185,1.18,0.09645838280329094,0.01271686064872615
pi+ n,0.25,0.35,0.3,1.185,1.195,1.19,0.1145795402436583,0.0116926505394569
pi+ n,0.25,0.35,0.3,1.195,1.205,1.2,0.13371369056535926,0.0123162028136704
pi+ n,0.25,0.35,0.3,1.205,1.215,1.21,0.1528478408870602,0.0129397550878839
pi+ n,0.25,0.35,0.3,1.215,1.225,1.22,0.1492412354194812,0.015017969942533502
pi+ n,0.25,0.35,0.3,1.225,1.235,1.23,0.1456346299519022,0.0170961847971831
pi+ n,0.25,0.35,0.3,1.235,1.245,1.24,0.13824032415356924,0.02689432828585095
pi+ n,0.25,0.35,0.3,1.245,1.255,1.25,0.1308460183552363,0.0366924717745188
pi+ n,0.25,0.35,0.3,1.255,1.265,1.26,0.1184195622855356,0.028060754653097847
pi+ n,0.25,0.35,0.3,1.265,1.275,1.27,0.1059931062158349,0.019429037531676897
pi+ n,0.25,0.35,0.3,1.275,1.285,1.28,0.0979257256498717,0.019178121528929747
pi+ n,0.25,0.35,0.3,1.285,1.295,1.29,0.0898583450839085,0.0189272055261826
pi+ n,0.25,0.35,0.3,1.295,1.305,1.3,0.0852737849459888,0.0174171634094921
pi+ n,0.25,0.35,0.3,1.305,1.315,1.31,0.0806892248080691,0.0159071212928016
pi+ n,0.25,0.35,0.3,1.315,1.325,1.32,0.0791738177531067,0.01819372789727
pi+ n,0.25,0.35,0.3,1.325,1.335,1.33,0.0776584106981443,0.0204803345017384
pi+ n,0.25,0.35,0.3,1.335,1.345,1.34,0.07516429770793423,0.0172084576991493
pi+ n,0.25,0.35,0.3,1.345,1.355,1.35,0.07267018471772416,0.0139365808965602
pi+ n,0.25,0.35,0.3,1.355,1.365,1.36,0.07017607172751408,0.0106647040939711
pi+ n,0.25,0.35,0.3,1.365,1.375,1.37,0.067681958737304,0.007392827291382
pi+ n,0.25,0.35,0.3,1.375,1.385,1.38,0.06714369937583106,0.006255886939289913
