channel,q2_min,q2_max,q2,w_min,w_max,w,beam_energy,sigma_U,sigma_U_err,F_2,F_2_err,d2sigma_dOmega_pi_dE_f,d2sigma_dOmega_pi_dE_f_err,d2sigma_dWdQ2,d2sigma_dWdQ2_err
pi+ n,0.25,0.35,0.3,1.1,1.12,1.11,1.515,74.08683057024878,8.21795518063674,0.030771809311079517,0.0034133104061695677,0.11946460480766566,0.013251407307145925,0.25098381878101494,0.027839951553221217
pi+ n,0.25,0.35,0.3,1.12,1.14,1.13,1.515,73.55863107355957,4.311316100915599,0.03540180264407201,0.0020749211821002186,0.12403004920850123,0.007269476611320103,0.270807181060292,0.015872173569696432
pi+ n,0.25,0.35,0.3,1.14,1.16,1.15,1.515,95.78504326707275,4.922631070040695,0.05258253123139248,0.0027023467668048614,0.16658148669530118,0.008561035983597571,0.37818587465309167,0.019435910590205847
pi+ n,0.25,0.35,0.3,1.16,1.18,1.17,1.515,126.77939818156352,22.238273987853717,0.07833722536292369,0.01374107075799542,0.2247813561180601,0.039428719937256065,0.5309168881810057,0.09312771154852229
pi+ n,0.25,0.35,0.3,1.18,1.2,1.19,1.515,166.63562712272372,17.004887183400058,0.11457954024365832,0.011692650539456914,0.29819515239039784,0.030430316809147796,0.733199646340119,0.07482179822049781
pi+ n,0.25,0.35,0.3,1.2,1.22,1.21,1.515,201.74328285422962,17.07913344152727,0.1528478408870602,0.01293975508788395,0.3611880309341843,0.030577367883245398,0.9251353096266036,0.07831987851609477
pi+ n,0.25,0.35,0.3,1.22,1.24,1.23,1.515,175.9721328153745,20.657532502809865,0.1456346299519022,0.01709618479718319,0.31274717780624184,0.036713682373065167,0.8351018787007629,0.09803338702792251
pi+ n,0.25,0.35,0.3,1.24,1.26,1.25,1.515,145.84480391236727,40.89850358675898,0.13084601835523635,0.0366924717745188,0.2555178869220097,0.07165355867624935,0.7118636705372064,0.19962424509990062
pi+ n,0.25,0.35,0.3,1.26,1.28,1.27,1.515,109.7213859395777,20.112448833291975,0.10599310621583495,0.019429037531676907,0.18830300607704678,0.03451683135833936,0.5478372812224124,0.10042116396181171
pi+ n,0.25,0.35,0.3,1.28,1.3,1.29,1.515,86.90844006665178,18.305855795201094,0.0898583450839085,0.018927205526182662,0.1452638930015299,0.030597487142746443,0.4417710600636579,0.09305192123821768
pi+ n,0.25,0.35,0.3,1.3,1.32,1.31,1.515,73.30506266900714,14.451403220516646,0.0806892248080691,0.01590712129280163,0.11870043455276388,0.023400673564907694,0.377749785662076,0.07446981518473526
pi+ n,0.25,0.35,0.3,1.32,1.34,1.33,1.515,66.588756240394,17.561008390435443,0.07765841069814437,0.02048033450173848,0.10394399386261374,0.02741245596729484,0.34655763635578335,0.09139533313766211
pi+ n,0.25,0.35,0.3,1.36,1.38,1.37,1.515,52.34440709067848,5.717523081640569,0.06768195873730408,0.007392827291382063,0.07490611619396237,0.008181914212020908,0.2752205131469876,0.030062039555303073
pi+ n,0.25,0.35,0.3,1.38,1.4,1.39,1.515,49.18542292040946,3.7801349671143485,0.06660544001435811,0.005118946587197838,0.06696486251439818,0.00514656992516461,0.25887528533658877,0.019895803677566447
pi+ n,0.25,0.35,0.3,1.4,1.42,1.41,1.515,45.63516949516726,4.708890591586232,0.06452002979084376,0.006657535506319127,0.058874274118603485,0.006074975036806197,0.23988155619602244,0.024752313085768984
pi+ n,0.25,0.35,0.3,1.42,1.44,1.43,1.515,44.77127599672704,5.553582225202172,0.06590271562569228,0.00817479828178571,0.05451732066878774,0.0067625149449383574,0.23456314357299862,0.029096014706611897
pi+ n,0.25,0.35,0.3,1.44,1.46,1.45,1.515,47.81617535913886,6.203381699861554,0.07309668726253743,0.009483122576809416,0.054743587316230274,0.007102102273794068,0.24924621518929263,0.03233569808651585
pi+ n,0.25,0.35,0.3,1.46,1.48,1.47,1.515,54.68400411845411,4.993078847427473,0.0866209583798513,0.007909173477740528,0.05863465280731331,0.005353804085455591,0.2831645954064795,0.02585515041293981
pi+ n,0.25,0.35,0.3,1.48,1.5,1.49,1.515,58.307298540734074,3.871506374673326,0.09550944824988547,0.006341666429334603,0.05832284569616764,0.003872538679596989,0.29953753325708,0.019888787484272783
