#W	lo_pdf_xsect	error
1.020979e+00	1.502053e-12	4.720202e-12
1.098778e+00	1.232149e-12	5.461067e-12
1.172872e+00	4.390357e-10	3.209735e-11
1.243965e+00	2.165539e-09	1.267551e-10
1.312588e+00	5.351997e-09	3.046023e-10
1.379151e+00	1.040311e-08	5.311682e-10
1.443982e+00	1.818808e-08	8.689080e-10
1.507344e+00	2.945334e-08	1.345484e-09
1.569458e+00	4.511408e-08	2.084943e-09
1.630509e+00	6.589041e-08	2.841897e-09
1.690654e+00	9.277075e-08	3.895982e-09
1.750029e+00	1.268671e-07	5.208285e-09
1.808753e+00	1.689204e-07	6.602480e-09
1.866932e+00	2.205308e-07	8.358342e-09
1.924659e+00	2.816500e-07	1.056940e-08
1.982019e+00	3.543782e-07	1.286905e-08
2.039091e+00	4.396004e-07	1.590081e-08
2.095943e+00	5.400002e-07	2.580392e-08
2.152642e+00	6.505521e-07	2.216861e-08
