#W	lo_pdf_xsect	error
1.030825e+00	1.356960e-12	4.823624e-12
1.117197e+00	1.113106e-12	5.550687e-12
1.198951e+00	3.958528e-10	3.139963e-11
1.277021e+00	1.963475e-09	1.249217e-10
1.352091e+00	4.854922e-09	3.122265e-10
1.424682e+00	9.510042e-09	5.130302e-10
1.495199e+00	1.673762e-08	8.280039e-10
1.563969e+00	2.710899e-08	1.242681e-09
1.631258e+00	4.155787e-08	1.921180e-09
1.697287e+00	6.086752e-08	2.613522e-09
1.762243e+00	8.561422e-08	3.725048e-09
1.826288e+00	1.172022e-07	4.408425e-09
1.889560e+00	1.562766e-07	5.570109e-09
1.952182e+00	2.034998e-07	6.563481e-09
2.014262e+00	2.594892e-07	8.059644e-09
2.075898e+00	3.261272e-07	9.677177e-09
2.137178e+00	4.032351e-07	1.139168e-08
2.198181e+00	4.922556e-07	1.490949e-08
2.258983e+00	5.946299e-07	1.761066e-08
2.319651e+00	7.073858e-07	1.403077e-08
2.380250e+00	8.352031e-07	1.368718e-08
2.440841e+00	9.781606e-07	1.622481e-08
2.501481e+00	1.136362e-06	1.852355e-08
2.562224e+00	1.314401e-06	2.235359e-08
2.623125e+00	1.503422e-06	2.255226e-08
2.684233e+00	1.712430e-06	2.353817e-08
2.745599e+00	1.936870e-06	2.445929e-08
2.807273e+00	2.181028e-06	2.804223e-08
2.869302e+00	2.444845e-06	3.169824e-08
2.931735e+00	2.723654e-06	3.211552e-08
2.994618e+00	3.021622e-06	3.469772e-08
3.058001e+00	3.334190e-06	3.372590e-08
3.121931e+00	3.669874e-06	3.826609e-08
3.186457e+00	4.019796e-06	3.667217e-08
3.251629e+00	4.388227e-06	4.105044e-08
3.317496e+00	4.773453e-06	4.174370e-08
3.384112e+00	5.172783e-06	5.458251e-08
3.451527e+00	5.602793e-06	7.855383e-08
3.519798e+00	6.030016e-06	6.405151e-08
3.588981e+00	6.501552e-06	1.382475e-07
3.659133e+00	6.925666e-06	1.011184e-07
3.730317e+00	7.437793e-06	9.834719e-08
3.802595e+00	7.902013e-06	7.681378e-08
3.876034e+00	8.408651e-06	6.562288e-08
3.950703e+00	8.955838e-06	1.449860e-07
4.026676e+00	9.455463e-06	7.501058e-08
4.104028e+00	9.996305e-06	7.583184e-08
4.182842e+00	1.053445e-05	1.010790e-07
4.263203e+00	1.111426e-05	1.078966e-07
4.345202e+00	1.169077e-05	1.660669e-07
4.428936e+00	1.226546e-05	1.823235e-07
4.514508e+00	1.284152e-05	1.300173e-07
4.602027e+00	1.341658e-05	1.208443e-07
4.691611e+00	1.403796e-05	1.520687e-07
4.783386e+00	1.462410e-05	1.630128e-07
4.877486e+00	1.525691e-05	1.401464e-07
