#W	lo_pdf_xsect	error
9.533113e-01	1.182912e-09	6.003314e-09
9.681914e-01	1.164256e-09	6.412854e-09
9.831460e-01	4.288446e-07	3.649186e-08
9.981811e-01	1.871408e-06	1.306584e-07
1.013303e+00	4.186612e-06	2.684127e-07
1.028516e+00	7.498762e-06	4.501113e-07
1.043829e+00	1.220621e-05	7.224100e-07
1.059245e+00	1.849723e-05	9.328039e-07
1.074772e+00	2.673040e-05	1.357028e-06
1.090415e+00	3.700640e-05	1.716421e-06
1.106181e+00	4.969914e-05	2.192326e-06
1.122076e+00	6.491361e-05	2.709804e-06
1.138107e+00	8.292916e-05	3.264182e-06
1.154281e+00	1.038474e-04	4.357574e-06
1.170603e+00	1.279434e-04	5.042665e-06
1.187082e+00	1.557709e-04	5.736742e-06
1.203724e+00	1.864240e-04	6.172567e-06
1.220536e+00	2.208018e-04	7.474260e-06
1.237527e+00	2.588737e-04	7.484600e-06
1.254704e+00	3.006514e-04	7.308988e-06
1.272075e+00	3.470265e-04	6.901232e-06
1.289648e+00	3.971116e-04	7.741598e-06
1.307432e+00	4.509267e-04	8.101478e-06
1.325437e+00	5.093812e-04	8.465864e-06
1.343670e+00	5.715317e-04	8.923633e-06
1.362142e+00	6.382105e-04	1.012562e-05
1.380863e+00	7.093244e-04	1.062710e-05
1.399843e+00	7.838843e-04	1.128665e-05
1.419093e+00	8.629408e-04	1.162653e-05
1.438624e+00	9.427033e-04	2.455693e-05
1.458449e+00	1.033536e-03	1.935776e-05
1.478578e+00	1.124416e-03	2.256670e-05
1.499027e+00	1.214599e-03	1.956866e-05
1.519807e+00	1.313246e-03	1.811433e-05
1.540933e+00	1.411189e-03	2.125338e-05
1.562420e+00	1.517475e-03	2.194767e-05
1.584284e+00	1.622814e-03	2.214693e-05
1.606542e+00	1.727155e-03	3.083203e-05
1.629209e+00	1.839220e-03	2.384791e-05
1.652306e+00	1.950043e-03	2.667544e-05
1.675851e+00	2.068135e-03	2.633914e-05
1.699865e+00	2.184721e-03	3.430292e-05
1.724369e+00	2.299765e-03	3.050846e-05
1.749387e+00	2.413020e-03	2.593596e-05
1.774942e+00	2.532520e-03	4.233618e-05
1.801061e+00	2.641785e-03	2.877106e-05
1.827770e+00	2.757048e-03	2.842151e-05
1.855100e+00	2.869857e-03	2.801356e-05
1.883082e+00	2.980846e-03	3.413500e-05
1.911748e+00	3.095168e-03	3.324188e-05
1.941135e+00	3.200143e-03	2.603041e-05
1.971281e+00	3.299470e-03	3.454557e-05
2.002226e+00	3.406410e-03	3.453236e-05
2.034015e+00	3.499851e-03	3.060030e-05
2.066695e+00	3.589075e-03	2.789415e-05
2.100316e+00	3.675801e-03	2.690967e-05
2.134934e+00	3.757703e-03	3.015174e-05
2.170609e+00	3.835328e-03	3.618995e-05
2.207405e+00	3.901207e-03	2.978602e-05
2.245391e+00	3.961795e-03	2.863368e-05
2.284645e+00	4.016890e-03	2.933539e-05
2.325249e+00	4.060297e-03	2.869190e-05
2.367294e+00	4.098009e-03	2.589722e-05
2.410879e+00	4.126294e-03	2.975243e-05
2.456114e+00	4.146572e-03	2.812001e-05
2.503119e+00	4.155223e-03	2.611826e-05
2.552027e+00	4.158445e-03	3.088660e-05
2.602985e+00	4.149676e-03	3.723690e-05
2.656157e+00	4.129003e-03	3.241134e-05
2.711724e+00	4.097543e-03	2.934539e-05
2.769892e+00	4.055266e-03	2.884057e-05
2.830888e+00	4.000744e-03	2.486043e-05
2.894971e+00	3.942894e-03	2.697220e-05
2.962434e+00	3.868713e-03	2.509056e-05
3.033609e+00	3.790456e-03	2.675928e-05
3.108877e+00	3.698178e-03	2.197085e-05
3.188676e+00	3.597382e-03	2.048846e-05
3.273511e+00	3.491229e-03	1.950070e-05
3.363972e+00	3.377744e-03	1.831612e-05
3.460749e+00	3.259850e-03	2.290198e-05
3.564657e+00	3.134748e-03	1.595384e-05
3.676669e+00	3.008532e-03	1.532353e-05
3.797951e+00	2.884357e-03	1.554509e-05
3.929921e+00	2.764019e-03	1.467233e-05
4.074324e+00	2.652905e-03	1.654547e-05
4.233328e+00	2.554991e-03	2.177747e-05
