x	F1_NLO_TMC_only	F1_NLO_TMC_only_alternative	F1_NLO_TMC_HT_prelim	F2_NLO_TMC_only	F2_NLO_TMC_HT	F1_LO	F2_LO
1.000000e-02	-1.012781e+03	-9.107439e+02	-8.542231e+02	-5.575813e+02	-5.433489e+02	1.751667e+01	3.503333e-01
2.000000e-02	-2.870994e+02	-2.569011e+02	-2.401294e+02	-1.608699e+02	-1.559736e+02	8.425000e+00	3.370000e-01
3.000000e-02	-1.295346e+02	-1.153721e+02	-1.075153e+02	-7.373486e+01	-7.119544e+01	5.587037e+00	3.352222e-01
4.000000e-02	-7.074934e+01	-6.271803e+01	-5.827839e+01	-4.089417e+01	-3.933998e+01	4.219444e+00	3.375556e-01
5.000000e-02	-4.285881e+01	-3.780587e+01	-3.502799e+01	-2.516068e+01	-2.412104e+01	3.396667e+00	3.396667e-01
6.000000e-02	-2.767015e+01	-2.427773e+01	-2.242625e+01	-1.650931e+01	-1.577485e+01	2.854630e+00	3.425556e-01
7.000000e-02	-1.862397e+01	-1.624446e+01	-1.495740e+01	-1.130585e+01	-1.076795e+01	2.463492e+00	3.448889e-01
8.000000e-02	-1.288812e+01	-1.116691e+01	-1.024580e+01	-7.973002e+00	-7.569191e+00	2.168056e+00	3.468889e-01
9.000000e-02	-9.080351e+00	-7.807527e+00	-7.134844e+00	-5.737025e+00	-5.428641e+00	1.938889e+00	3.490000e-01
1.000000e-01	-6.463062e+00	-5.506901e+00	-5.008839e+00	-4.182957e+00	-3.944706e+00	1.753778e+00	3.507556e-01
1.100000e-01	-4.614994e+00	-3.888946e+00	-3.517014e+00	-3.072603e+00	-2.887207e+00	1.603030e+00	3.526667e-01
1.200000e-01	-3.282305e+00	-2.727370e+00	-2.448529e+00	-2.261705e+00	-2.116939e+00	1.476296e+00	3.543111e-01
1.300000e-01	-2.305262e+00	-1.879994e+00	-1.671050e+00	-1.659016e+00	-1.545988e+00	1.369145e+00	3.559778e-01
1.400000e-01	-1.579697e+00	-1.254239e+00	-1.098502e+00	-1.204721e+00	-1.116803e+00	1.275714e+00	3.572000e-01
1.500000e-01	-1.035613e+00	-7.879930e-01	-6.731988e-01	-8.584075e-01	-7.905609e-01	1.194593e+00	3.583778e-01
1.600000e-01	-6.247594e-01	-4.385139e-01	-3.554910e-01	-5.920662e-01	-5.403950e-01	1.122951e+00	3.593444e-01
1.700000e-01	-3.131456e-01	-1.757421e-01	-1.175252e-01	-3.858525e-01	-3.472982e-01	1.058758e+00	3.599778e-01
1.800000e-01	-7.636617e-02	2.186551e-02	6.063594e-02	-2.254344e-01	-1.975653e-01	9.998148e-01	3.599333e-01
1.900000e-01	1.033926e-01	1.700035e-01	1.934989e-01	-1.002869e-01	-8.114752e-02	9.460819e-01	3.595111e-01
2.000000e-01	2.393233e-01	2.802719e-01	2.917713e-01	-2.566133e-03	9.432252e-03	8.970278e-01	3.588111e-01
2.100000e-01	3.413216e-01	3.613534e-01	3.634570e-01	7.365102e-02	7.981025e-02	8.516667e-01	3.577000e-01
2.200000e-01	4.168951e-01	4.198207e-01	4.146056e-01	1.328892e-01	1.342847e-01	8.096970e-01	3.562667e-01
2.300000e-01	4.717971e-01	4.606982e-01	4.498351e-01	1.786409e-01	1.761675e-01	7.696618e-01	3.540444e-01
2.400000e-01	5.104760e-01	4.878614e-01	4.727012e-01	2.136275e-01	2.080343e-01	7.331250e-01	3.519000e-01
2.500000e-01	5.363986e-01	5.043221e-01	4.859625e-01	2.399870e-01	2.319048e-01	6.977333e-01	3.488667e-01
2.600000e-01	5.522864e-01	5.124375e-01	4.917743e-01	2.594118e-01	2.493746e-01	6.643376e-01	3.454556e-01
