x	F1_NLO_TMC_only	F1_NLO_TMC_only_alternative	F1_NLO_TMC_HT_prelim	F2_NLO_TMC_only	F2_NLO_TMC_HT	F1_LO	F2_LO
1.000000e-02	5.818571e+03	4.812845e+03	4.496090e+03	2.834379e+03	2.619008e+03	1.696667e+01	3.393333e-01
2.000000e-02	1.615396e+03	1.337217e+03	1.250309e+03	7.842745e+02	7.254407e+02	8.194444e+00	3.277778e-01
3.000000e-02	7.186420e+02	5.953687e+02	5.571035e+02	3.478351e+02	3.220405e+02	5.446296e+00	3.267778e-01
4.000000e-02	3.888385e+02	3.224210e+02	3.019171e+02	1.876417e+02	1.738807e+02	4.122222e+00	3.297778e-01
5.000000e-02	2.343463e+02	1.945057e+02	1.822647e+02	1.127473e+02	1.045702e+02	3.334444e+00	3.334444e-01
6.000000e-02	1.511917e+02	1.256234e+02	1.177995e+02	7.251545e+01	6.731548e+01	2.806481e+00	3.367778e-01
7.000000e-02	1.022030e+02	8.502179e+01	7.978217e+01	4.886227e+01	4.539916e+01	2.427778e+00	3.398889e-01
8.000000e-02	7.145671e+01	5.952484e+01	5.589571e+01	3.404896e+01	3.166494e+01	2.140972e+00	3.425556e-01
9.000000e-02	5.123971e+01	4.274882e+01	4.017093e+01	2.433075e+01	2.264874e+01	1.919753e+00	3.455556e-01
1.000000e-01	3.746629e+01	3.131152e+01	2.944437e+01	1.772603e+01	1.651693e+01	1.739889e+00	3.479778e-01
1.100000e-01	2.781960e+01	2.329459e+01	2.192129e+01	1.311230e+01	1.223044e+01	1.593333e+00	3.505333e-01
1.200000e-01	2.091348e+01	1.755001e+01	1.652731e+01	9.818653e+00	9.168078e+00	1.469907e+00	3.527778e-01
1.300000e-01	1.588177e+01	1.336025e+01	1.259076e+01	7.426353e+00	6.941959e+00	1.365556e+00	3.550444e-01
1.400000e-01	1.216359e+01	1.026057e+01	9.676447e+00	5.664547e+00	5.301115e+00	1.274841e+00	3.569556e-01
1.500000e-01	9.384705e+00	7.940786e+00	7.493841e+00	4.352722e+00	4.078221e+00	1.195704e+00	3.587111e-01
1.600000e-01	7.288975e+00	6.188536e+00	5.843972e+00	3.367487e+00	3.158858e+00	1.125938e+00	3.603000e-01
1.700000e-01	5.697251e+00	4.855246e+00	4.587584e+00	2.622649e+00	2.463068e+00	1.063072e+00	3.614444e-01
1.800000e-01	4.481845e+00	3.834986e+00	3.625360e+00	2.056857e+00	1.933915e+00	1.006636e+00	3.623889e-01
1.900000e-01	3.550246e+00	3.050983e+00	2.885293e+00	1.625726e+00	1.530190e+00	9.541520e-01	3.625778e-01
2.000000e-01	2.834463e+00	2.446790e+00	2.314421e+00	1.296683e+00	1.221637e+00	9.073333e-01	3.629333e-01
2.100000e-01	2.283891e+00	1.980377e+00	1.873296e+00	1.045526e+00	9.857653e-01	8.625661e-01	3.622778e-01
2.200000e-01	1.860448e+00	1.620101e+00	1.532202e+00	8.540696e-01	8.056658e-01	8.204545e-01	3.610000e-01
2.300000e-01	1.535190e+00	1.341902e+00	1.268537e+00	7.085203e-01	6.685060e-01	7.819807e-01	3.597111e-01
2.400000e-01	1.285929e+00	1.127326e+00	1.064958e+00	5.983242e-01	5.644623e-01	7.459491e-01	3.580556e-01
2.500000e-01	1.095528e+00	9.621102e-01	9.080527e-01	5.153471e-01	4.859578e-01	7.111556e-01	3.555778e-01
2.600000e-01	9.506608e-01	8.351591e-01	7.873816e-01	4.532781e-01	4.271107e-01	6.780983e-01	3.526111e-01
2.700000e-01	8.409042e-01	7.377878e-01	6.947691e-01	4.071942e-01	3.833286e-01	6.469959e-01	3.493778e-01
2.800000e-01	7.580668e-01	6.631652e-01	6.237806e-01	3.732363e-01	3.510092e-01	6.172421e-01	3.456556e-01
2.900000e-01	6.956824e-01	6.058952e-01	5.693296e-01	3.483678e-01	3.273152e-01	5.886207e-01	3.414000e-01
