Q2	W	TMC_xsection	TMC_HT_xsection
1.750000e+00	1.070000e+00	3.109717e-03	5.286865e-03
1.750000e+00	1.080000e+00	3.236502e-03	5.376357e-03
1.750000e+00	1.090000e+00	3.365514e-03	5.464446e-03
1.750000e+00	1.100000e+00	3.496481e-03	5.550842e-03
1.750000e+00	1.110000e+00	3.629158e-03	5.635333e-03
1.750000e+00	1.120000e+00	3.763759e-03	5.718418e-03
1.750000e+00	1.130000e+00	3.900593e-03	5.800699e-03
1.750000e+00	1.140000e+00	4.039190e-03	5.881630e-03
1.750000e+00	1.150000e+00	4.179216e-03	5.960903e-03
1.750000e+00	1.160000e+00	4.320376e-03	6.038295e-03
1.750000e+00	1.170000e+00	4.462856e-03	6.114256e-03
1.750000e+00	1.180000e+00	4.607057e-03	6.189489e-03
1.750000e+00	1.190000e+00	4.752445e-03	6.263440e-03
1.750000e+00	1.200000e+00	4.898634e-03	6.335793e-03
1.750000e+00	1.210000e+00	5.045291e-03	6.406318e-03
1.750000e+00	1.220000e+00	5.192505e-03	6.475327e-03
1.750000e+00	1.230000e+00	5.340953e-03	6.543815e-03
1.750000e+00	1.240000e+00	5.490034e-03	6.611208e-03
1.750000e+00	1.250000e+00	5.639305e-03	6.677149e-03
1.750000e+00	1.260000e+00	5.788389e-03	6.741386e-03
1.750000e+00	1.270000e+00	5.937176e-03	6.803979e-03
1.750000e+00	1.280000e+00	6.086606e-03	6.866150e-03
1.750000e+00	1.290000e+00	6.236141e-03	6.927436e-03
1.750000e+00	1.300000e+00	6.385289e-03	6.987446e-03
1.750000e+00	1.310000e+00	6.533654e-03	7.045917e-03
1.750000e+00	1.320000e+00	6.680916e-03	7.102674e-03
1.750000e+00	1.330000e+00	6.828072e-03	7.158907e-03
1.750000e+00	1.340000e+00	6.974917e-03	7.214518e-03
1.750000e+00	1.350000e+00	7.120885e-03	7.269052e-03
1.750000e+00	1.360000e+00	7.265561e-03	7.322222e-03
1.750000e+00	1.370000e+00	7.408582e-03	7.373805e-03
1.750000e+00	1.380000e+00	7.550334e-03	7.424304e-03
1.750000e+00	1.390000e+00	7.691528e-03	7.474508e-03
1.750000e+00	1.400000e+00	7.831494e-03	7.523863e-03
1.750000e+00	1.410000e+00	7.969793e-03	7.572052e-03
1.750000e+00	1.420000e+00	8.106066e-03	7.618841e-03
1.750000e+00	1.430000e+00	8.240081e-03	7.664116e-03
1.750000e+00	1.440000e+00	8.372997e-03	7.709023e-03
1.750000e+00	1.450000e+00	8.504531e-03	7.753370e-03
1.750000e+00	1.460000e+00	8.634182e-03	7.796769e-03
1.750000e+00	1.470000e+00	8.761590e-03	7.838971e-03
1.750000e+00	1.480000e+00	8.886451e-03	7.879780e-03
1.750000e+00	1.490000e+00	9.008894e-03	7.919373e-03
1.750000e+00	1.500000e+00	9.129984e-03	7.958726e-03
1.750000e+00	1.510000e+00	9.249171e-03	7.997400e-03
1.750000e+00	1.520000e+00	9.366060e-03	8.035100e-03
1.750000e+00	1.530000e+00	9.480351e-03	8.071618e-03
1.750000e+00	1.540000e+00	9.591794e-03	8.106784e-03
1.750000e+00	1.550000e+00	9.700742e-03	8.140933e-03
1.750000e+00	1.560000e+00	9.808067e-03	8.174812e-03
1.750000e+00	1.570000e+00	9.913232e-03	8.207996e-03
1.750000e+00	1.580000e+00	1.001591e-02	8.240234e-03
1.750000e+00	1.590000e+00	1.011585e-02	8.271351e-03
1.750000e+00	1.600000e+00	1.021284e-02	8.301199e-03
1.750000e+00	1.610000e+00	1.030717e-02	8.330015e-03
1.750000e+00	1.620000e+00	1.039976e-02	8.358547e-03
1.750000e+00	1.630000e+00	1.049015e-02	8.386442e-03
1.750000e+00	1.640000e+00	1.057807e-02	8.413488e-03
1.750000e+00	1.650000e+00	1.066334e-02	8.439535e-03
1.750000e+00	1.660000e+00	1.074578e-02	8.464466e-03
1.750000e+00	1.670000e+00	1.082540e-02	8.488275e-03
1.750000e+00	1.680000e+00	1.090321e-02	8.511754e-03
1.750000e+00	1.690000e+00	1.097898e-02	8.534719e-03
1.750000e+00	1.700000e+00	1.105245e-02	8.556958e-03
1.750000e+00	1.710000e+00	1.112344e-02	8.578335e-03
1.750000e+00	1.720000e+00	1.119183e-02	8.598742e-03
1.750000e+00	1.730000e+00	1.125750e-02	8.618090e-03
1.750000e+00	1.740000e+00	1.132099e-02	8.636780e-03
1.750000e+00	1.750000e+00	1.138287e-02	8.655226e-03
1.750000e+00	1.760000e+00	1.144278e-02	8.673156e-03
1.750000e+00	1.770000e+00	1.150057e-02	8.690436e-03
1.750000e+00	1.780000e+00	1.155611e-02	8.706966e-03
1.750000e+00	1.790000e+00	1.160934e-02	8.722672e-03
1.750000e+00	1.800000e+00	1.166017e-02	8.737490e-03
1.750000e+00	1.810000e+00	1.170925e-02	8.751894e-03
1.750000e+00	1.820000e+00	1.175687e-02	8.766076e-03
1.750000e+00	1.830000e+00	1.180279e-02	8.779848e-03
1.750000e+00	1.840000e+00	1.184690e-02	8.793116e-03
1.750000e+00	1.850000e+00	1.188913e-02	8.805814e-03
1.750000e+00	1.860000e+00	1.192943e-02	8.817894e-03
1.750000e+00	1.870000e+00	1.196777e-02	8.829312e-03
1.750000e+00	1.880000e+00	1.200455e-02	8.840352e-03
1.750000e+00	1.890000e+00	1.204022e-02	8.851342e-03
1.750000e+00	1.900000e+00	1.207458e-02	8.862117e-03
1.750000e+00	1.910000e+00	1.210756e-02	8.872599e-03
1.750000e+00	1.920000e+00	1.213909e-02	8.882744e-03
1.750000e+00	1.930000e+00	1.216916e-02	8.892514e-03
1.750000e+00	1.940000e+00	1.219774e-02	8.901884e-03
1.750000e+00	1.950000e+00	1.222486e-02	8.910865e-03
