Q2	W	TMC_xsection	TMC_HT_xsection
2.500000e+00	1.070000e+00	5.527121e-04	9.434246e-04
2.500000e+00	1.080000e+00	5.790158e-04	9.735288e-04
2.500000e+00	1.090000e+00	6.060579e-04	1.003894e-03
2.500000e+00	1.100000e+00	6.338369e-04	1.034508e-03
2.500000e+00	1.110000e+00	6.623611e-04	1.065373e-03
2.500000e+00	1.120000e+00	6.916292e-04	1.096479e-03
2.500000e+00	1.130000e+00	7.216204e-04	1.127786e-03
2.500000e+00	1.140000e+00	7.523178e-04	1.159265e-03
2.500000e+00	1.150000e+00	7.837056e-04	1.190890e-03
2.500000e+00	1.160000e+00	8.157675e-04	1.222635e-03
2.500000e+00	1.170000e+00	8.485348e-04	1.254548e-03
2.500000e+00	1.180000e+00	8.820129e-04	1.286637e-03
2.500000e+00	1.190000e+00	9.161580e-04	1.318842e-03
2.500000e+00	1.200000e+00	9.509364e-04	1.351119e-03
2.500000e+00	1.210000e+00	9.863171e-04	1.383432e-03
2.500000e+00	1.220000e+00	1.022270e-03	1.415748e-03
2.500000e+00	1.230000e+00	1.058869e-03	1.448178e-03
2.500000e+00	1.240000e+00	1.096107e-03	1.480719e-03
2.500000e+00	1.250000e+00	1.133916e-03	1.513291e-03
2.500000e+00	1.260000e+00	1.172245e-03	1.545838e-03
2.500000e+00	1.270000e+00	1.211048e-03	1.578314e-03
2.500000e+00	1.280000e+00	1.250283e-03	1.610682e-03
2.500000e+00	1.290000e+00	1.290076e-03	1.643118e-03
2.500000e+00	1.300000e+00	1.330405e-03	1.675607e-03
2.500000e+00	1.310000e+00	1.371185e-03	1.708056e-03
2.500000e+00	1.320000e+00	1.412351e-03	1.740403e-03
2.500000e+00	1.330000e+00	1.453844e-03	1.772596e-03
2.500000e+00	1.340000e+00	1.495616e-03	1.804596e-03
2.500000e+00	1.350000e+00	1.537821e-03	1.836607e-03
2.500000e+00	1.360000e+00	1.580419e-03	1.868598e-03
2.500000e+00	1.370000e+00	1.623317e-03	1.900476e-03
2.500000e+00	1.380000e+00	1.666442e-03	1.932178e-03
2.500000e+00	1.390000e+00	1.709730e-03	1.963651e-03
2.500000e+00	1.400000e+00	1.753125e-03	1.994853e-03
2.500000e+00	1.410000e+00	1.796814e-03	2.026017e-03
2.500000e+00	1.420000e+00	1.840769e-03	2.057129e-03
2.500000e+00	1.430000e+00	1.884877e-03	2.088080e-03
2.500000e+00	1.440000e+00	1.929055e-03	2.118799e-03
2.500000e+00	1.450000e+00	1.973228e-03	2.149228e-03
2.500000e+00	1.460000e+00	2.017328e-03	2.179313e-03
2.500000e+00	1.470000e+00	2.061526e-03	2.209261e-03
2.500000e+00	1.480000e+00	2.105866e-03	2.239134e-03
2.500000e+00	1.490000e+00	2.150217e-03	2.268809e-03
2.500000e+00	1.500000e+00	2.194486e-03	2.298211e-03
2.500000e+00	1.510000e+00	2.238597e-03	2.327278e-03
2.500000e+00	1.520000e+00	2.282478e-03	2.355959e-03
2.500000e+00	1.530000e+00	2.326213e-03	2.384356e-03
2.500000e+00	1.540000e+00	2.369983e-03	2.412671e-03
2.500000e+00	1.550000e+00	2.413640e-03	2.440771e-03
2.500000e+00	1.560000e+00	2.457088e-03	2.468573e-03
2.500000e+00	1.570000e+00	2.500246e-03	2.496013e-03
2.500000e+00	1.580000e+00	2.543042e-03	2.523039e-03
2.500000e+00	1.590000e+00	2.585447e-03	2.549639e-03
2.500000e+00	1.600000e+00	2.627744e-03	2.576105e-03
2.500000e+00	1.610000e+00	2.669844e-03	2.602362e-03
2.500000e+00	1.620000e+00	2.711637e-03	2.628315e-03
2.500000e+00	1.630000e+00	2.753039e-03	2.653899e-03
2.500000e+00	1.640000e+00	2.793980e-03	2.679060e-03
2.500000e+00	1.650000e+00	2.834395e-03	2.703749e-03
2.500000e+00	1.660000e+00	2.874396e-03	2.728087e-03
2.500000e+00	1.670000e+00	2.914177e-03	2.752266e-03
2.500000e+00	1.680000e+00	2.953594e-03	2.776160e-03
2.500000e+00	1.690000e+00	2.992557e-03	2.799694e-03
2.500000e+00	1.700000e+00	3.030994e-03	2.822813e-03
2.500000e+00	1.710000e+00	3.068843e-03	2.845470e-03
2.500000e+00	1.720000e+00	3.106048e-03	2.867622e-03
2.500000e+00	1.730000e+00	3.142832e-03	2.889485e-03
2.500000e+00	1.740000e+00	3.179267e-03	2.911128e-03
2.500000e+00	1.750000e+00	3.215229e-03	2.932447e-03
2.500000e+00	1.760000e+00	3.250641e-03	2.953378e-03
2.500000e+00	1.770000e+00	3.285442e-03	2.973874e-03
2.500000e+00	1.780000e+00	3.319580e-03	2.993893e-03
2.500000e+00	1.790000e+00	3.353006e-03	3.013401e-03
2.500000e+00	1.800000e+00	3.385950e-03	3.032607e-03
2.500000e+00	1.810000e+00	3.418477e-03	3.051572e-03
2.500000e+00	1.820000e+00	3.450475e-03	3.070204e-03
2.500000e+00	1.830000e+00	3.481878e-03	3.088445e-03
2.500000e+00	1.840000e+00	3.512634e-03	3.106255e-03
2.500000e+00	1.850000e+00	3.542699e-03	3.123598e-03
2.500000e+00	1.860000e+00	3.572032e-03	3.140443e-03
2.500000e+00	1.870000e+00	3.600753e-03	3.156899e-03
2.500000e+00	1.880000e+00	3.629051e-03	3.173132e-03
2.500000e+00	1.890000e+00	3.656818e-03	3.189048e-03
2.500000e+00	1.900000e+00	3.683991e-03	3.204597e-03
2.500000e+00	1.910000e+00	3.710526e-03	3.219742e-03
2.500000e+00	1.920000e+00	3.736387e-03	3.234453e-03
2.500000e+00	1.930000e+00	3.761542e-03	3.248703e-03
2.500000e+00	1.940000e+00	3.785978e-03	3.262486e-03
2.500000e+00	1.950000e+00	3.809952e-03	3.276019e-03
2.500000e+00	1.960000e+00	3.833438e-03	3.289283e-03
2.500000e+00	1.970000e+00	3.856369e-03	3.302219e-03
2.500000e+00	1.980000e+00	3.878702e-03	3.314791e-03
2.500000e+00	1.990000e+00	3.900405e-03	3.326973e-03
2.500000e+00	2.000000e+00	3.921450e-03	3.338740e-03
2.500000e+00	2.010000e+00	3.941816e-03	3.350075e-03
2.500000e+00	2.020000e+00	3.961534e-03	3.361003e-03
2.500000e+00	2.030000e+00	3.980843e-03	3.371728e-03
2.500000e+00	2.040000e+00	3.999683e-03	3.382197e-03
2.500000e+00	2.050000e+00	4.018006e-03	3.392367e-03
2.500000e+00	2.060000e+00	4.035778e-03	3.402211e-03
2.500000e+00	2.070000e+00	4.052976e-03	3.411708e-03
2.500000e+00	2.080000e+00	4.069580e-03	3.420840e-03
2.500000e+00	2.090000e+00	4.085576e-03	3.429594e-03
2.500000e+00	2.100000e+00	4.100962e-03	3.437969e-03
2.500000e+00	2.110000e+00	4.115952e-03	3.446141e-03
2.500000e+00	2.120000e+00	4.130537e-03	3.454103e-03
2.500000e+00	2.130000e+00	4.144672e-03	3.461815e-03
2.500000e+00	2.140000e+00	4.158333e-03	3.469255e-03
2.500000e+00	2.150000e+00	4.171503e-03	3.476407e-03
2.500000e+00	2.160000e+00	4.184168e-03	3.483261e-03
