Q2	W	TMC_xsection	TMC_HT_xsection
2.000000e+00	1.070000e+00	1.717044e-03	3.514595e-03
2.000000e+00	1.080000e+00	1.796399e-03	3.604027e-03
2.000000e+00	1.090000e+00	1.877833e-03	3.693588e-03
2.000000e+00	1.100000e+00	1.961258e-03	3.783115e-03
2.000000e+00	1.110000e+00	2.046596e-03	3.872480e-03
2.000000e+00	1.120000e+00	2.133804e-03	3.961637e-03
2.000000e+00	1.130000e+00	2.223139e-03	4.051094e-03
2.000000e+00	1.140000e+00	2.314468e-03	4.140630e-03
2.000000e+00	1.150000e+00	2.407632e-03	4.230001e-03
2.000000e+00	1.160000e+00	2.502500e-03	4.319034e-03
2.000000e+00	1.170000e+00	2.598948e-03	4.407584e-03
2.000000e+00	1.180000e+00	2.697230e-03	4.496147e-03
2.000000e+00	1.190000e+00	2.797403e-03	4.584872e-03
2.000000e+00	1.200000e+00	2.899220e-03	4.673413e-03
2.000000e+00	1.210000e+00	3.002502e-03	4.761557e-03
2.000000e+00	1.220000e+00	3.107088e-03	4.849134e-03
2.000000e+00	1.230000e+00	3.213015e-03	4.936297e-03
2.000000e+00	1.240000e+00	3.320624e-03	5.023648e-03
2.000000e+00	1.250000e+00	3.429625e-03	5.110818e-03
2.000000e+00	1.260000e+00	3.539793e-03	5.197559e-03
2.000000e+00	1.270000e+00	3.650934e-03	5.283684e-03
2.000000e+00	1.280000e+00	3.762887e-03	5.369064e-03
2.000000e+00	1.290000e+00	3.876149e-03	5.454505e-03
2.000000e+00	1.300000e+00	3.990593e-03	5.539906e-03
2.000000e+00	1.310000e+00	4.105910e-03	5.624924e-03
2.000000e+00	1.320000e+00	4.221863e-03	5.709328e-03
2.000000e+00	1.330000e+00	4.338235e-03	5.792934e-03
2.000000e+00	1.340000e+00	4.455111e-03	5.875958e-03
2.000000e+00	1.350000e+00	4.572973e-03	5.959125e-03
2.000000e+00	1.360000e+00	4.691435e-03	6.042007e-03
2.000000e+00	1.370000e+00	4.810210e-03	6.124327e-03
2.000000e+00	1.380000e+00	4.929062e-03	6.205877e-03
2.000000e+00	1.390000e+00	5.047768e-03	6.286480e-03
2.000000e+00	1.400000e+00	5.166835e-03	6.366858e-03
2.000000e+00	1.410000e+00	5.286329e-03	6.447168e-03
2.000000e+00	1.420000e+00	5.405865e-03	6.527014e-03
2.000000e+00	1.430000e+00	5.525168e-03	6.606147e-03
2.000000e+00	1.440000e+00	5.644003e-03	6.684371e-03
2.000000e+00	1.450000e+00	5.762213e-03	6.761591e-03
2.000000e+00	1.460000e+00	5.880519e-03	6.838725e-03
2.000000e+00	1.470000e+00	5.998696e-03	6.915577e-03
2.000000e+00	1.480000e+00	6.116409e-03	6.991821e-03
2.000000e+00	1.490000e+00	6.233399e-03	7.067234e-03
2.000000e+00	1.500000e+00	6.349441e-03	7.141630e-03
2.000000e+00	1.510000e+00	6.464453e-03	7.214989e-03
2.000000e+00	1.520000e+00	6.579186e-03	7.288208e-03
2.000000e+00	1.530000e+00	6.693342e-03	7.361004e-03
2.000000e+00	1.540000e+00	6.806605e-03	7.433081e-03
2.000000e+00	1.550000e+00	6.918734e-03	7.504229e-03
2.000000e+00	1.560000e+00	7.029517e-03	7.574272e-03
2.000000e+00	1.570000e+00	7.138851e-03	7.643153e-03
2.000000e+00	1.580000e+00	7.247501e-03	7.711736e-03
2.000000e+00	1.590000e+00	7.355238e-03	7.779810e-03
2.000000e+00	1.600000e+00	7.461755e-03	7.847087e-03
2.000000e+00	1.610000e+00	7.566826e-03	7.913367e-03
2.000000e+00	1.620000e+00	7.670265e-03	7.978491e-03
2.000000e+00	1.630000e+00	7.771894e-03	8.042314e-03
2.000000e+00	1.640000e+00	7.872347e-03	8.105521e-03
2.000000e+00	1.650000e+00	7.971692e-03	8.168205e-03
2.000000e+00	1.660000e+00	8.069605e-03	8.230054e-03
2.000000e+00	1.670000e+00	8.165869e-03	8.290872e-03
2.000000e+00	1.680000e+00	8.260312e-03	8.350506e-03
2.000000e+00	1.690000e+00	8.352778e-03	8.408820e-03
2.000000e+00	1.700000e+00	8.443378e-03	8.465947e-03
