Q2	W	TMC_xsection	TMC_HT_xsection
1.400000e+01	1.070000e+00	2.543077e-08	2.798869e-08
1.400000e+01	1.080000e+00	2.728481e-08	2.999520e-08
1.400000e+01	1.090000e+00	2.918764e-08	3.205058e-08
1.400000e+01	1.100000e+00	3.115749e-08	3.417463e-08
1.400000e+01	1.110000e+00	3.320916e-08	3.638329e-08
1.400000e+01	1.120000e+00	3.535635e-08	3.869123e-08
1.400000e+01	1.130000e+00	3.761208e-08	4.111232e-08
1.400000e+01	1.140000e+00	3.998906e-08	4.365998e-08
1.400000e+01	1.150000e+00	4.250025e-08	4.634789e-08
1.400000e+01	1.160000e+00	4.515855e-08	4.918958e-08
1.400000e+01	1.170000e+00	4.797702e-08	5.219867e-08
1.400000e+01	1.180000e+00	5.096920e-08	5.538927e-08
1.400000e+01	1.190000e+00	5.414875e-08	5.877552e-08
1.400000e+01	1.200000e+00	5.752968e-08	6.237189e-08
1.400000e+01	1.210000e+00	6.112648e-08	6.619328e-08
1.400000e+01	1.220000e+00	6.495395e-08	7.025489e-08
1.400000e+01	1.230000e+00	6.902721e-08	7.457212e-08
1.400000e+01	1.240000e+00	7.336196e-08	7.916100e-08
1.400000e+01	1.250000e+00	7.784323e-08	8.389664e-08
1.400000e+01	1.260000e+00	8.241527e-08	8.871849e-08
1.400000e+01	1.270000e+00	8.712188e-08	9.367328e-08
1.400000e+01	1.280000e+00	9.199084e-08	9.879034e-08
1.400000e+01	1.290000e+00	9.704527e-08	1.040938e-07
1.400000e+01	1.300000e+00	1.023063e-07	1.096056e-07
1.400000e+01	1.310000e+00	1.077940e-07	1.153465e-07
1.400000e+01	1.320000e+00	1.135284e-07	1.213369e-07
1.400000e+01	1.330000e+00	1.195289e-07	1.275968e-07
1.400000e+01	1.340000e+00	1.258152e-07	1.341460e-07
1.400000e+01	1.350000e+00	1.324071e-07	1.410045e-07
1.400000e+01	1.360000e+00	1.393246e-07	1.481926e-07
1.400000e+01	1.370000e+00	1.465880e-07	1.557304e-07
1.400000e+01	1.380000e+00	1.542179e-07	1.636387e-07
1.400000e+01	1.390000e+00	1.622352e-07	1.719382e-07
1.400000e+01	1.400000e+00	1.706615e-07	1.806501e-07
1.400000e+01	1.410000e+00	1.794218e-07	1.896940e-07
1.400000e+01	1.420000e+00	1.883579e-07	1.989015e-07
1.400000e+01	1.430000e+00	1.975315e-07	2.083371e-07
1.400000e+01	1.440000e+00	2.069829e-07	2.180423e-07
1.400000e+01	1.450000e+00	2.167442e-07	2.280498e-07
1.400000e+01	1.460000e+00	2.268439e-07	2.383888e-07
1.400000e+01	1.470000e+00	2.373090e-07	2.490862e-07
1.400000e+01	1.480000e+00	2.481655e-07	2.601677e-07
1.400000e+01	1.490000e+00	2.594388e-07	2.716590e-07
1.400000e+01	1.500000e+00	2.711544e-07	2.835850e-07
1.400000e+01	1.510000e+00	2.833375e-07	2.959705e-07
1.400000e+01	1.520000e+00	2.960135e-07	3.088405e-07
1.400000e+01	1.530000e+00	3.092080e-07	3.222197e-07
1.400000e+01	1.540000e+00	3.229467e-07	3.361332e-07
1.400000e+01	1.550000e+00	3.372559e-07	3.506064e-07
1.400000e+01	1.560000e+00	3.521079e-07	3.656086e-07
1.400000e+01	1.570000e+00	3.672679e-07	3.808945e-07
1.400000e+01	1.580000e+00	3.827874e-07	3.965167e-07
1.400000e+01	1.590000e+00	3.987189e-07	4.125280e-07
1.400000e+01	1.600000e+00	4.151018e-07	4.289679e-07
1.400000e+01	1.610000e+00	4.319707e-07	4.458707e-07
1.400000e+01	1.620000e+00	4.493574e-07	4.632676e-07
1.400000e+01	1.630000e+00	4.672924e-07	4.811884e-07
1.400000e+01	1.640000e+00	4.858053e-07	4.996616e-07
1.400000e+01	1.650000e+00	5.049253e-07	5.187154e-07
1.400000e+01	1.660000e+00	5.246812e-07	5.383775e-07
1.400000e+01	1.670000e+00	5.451020e-07	5.586754e-07
1.400000e+01	1.680000e+00	5.662164e-07	5.796366e-07
1.400000e+01	1.690000e+00	5.880533e-07	6.012883e-07
1.400000e+01	1.700000e+00	6.106422e-07	6.236584e-07
1.400000e+01	1.710000e+00	6.338075e-07	6.465655e-07
1.400000e+01	1.720000e+00	6.574274e-07	6.698840e-07
1.400000e+01	1.730000e+00	6.815834e-07	6.936953e-07
1.400000e+01	1.740000e+00	7.063248e-07	7.180482e-07
1.400000e+01	1.750000e+00	7.316919e-07	7.429817e-07
1.400000e+01	1.760000e+00	7.577207e-07	7.685308e-07
1.400000e+01	1.770000e+00	7.844449e-07	7.947276e-07
1.400000e+01	1.780000e+00	8.118973e-07	8.216033e-07
1.400000e+01	1.790000e+00	8.401089e-07	8.491873e-07
1.400000e+01	1.800000e+00	8.691111e-07	8.775088e-07
1.400000e+01	1.810000e+00	8.989344e-07	9.065968e-07
1.400000e+01	1.820000e+00	9.296093e-07	9.364794e-07
1.400000e+01	1.830000e+00	9.611664e-07	9.671851e-07
1.400000e+01	1.840000e+00	9.936360e-07	9.987420e-07
1.400000e+01	1.850000e+00	1.026854e-06	1.030982e-06
1.400000e+01	1.860000e+00	1.060670e-06	1.063755e-06
1.400000e+01	1.870000e+00	1.095169e-06	1.097142e-06
1.400000e+01	1.880000e+00	1.130402e-06	1.131193e-06
1.400000e+01	1.890000e+00	1.166407e-06	1.165945e-06
1.400000e+01	1.900000e+00	1.203221e-06	1.201432e-06
1.400000e+01	1.910000e+00	1.240876e-06	1.237685e-06
1.400000e+01	1.920000e+00	1.279403e-06	1.274733e-06
1.400000e+01	1.930000e+00	1.318834e-06	1.312604e-06
1.400000e+01	1.940000e+00	1.359197e-06	1.351326e-06
1.400000e+01	1.950000e+00	1.400522e-06	1.390924e-06
1.400000e+01	1.960000e+00	1.442837e-06	1.431426e-06
1.400000e+01	1.970000e+00	1.486171e-06	1.472857e-06
1.400000e+01	1.980000e+00	1.530548e-06	1.515238e-06
1.400000e+01	1.990000e+00	1.575734e-06	1.558336e-06
1.400000e+01	2.000000e+00	1.621698e-06	1.602118e-06
1.400000e+01	2.010000e+00	1.668504e-06	1.646647e-06
1.400000e+01	2.020000e+00	1.716195e-06	1.691963e-06
1.400000e+01	2.030000e+00	1.764806e-06	1.738098e-06
1.400000e+01	2.040000e+00	1.814369e-06	1.785082e-06
1.400000e+01	2.050000e+00	1.864912e-06	1.832942e-06
1.400000e+01	2.060000e+00	1.916465e-06	1.881703e-06
1.400000e+01	2.070000e+00	1.969054e-06	1.931390e-06
1.400000e+01	2.080000e+00	2.022705e-06	1.982027e-06
1.400000e+01	2.090000e+00	2.077444e-06	2.033637e-06
1.400000e+01	2.100000e+00	2.133297e-06	2.086243e-06
1.400000e+01	2.110000e+00	2.190290e-06	2.139867e-06
1.400000e+01	2.120000e+00	2.248361e-06	2.194449e-06
1.400000e+01	2.130000e+00	2.307308e-06	2.249787e-06
1.400000e+01	2.140000e+00	2.367192e-06	2.305942e-06
