Q2	W	TMC_xsection	TMC_HT_xsection
1.400000e+01	1.070000e+00	2.670995e-08	3.126228e-08
1.400000e+01	1.080000e+00	2.865607e-08	3.350246e-08
1.400000e+01	1.090000e+00	3.065333e-08	3.579715e-08
1.400000e+01	1.100000e+00	3.272080e-08	3.816839e-08
1.400000e+01	1.110000e+00	3.487401e-08	4.063396e-08
1.400000e+01	1.120000e+00	3.712731e-08	4.321022e-08
1.400000e+01	1.130000e+00	3.949432e-08	4.591259e-08
1.400000e+01	1.140000e+00	4.198836e-08	4.875605e-08
1.400000e+01	1.150000e+00	4.462299e-08	5.175581e-08
1.400000e+01	1.160000e+00	4.741168e-08	5.492691e-08
1.400000e+01	1.170000e+00	5.036811e-08	5.828454e-08
1.400000e+01	1.180000e+00	5.350644e-08	6.184438e-08
1.400000e+01	1.190000e+00	5.684094e-08	6.562216e-08
1.400000e+01	1.200000e+00	6.038623e-08	6.963395e-08
1.400000e+01	1.210000e+00	6.415747e-08	7.389633e-08
1.400000e+01	1.220000e+00	6.817011e-08	7.842617e-08
1.400000e+01	1.230000e+00	7.243991e-08	8.324058e-08
1.400000e+01	1.240000e+00	7.698327e-08	8.835736e-08
1.400000e+01	1.250000e+00	8.167971e-08	9.363729e-08
1.400000e+01	1.260000e+00	8.647076e-08	9.901285e-08
1.400000e+01	1.270000e+00	9.140227e-08	1.045361e-07
1.400000e+01	1.280000e+00	9.650329e-08	1.102395e-07
1.400000e+01	1.290000e+00	1.017979e-07	1.161501e-07
1.400000e+01	1.300000e+00	1.073082e-07	1.222921e-07
1.400000e+01	1.310000e+00	1.130551e-07	1.286885e-07
1.400000e+01	1.320000e+00	1.190595e-07	1.353621e-07
1.400000e+01	1.330000e+00	1.253417e-07	1.423349e-07
1.400000e+01	1.340000e+00	1.319220e-07	1.496289e-07
1.400000e+01	1.350000e+00	1.388211e-07	1.572663e-07
1.400000e+01	1.360000e+00	1.460597e-07	1.652694e-07
1.400000e+01	1.370000e+00	1.536591e-07	1.736606e-07
1.400000e+01	1.380000e+00	1.616406e-07	1.824628e-07
1.400000e+01	1.390000e+00	1.700259e-07	1.916988e-07
1.400000e+01	1.400000e+00	1.788372e-07	2.013922e-07
1.400000e+01	1.410000e+00	1.879963e-07	2.114532e-07
1.400000e+01	1.420000e+00	1.973374e-07	2.216944e-07
1.400000e+01	1.430000e+00	2.069250e-07	2.321874e-07
1.400000e+01	1.440000e+00	2.168010e-07	2.429783e-07
1.400000e+01	1.450000e+00	2.269986e-07	2.541031e-07
1.400000e+01	1.460000e+00	2.375478e-07	2.655940e-07
1.400000e+01	1.470000e+00	2.484762e-07	2.774808e-07
1.400000e+01	1.480000e+00	2.598107e-07	2.897920e-07
1.400000e+01	1.490000e+00	2.715780e-07	3.025555e-07
1.400000e+01	1.500000e+00	2.838040e-07	3.157989e-07
1.400000e+01	1.510000e+00	2.965150e-07	3.295495e-07
1.400000e+01	1.520000e+00	3.097371e-07	3.438345e-07
1.400000e+01	1.530000e+00	3.234967e-07	3.586813e-07
1.400000e+01	1.540000e+00	3.378202e-07	3.741172e-07
1.400000e+01	1.550000e+00	3.527347e-07	3.901699e-07
1.400000e+01	1.560000e+00	3.682109e-07	4.068052e-07
1.400000e+01	1.570000e+00	3.840037e-07	4.237504e-07
1.400000e+01	1.580000e+00	4.001665e-07	4.410634e-07
