# Q2	W	Sigma_L(GeV^-2)	Sigma_T(GeV^-2)	R
1.800000e+01	1.070000e+00	3.110103e-07	1.261631e-04	2.465145e-03
1.800000e+01	1.077186e+00	3.124986e-07	1.242512e-04	2.515056e-03
1.800000e+01	1.084372e+00	3.146629e-07	1.227144e-04	2.564190e-03
1.800000e+01	1.091558e+00	3.173630e-07	1.215136e-04	2.611749e-03
1.800000e+01	1.098744e+00	3.205233e-07	1.206167e-04	2.657371e-03
1.800000e+01	1.105930e+00	3.241188e-07	1.199967e-04	2.701064e-03
1.800000e+01	1.113116e+00	3.281629e-07	1.196311e-04	2.743123e-03
1.800000e+01	1.120302e+00	3.326459e-07	1.195013e-04	2.783617e-03
1.800000e+01	1.127487e+00	3.375319e-07	1.195919e-04	2.822363e-03
1.800000e+01	1.134673e+00	3.428190e-07	1.198897e-04	2.859454e-03
1.800000e+01	1.141859e+00	3.484985e-07	1.203819e-04	2.894941e-03
1.800000e+01	1.149045e+00	3.545657e-07	1.210567e-04	2.928922e-03
1.800000e+01	1.156231e+00	3.610338e-07	1.219047e-04	2.961606e-03
1.800000e+01	1.163417e+00	3.678840e-07	1.229233e-04	2.992793e-03
1.800000e+01	1.170603e+00	3.751229e-07	1.241119e-04	3.022456e-03
1.800000e+01	1.177789e+00	3.827810e-07	1.254640e-04	3.050923e-03
1.800000e+01	1.184975e+00	3.908389e-07	1.269555e-04	3.078550e-03
1.800000e+01	1.192161e+00	3.992504e-07	1.285614e-04	3.105524e-03
1.800000e+01	1.199347e+00	4.080761e-07	1.302303e-04	3.133496e-03
1.800000e+01	1.206533e+00	4.174458e-07	1.318689e-04	3.165612e-03
1.800000e+01	1.213719e+00	4.272761e-07	1.333934e-04	3.203128e-03
1.800000e+01	1.220905e+00	4.373969e-07	1.347988e-04	3.244812e-03
1.800000e+01	1.228090e+00	4.477716e-07	1.361450e-04	3.288932e-03
1.800000e+01	1.235276e+00	4.584854e-07	1.374848e-04	3.334809e-03
1.800000e+01	1.242462e+00	4.695550e-07	1.388394e-04	3.382002e-03
1.800000e+01	1.249648e+00	4.809464e-07	1.402143e-04	3.430081e-03
1.800000e+01	1.256834e+00	4.926420e-07	1.416153e-04	3.478733e-03
1.800000e+01	1.264020e+00	5.046234e-07	1.430528e-04	3.527532e-03
1.800000e+01	1.271206e+00	5.169033e-07	1.445373e-04	3.576262e-03
1.800000e+01	1.278392e+00	5.295027e-07	1.460777e-04	3.624802e-03
1.800000e+01	1.285578e+00	5.424060e-07	1.476802e-04	3.672842e-03
1.800000e+01	1.292764e+00	5.556186e-07	1.493501e-04	3.720243e-03
1.800000e+01	1.299950e+00	5.691507e-07	1.510924e-04	3.766906e-03
1.800000e+01	1.307136e+00	5.830078e-07	1.529116e-04	3.812712e-03
1.800000e+01	1.314322e+00	5.972195e-07	1.548119e-04	3.857711e-03
1.800000e+01	1.321508e+00	6.117890e-07	1.567972e-04	3.901785e-03
1.800000e+01	1.328693e+00	6.267084e-07	1.588710e-04	3.944763e-03
1.800000e+01	1.335879e+00	6.419946e-07	1.610364e-04	3.986642e-03
1.800000e+01	1.343065e+00	6.576579e-07	1.632958e-04	4.027401e-03
1.800000e+01	1.350251e+00	6.737214e-07	1.656513e-04	4.067107e-03
1.800000e+01	1.357437e+00	6.902157e-07	1.681050e-04	4.105860e-03
1.800000e+01	1.364623e+00	7.071367e-07	1.706612e-04	4.143511e-03
1.800000e+01	1.371809e+00	7.245011e-07	1.733240e-04	4.180039e-03
1.800000e+01	1.378995e+00	7.423286e-07	1.760940e-04	4.215525e-03
1.800000e+01	1.386181e+00	7.606008e-07	1.789656e-04	4.249983e-03
1.800000e+01	1.393367e+00	7.793060e-07	1.819318e-04	4.283507e-03
1.800000e+01	1.400553e+00	7.985477e-07	1.849517e-04	4.317601e-03
1.800000e+01	1.407739e+00	8.184174e-07	1.879513e-04	4.354412e-03
1.800000e+01	1.414925e+00	8.388101e-07	1.908661e-04	4.394758e-03
1.800000e+01	1.422111e+00	8.596004e-07	1.937007e-04	4.437776e-03
1.800000e+01	1.429296e+00	8.808016e-07	1.964987e-04	4.482480e-03
1.800000e+01	1.436482e+00	9.025123e-07	1.992969e-04	4.528481e-03
1.800000e+01	1.443668e+00	9.247280e-07	2.021080e-04	4.575415e-03
1.800000e+01	1.450854e+00	9.474133e-07	2.049366e-04	4.622959e-03
1.800000e+01	1.458040e+00	9.705494e-07	2.077882e-04	4.670858e-03
1.800000e+01	1.465226e+00	9.941305e-07	2.106721e-04	4.718852e-03
1.800000e+01	1.472412e+00	1.018184e-06	2.135972e-04	4.766841e-03
1.800000e+01	1.479598e+00	1.042730e-06	2.165711e-04	4.814724e-03
1.800000e+01	1.486784e+00	1.067758e-06	2.195995e-04	4.862298e-03
1.800000e+01	1.493970e+00	1.093281e-06	2.226878e-04	4.909479e-03
