# Q2	W	Sigma_L(GeV^-2)	Sigma_T(GeV^-2)	R
7.093000e+00	1.070000e+00	-4.182091e-09	4.626679e-05	-9.039077e-05
7.093000e+00	1.077186e+00	3.920074e-10	5.292461e-05	7.406902e-06
7.093000e+00	1.084372e+00	-8.037827e-10	6.269552e-05	-1.282042e-05
7.093000e+00	1.091558e+00	-2.591371e-09	7.448952e-05	-3.478839e-05
7.093000e+00	1.098744e+00	-2.485272e-09	8.742092e-05	-2.842880e-05
7.093000e+00	1.105930e+00	-1.291084e-10	1.007643e-04	-1.281291e-06
7.093000e+00	1.113116e+00	3.181224e-09	1.139287e-04	2.792293e-05
7.093000e+00	1.120302e+00	6.583524e-09	1.266459e-04	5.198372e-05
7.093000e+00	1.127487e+00	1.077047e-08	1.389453e-04	7.751589e-05
7.093000e+00	1.134673e+00	1.630384e-08	1.508944e-04	1.080480e-04
7.093000e+00	1.141859e+00	2.241013e-08	1.628793e-04	1.375873e-04
7.093000e+00	1.149045e+00	2.890800e-08	1.754423e-04	1.647722e-04
7.093000e+00	1.156231e+00	3.683384e-08	1.890498e-04	1.948368e-04
7.093000e+00	1.163417e+00	4.508653e-08	2.040993e-04	2.209049e-04
7.093000e+00	1.170603e+00	5.314690e-08	2.209315e-04	2.405583e-04
7.093000e+00	1.177789e+00	6.214533e-08	2.396361e-04	2.593321e-04
7.093000e+00	1.184975e+00	7.298738e-08	2.596754e-04	2.810716e-04
7.093000e+00	1.192161e+00	8.508920e-08	2.804630e-04	3.033883e-04
7.093000e+00	1.199347e+00	9.807047e-08	3.015362e-04	3.252362e-04
7.093000e+00	1.206533e+00	1.130413e-07	3.225741e-04	3.504353e-04
7.093000e+00	1.213719e+00	1.302584e-07	3.433215e-04	3.794064e-04
7.093000e+00	1.220905e+00	1.486588e-07	3.639649e-04	4.084426e-04
7.093000e+00	1.228090e+00	1.678928e-07	3.850526e-04	4.360255e-04
7.093000e+00	1.235276e+00	1.892985e-07	4.070788e-04	4.650168e-04
7.093000e+00	1.242462e+00	2.123568e-07	4.304022e-04	4.933916e-04
7.093000e+00	1.249648e+00	2.363162e-07	4.553002e-04	5.190338e-04
7.093000e+00	1.256834e+00	2.619271e-07	4.819146e-04	5.435135e-04
7.093000e+00	1.264020e+00	2.900457e-07	5.098956e-04	5.688335e-04
7.093000e+00	1.271206e+00	3.203639e-07	5.387925e-04	5.945961e-04
7.093000e+00	1.278392e+00	3.524618e-07	5.682125e-04	6.202992e-04
7.093000e+00	1.285578e+00	3.873844e-07	5.978366e-04	6.479770e-04
7.093000e+00	1.292764e+00	4.254677e-07	6.273877e-04	6.781575e-04
7.093000e+00	1.299950e+00	4.658458e-07	6.569112e-04	7.091458e-04
