W,GeV	Quantity	Uncertainty
1.1	0.00290684	0.000592744
1.11	0.004370464	0.000695768
1.12	0.00615908	0.000870312
1.13	0.008366528	0.000958728
1.14	0.011128776	0.00105132
1.15	0.014071152	0.001167304
1.16	0.017874928	0.001312928
1.17	0.022032096	0.00152616
1.18	0.027622752	0.001795528
1.19	0.034069576	0.001988208
1.2	0.04007792	0.002236992
1.21	0.044521096	0.002414056
1.22	0.047190904	0.002477552
1.23	0.049028008	0.00249648
1.24	0.048351512	0.002459296
1.25	0.047108024	0.002389896
1.26	0.045145248	0.002230304
1.27	0.04402216	0.00212976
1.28	0.0439696	0.00213716
1.29	0.043581568	0.002151536
1.3	0.043484848	0.002127824
1.31	0.044157416	0.002047688
1.32	0.04462068	0.00204032
1.33	0.045320264	0.002156
1.34	0.046548216	0.002196936
1.35	0.04733804	0.002145904
1.36	0.048388536	0.0021512
1.37	0.049984104	0.002183544
1.38	0.051430488	0.00219596
1.39	0.053759488	0.002198976
1.4	0.05557752	0.00218996
1.41	0.056644656	0.002208
1.42	0.0590310879999999	0.002250792
1.43	0.0624231440000002	0.002291464
1.44	0.0666770639999999	0.0023428
1.45	0.0713080159999998	0.00241012
1.46	0.077254776	0.002443288
1.47	0.085086952	0.002523416
1.48	0.0947590640000002	0.002706784
1.49	0.104406664	0.002903096
1.5	0.112875976	0.003046192
1.51	0.11724256	0.003115704
1.52	0.116393504	0.003045104
1.53	0.111793568	0.002902992
1.54	0.106215584	0.002764208
1.55	0.101888928	0.002650592
1.56	0.098573544	0.0025698
1.57	0.0955091440000001	0.002508728
1.58	0.094111848	0.00245256
1.59	0.093548408	0.002402864
1.6	0.095280136	0.002399784
1.61	0.097406904	0.00243992
1.62	0.101031776	0.002483328
1.63	0.105647752	0.00252772
1.64	0.111586992	0.002593936
1.65	0.118317208	0.00266984
1.66	0.125886464	0.002743184
1.67	0.134521984	0.002825256
1.68	0.143099168	0.002907792
1.69	0.150173352	0.002969944
1.7	0.15466688	0.003012016
1.71	0.157447416	0.003047592
1.72	0.15808024	0.003064672
1.73	0.156716712	0.003040792
1.74	0.154109904	0.002989968
1.75	0.15089848	0.002911408
1.76	0.148281296	0.002827904
1.77	0.146248384	0.002761632
1.78	0.144552328	0.002718112
1.79	0.144134672	0.002693208
1.8	0.145241568	0.002685688
1.81	0.146648664	0.002682648
1.82	0.148083224	0.002677648
1.83	0.149956592	0.00268544
1.84	0.152387648	0.002701768
1.85	0.154902512	0.002721704
1.86	0.15787412	0.002740424
1.87	0.161122928	0.0027572
1.88	0.164204888	0.002769368
1.89	0.166930272	0.002796136
1.9	0.169425752	0.002823672
1.91	0.172055688	0.00284248
1.92	0.174556872	0.002819472
1.93	0.17722548	0.002800864
1.94	0.179593952	0.002796512
1.95	0.18165996	0.002814608
1.96	0.18320356	0.002835584
1.97	0.184616104	0.002944032
1.98	0.186254072	0.003147192
1.99	0.187664344	0.003436432
2	0.188802304	0.003597
2.01	0.190177384	0.003690008
2.02	0.192117416	0.003753296
2.03	0.194251872	0.00381016
2.04	0.196429936	0.003810952
2.05	0.198340376	0.003776488
2.06	0.200399568	0.003778544
2.07	0.202289008	0.00382132
2.08	0.204106472	0.004034296
2.09	0.206091784	0.00491724
2.1	0.208383312	0.00606244
2.11	0.210898152	0.00700776
2.12	0.213543896	0.007052856
2.13	0.216156544	0.006808064
2.14	0.21811628	0.006294384
2.15	0.220070072	0.006115016
2.16	0.222327328	0.00595264799999999
2.17	0.224948664	0.005798184
2.18	0.227939928	0.006132976
2.19	0.230164592	0.007143968
2.2	0.23214152	0.007979208
2.21	0.227325584	0.007758632
2.22	0.2292416	0.007824072
2.23	0.231157712	0.007889416
2.24	0.233073728	0.007954856
2.25	0.23498784	0.008020296
2.26	0.236897144	0.00808564
2.27	0.238800544	0.008150176
2.28	0.24069704	0.00821552
2.29	0.242584632	0.00827996
2.3	0.24446332	0.008344304
2.31	0.246330296	0.008407744
2.32	0.248185272	0.008471184
2.33	0.250026536	0.008534528
2.34	0.251853992	0.008596968
2.35	0.25366564	0.008658408
2.36	0.255462288	0.008719752
2.37	0.257241224	0.008781096
2.38	0.259002448	0.008840536
2.39	0.260744768	0.00890088
2.4	0.26246928	0.00895932
2.41	0.26417308	0.009017664
2.42	0.265856976	0.009075008
2.43	0.26751916	0.009132352
2.44	0.269160536	0.009188696
2.45	0.270780104	0.00924404
2.46	0.27237696	0.009298384
2.47	0.273951816	0.009351728
2.48	0.275502056	0.009405072
2.49	0.277029488	0.009457416
2.5	0.278533112	0.009508664
