W,GeV	Quantity	Uncertainty
1.12	0.0134788145511018	0.000666703903697704
1.13	0.0174522976627257	0.000793099585635972
1.14	0.0211462633700421	0.000886120408933437
1.15	0.0246529309318314	0.000962971110667764
1.16	0.030936420669929	0.00110255026299703
1.17	0.0392062433462632	0.00127583497852145
1.18	0.048161932772018	0.0014552744851893
1.19	0.0589175764879318	0.00169698059594782
1.2	0.072916193845425	0.00202032319695973
1.21	0.0830883430603008	0.00221692417845653
1.22	0.0893549035345163	0.00232497462956226
1.23	0.0935310480068951	0.0024250142186638
1.24	0.0955209961210764	0.00246922913270716
1.25	0.0952786911222569	0.00269835954886617
1.26	0.0899745050414169	0.00285456588104695
1.27	0.0845126653444761	0.0027346382743975
1.28	0.0828105610728454	0.00265511795803052
1.29	0.0806083360517298	0.00259009282838865
1.3	0.0805050606090791	0.00260891645181837
1.31	0.0814141820379126	0.00284443618778241
1.32	0.0808515587261949	0.00300851638702749
1.33	0.0821384443830168	0.00304130825100822
1.34	0.0826003086927588	0.0030490184283035
1.35	0.0808425499515596	0.00297497144131721
1.36	0.0827660408391476	0.00300224057537726
1.37	0.0865170333334447	0.00307991784423286
1.38	0.085310510290098	0.00303596959351233
1.39	0.0856707162069896	0.00303646964013522
1.4	0.0913285969842677	0.00310446701699612
1.41	0.096926040273963	0.00316326009381109
1.42	0.0989674306490024	0.00314859715155666
1.43	0.100798132158025	0.00314243096019633
1.44	0.107459336620252	0.00321370079255521
1.45	0.116023604238755	0.00331115527525063
1.46	0.127982695533522	0.00349611986435523
1.47	0.139002822676778	0.00367643472957869
1.48	0.150514109947947	0.00385284301465997
1.49	0.170859237964909	0.00417204748756353
1.5	0.191664199909867	0.0044668889503368
1.51	0.197248723052843	0.00450294328376127
1.52	0.190718484040943	0.00435234102602396
1.53	0.180882115821706	0.00414417984708299
1.54	0.175308950128065	0.00400206605641726
1.55	0.16948238519452	0.00388681849997231
1.56	0.159917353803069	0.00375080801231645
1.57	0.153430098222121	0.00363895998535042
1.58	0.152880255004422	0.00360777392911325
1.59	0.152418839328109	0.00357764920663505
1.6	0.151145654123973	0.00356097546026567
1.61	0.153847204700534	0.00361021062915718
1.62	0.162333293608042	0.00372381203206011
1.63	0.168359311580301	0.00376736344659841
1.64	0.174586707766159	0.0038289225566798
1.65	0.187708364413209	0.00400003334895648
1.66	0.202726780092253	0.00416170249379958
1.67	0.214221287422158	0.00429303116867961
1.68	0.225550106141117	0.004439078101217
1.69	0.236190934345201	0.00458256981558444
1.7	0.246301562662429	0.00470887550062181
1.71	0.253457055715671	0.00478525208174308
1.72	0.249321262222919	0.00468926780941543
1.73	0.244385952370006	0.00457276892524812
1.74	0.238237090076432	0.00445015438039736
1.75	0.231267785778677	0.00432125965776695
1.76	0.222537957159327	0.00418045218056044
1.77	0.213938247204988	0.00404651597381202
1.78	0.211790561859402	0.00400299750606289
1.79	0.213156969808607	0.00399083318878267
1.8	0.215122110667737	0.00399698202053047
1.81	0.217751969816808	0.00403953531212476
1.82	0.220920300271808	0.00408430347055783
1.83	0.225805104581401	0.00413646407758413
1.84	0.231145514418548	0.00419114211685762
1.85	0.234294506188259	0.00420833189332208
1.86	0.236783605520747	0.00422327716225504
1.87	0.239914594746032	0.00425400403436903
1.88	0.244394144636418	0.0043091279759281
1.89	0.248998858648838	0.00435840788661446
1.9	0.252438287681021	0.00439539956538399
1.91	0.254086954388644	0.00441406361433659
1.92	0.255613961114843	0.00443029230847299
1.93	0.256900521962135	0.00443357459191224
1.94	0.256810673623345	0.00442098107620798
