# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.150000 9.93020830e-06 8.93158276e-06 9.98625541e-07 1.08798255e-06 1.21812962e-01 3.65438886e-02
1.200000 3.14847218e-05 2.85331508e-05 2.95157101e-06 3.22503442e-06 1.13027630e-01 3.39082891e-02
1.250000 3.63548591e-05 3.25705047e-05 3.78435437e-06 4.14790305e-06 1.27351513e-01 3.82054539e-02
1.300000 3.35952652e-05 2.93143204e-05 4.28094476e-06 4.70794957e-06 1.60602378e-01 4.81807134e-02
1.350000 4.32312276e-05 3.70934606e-05 6.13776700e-06 6.77429286e-06 1.82627686e-01 5.47883057e-02
1.400000 5.36595300e-05 4.64778268e-05 7.18170316e-06 7.95710714e-06 1.71202220e-01 5.13606660e-02
1.450000 6.36069141e-05 5.68666105e-05 6.74030361e-06 7.49896764e-06 1.31869432e-01 3.95608297e-02
1.500000 1.16634449e-04 1.08459942e-04 8.17450662e-06 9.13494087e-06 8.42240985e-02 2.52672295e-02
1.550000 1.12315982e-04 1.03419022e-04 8.89695967e-06 9.98951254e-06 9.65926026e-02 2.89777808e-02
1.600000 1.05663143e-04 9.59613645e-05 9.70177863e-06 1.09485817e-05 1.14093644e-01 3.42280931e-02
1.650000 1.42846212e-04 1.27553702e-04 1.52925102e-05 1.73517854e-05 1.36035138e-01 4.08105414e-02
1.700000 1.67023697e-04 1.45630575e-04 2.13931218e-05 2.44154053e-05 1.67653018e-01 5.02959053e-02
1.750000 1.84652276e-04 1.58097004e-04 2.65552717e-05 3.04959131e-05 1.92893681e-01 5.78681043e-02
1.800000 1.88791238e-04 1.59353764e-04 2.94374739e-05 3.40315217e-05 2.13559573e-01 6.40678718e-02
1.850000 1.98891674e-04 1.68054214e-04 3.08374596e-05 3.59046924e-05 2.13649462e-01 6.40948385e-02
1.900000 2.18309083e-04 1.85629164e-04 3.26799194e-05 3.83408090e-05 2.06545179e-01 6.19635538e-02
1.950000 2.37013899e-04 2.03023986e-04 3.39899129e-05 4.02039819e-05 1.98025773e-01 5.94077320e-02
2.000000 2.54826841e-04 2.20349306e-04 3.44775356e-05 4.11378283e-05 1.86693705e-01 5.60081115e-02
2.050000 2.72038922e-04 2.39983837e-04 3.20550854e-05 3.86058670e-05 1.60868613e-01 4.82605840e-02
2.100000 2.90596848e-04 2.59461086e-04 3.11357622e-05 3.78748877e-05 1.45975215e-01 4.37925644e-02
2.150000 3.09369203e-04 2.78595711e-04 3.07734916e-05 3.78363400e-05 1.35810920e-01 4.07432761e-02
2.200000 3.27809522e-04 2.96846138e-04 3.09633840e-05 3.85078082e-05 1.29723124e-01 3.89169371e-02
2.250000 3.45447274e-04 3.13855446e-04 3.15918284e-05 3.97736297e-05 1.26725951e-01 3.80177852e-02
2.300000 3.61929664e-04 3.29527580e-04 3.24020837e-05 4.13325514e-05 1.25429718e-01 3.76289153e-02
2.350000 3.77201802e-04 3.44071080e-04 3.31307222e-05 4.28604599e-05 1.24568621e-01 3.73705863e-02
2.400000 3.91498660e-04 3.58064029e-04 3.34346308e-05 4.39105401e-05 1.22633207e-01 3.67899621e-02
2.450000 4.05636600e-04 3.72526346e-04 3.31102535e-05 4.41932190e-05 1.18631124e-01 3.55893371e-02
2.500000 4.20933127e-04 3.88972050e-04 3.19610771e-05 4.34058543e-05 1.11591191e-01 3.34773573e-02
