# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.150000 1.68101533e-06 1.63177781e-06 4.92375214e-08 5.76400666e-08 3.53234775e-02 1.05970432e-02
1.200000 5.45161595e-06 5.27690285e-06 1.74713101e-07 2.05479473e-07 3.89394079e-02 1.16818224e-02
1.250000 6.35571200e-06 6.09388412e-06 2.61827878e-07 3.09467307e-07 5.07832609e-02 1.52349783e-02
1.300000 5.88605247e-06 5.54638770e-06 3.39664761e-07 4.03603346e-07 7.27686861e-02 2.18306058e-02
1.350000 7.64580453e-06 7.09556005e-06 5.50244475e-07 6.57542206e-07 9.26695288e-02 2.78008586e-02
1.400000 9.70639160e-06 8.98809813e-06 7.18293471e-07 8.63577614e-07 9.60801275e-02 2.88240382e-02
1.450000 1.18621306e-05 1.11187528e-05 7.43377795e-07 8.99536228e-07 8.09026198e-02 2.42707859e-02
1.500000 2.24291579e-05 2.14462875e-05 9.82870474e-07 1.19757895e-06 5.58408512e-02 1.67522554e-02
1.550000 2.18413855e-05 2.06885125e-05 1.15287300e-06 1.41510683e-06 6.84006079e-02 2.05201824e-02
1.600000 2.07692775e-05 1.94302799e-05 1.33899758e-06 1.65653807e-06 8.52554917e-02 2.55766475e-02
1.650000 2.83772571e-05 2.61561360e-05 2.22112110e-06 2.77099411e-06 1.05940500e-01 3.17821499e-02
1.700000 3.34928241e-05 3.02623245e-05 3.23049965e-06 4.06647095e-06 1.34374045e-01 4.03122136e-02
1.750000 3.74339956e-05 3.33144429e-05 4.11955267e-06 5.23530209e-06 1.57148121e-01 4.71444362e-02
1.800000 3.87121932e-05 3.40746373e-05 4.63755587e-06 5.95389557e-06 1.74731004e-01 5.24193011e-02
1.850000 4.13710004e-05 3.64907616e-05 4.88023877e-06 6.33387061e-06 1.73574634e-01 5.20723903e-02
1.900000 4.61027082e-05 4.09587473e-05 5.14396092e-06 6.75395508e-06 1.64896525e-01 4.94689574e-02
1.950000 5.08265594e-05 4.55522322e-05 5.27432721e-06 7.01130289e-06 1.53917878e-01 4.61753633e-02
2.000000 5.55395979e-05 5.03059269e-05 5.23367104e-06 7.04972879e-06 1.40137141e-01 4.20411424e-02
2.050000 6.05124124e-05 5.57831408e-05 4.72927159e-06 6.46077115e-06 1.15819422e-01 3.47458267e-02
2.100000 6.58818080e-05 6.14408995e-05 4.44090842e-06 6.15892471e-06 1.00241448e-01 3.00724343e-02
2.150000 7.14698850e-05 6.72443329e-05 4.22555210e-06 5.95538988e-06 8.85634465e-02 2.65690340e-02
2.200000 7.71469954e-05 7.30667334e-05 4.08026200e-06 5.85051448e-06 8.00708367e-02 2.40212510e-02
2.250000 8.28027510e-05 7.88161072e-05 3.98664374e-06 5.82259707e-06 7.38757250e-02 2.21627175e-02
2.300000 8.83689666e-05 8.44583962e-05 3.91057040e-06 5.82531139e-06 6.89725551e-02 2.06917665e-02
2.350000 9.38574730e-05 9.00352628e-05 3.82221018e-06 5.81536098e-06 6.45898151e-02 1.93769445e-02
2.400000 9.93776964e-05 9.56898030e-05 3.68789336e-06 5.73969759e-06 5.99823326e-02 1.79946998e-02
2.450000 1.05191857e-04 1.01697372e-04 3.49448445e-06 5.57270290e-06 5.47969211e-02 1.64390763e-02
2.500000 1.11726152e-04 1.08494388e-04 3.23176347e-06 5.29033422e-06 4.87613628e-02 1.46284088e-02
