# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.150000 4.12170360e-06 4.01083577e-06 1.10867831e-07 1.24402822e-07 3.10166831e-02 9.30500494e-03
1.200000 1.34150062e-05 1.30591586e-05 3.55847632e-07 4.00744813e-07 3.06868785e-02 9.20606354e-03
1.250000 1.56496938e-05 1.51717716e-05 4.77922239e-07 5.40323539e-07 3.56137407e-02 1.06841222e-02
1.300000 1.44247487e-05 1.38774118e-05 5.47336904e-07 6.21390630e-07 4.47771268e-02 1.34331380e-02
1.350000 1.85901593e-05 1.78203783e-05 7.69780992e-07 8.77845976e-07 4.92607935e-02 1.47782380e-02
1.400000 2.34876759e-05 2.26282851e-05 8.59390784e-07 9.84733596e-07 4.35178181e-02 1.30553454e-02
1.450000 2.87731978e-05 2.80207962e-05 7.52401581e-07 8.66560597e-07 3.09256236e-02 9.27768708e-03
1.500000 5.48612737e-05 5.40241023e-05 8.37171418e-07 9.69478536e-07 1.79452965e-02 5.38358896e-03
1.550000 5.28442159e-05 5.20170632e-05 8.27152691e-07 9.63490162e-07 1.85225790e-02 5.55677369e-03
1.600000 4.95070997e-05 4.86922832e-05 8.14816506e-07 9.55065186e-07 1.96143028e-02 5.88429083e-03
1.650000 6.64023185e-05 6.52419653e-05 1.16035324e-06 1.36917895e-06 2.09861696e-02 6.29585087e-03
1.700000 7.65086971e-05 7.50358944e-05 1.47280275e-06 1.75028531e-06 2.33259738e-02 6.99779214e-03
1.750000 8.36864510e-05 8.20149607e-05 1.67149025e-06 2.00158055e-06 2.44050662e-02 7.32151987e-03
1.800000 8.49089381e-05 8.31973746e-05 1.71156344e-06 2.06629421e-06 2.48360506e-02 7.45081518e-03
1.850000 8.99537843e-05 8.82773737e-05 1.67641064e-06 2.04150227e-06 2.31259969e-02 6.93779907e-03
1.900000 9.97719212e-05 9.80885989e-05 1.68332234e-06 2.06901703e-06 2.10933488e-02 6.32800465e-03
1.950000 1.09589255e-04 1.07907332e-04 1.68192311e-06 2.08787872e-06 1.93488124e-02 5.80464371e-03
2.000000 1.19459835e-04 1.17798395e-04 1.66144002e-06 2.08439821e-06 1.76946231e-02 5.30838694e-03
2.050000 1.30573044e-04 1.29049128e-04 1.52391601e-06 1.93361343e-06 1.49835452e-02 4.49506355e-03
2.100000 1.41835117e-04 1.40357450e-04 1.47766701e-06 1.89773906e-06 1.35207576e-02 4.05622728e-03
2.150000 1.53105401e-04 1.51632172e-04 1.47322906e-06 1.91666053e-06 1.26401970e-02 3.79205910e-03
2.200000 1.64093407e-04 1.62584858e-04 1.50854927e-06 1.98994193e-06 1.22394051e-02 3.67182152e-03
2.250000 1.74598836e-04 1.73021054e-04 1.57778210e-06 2.11229547e-06 1.22083147e-02 3.66249440e-03
2.300000 1.84553251e-04 1.82884933e-04 1.66831840e-06 2.26916814e-06 1.24076276e-02 3.72228827e-03
2.350000 1.94054105e-04 1.92287956e-04 1.76614861e-06 2.44334166e-06 1.27066807e-02 3.81200420e-03
2.400000 2.03402173e-04 2.01551221e-04 1.85095218e-06 2.60765325e-06 1.29379184e-02 3.88137553e-03
2.450000 2.13161670e-04 2.11254417e-04 1.90725304e-06 2.73988618e-06 1.29696042e-02 3.89088127e-03
2.500000 2.24193884e-04 2.22276239e-04 1.91764554e-06 2.81307963e-06 1.26557820e-02 3.79673461e-03
