# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.080000 2.26305703e-07 2.00839083e-07 2.54666200e-08 2.84422629e-08 1.41617172e-01 4.24851515e-02
1.084069 4.23980157e-07 3.76803192e-07 4.71769650e-08 5.27030158e-08 1.39868815e-01 4.19606444e-02
1.088138 5.54561591e-07 4.93708383e-07 6.08532073e-08 6.79989542e-08 1.37731010e-01 4.13193030e-02
1.092206 6.84983251e-07 6.10683318e-07 7.42999330e-08 8.30464624e-08 1.35989407e-01 4.07968222e-02
1.096275 8.35377859e-07 7.45525453e-07 8.98524059e-08 1.00456269e-07 1.34745593e-01 4.04236778e-02
1.100344 9.90153275e-07 8.84503929e-07 1.05649346e-07 1.18148833e-07 1.33576380e-01 4.00729141e-02
1.104413 1.15364828e-06 1.03145787e-06 1.22190416e-07 1.36683385e-07 1.32514754e-01 3.97544262e-02
1.108481 1.32651311e-06 1.18705497e-06 1.39458139e-07 1.56041129e-07 1.31452319e-01 3.94356957e-02
1.112550 1.51053864e-06 1.35294363e-06 1.57595007e-07 1.76382293e-07 1.30369284e-01 3.91107852e-02
1.116619 1.70778898e-06 1.53101056e-06 1.76778428e-07 1.97906378e-07 1.29265195e-01 3.87795585e-02
1.120688 1.92037342e-06 1.72317683e-06 1.97196588e-07 2.20825182e-07 1.28150041e-01 3.84450123e-02
1.124756 2.15020141e-06 1.93118050e-06 2.19020906e-07 2.45331964e-07 1.27037304e-01 3.81111912e-02
1.128825 2.40049026e-06 2.15797546e-06 2.42514801e-07 2.71723293e-07 1.25915840e-01 3.77747519e-02
1.132894 2.67362054e-06 2.40573816e-06 2.67882371e-07 3.00229596e-07 1.24797287e-01 3.74391861e-02
1.136963 2.97323182e-06 2.67780745e-06 2.95424367e-07 3.31189932e-07 1.23679517e-01 3.71038551e-02
1.141032 3.30311151e-06 2.97766059e-06 3.25450918e-07 3.64954279e-07 1.22564096e-01 3.67692289e-02
