# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.080000 2.22141414e-07 2.12493891e-07 9.64752300e-09 1.07747862e-08 5.07063338e-02 1.52119001e-02
1.084069 4.16726963e-07 3.98619855e-07 1.81071072e-08 2.02280744e-08 5.07452755e-02 1.52235827e-02
1.088138 5.45884047e-07 5.22226406e-07 2.36576416e-08 2.64356632e-08 5.06210772e-02 1.51863232e-02
1.092206 6.75122856e-07 6.45871647e-07 2.92512093e-08 3.26946385e-08 5.06209534e-02 1.51862860e-02
1.096275 8.24188324e-07 7.88374144e-07 3.58141803e-08 4.00407635e-08 5.07890369e-02 1.52367111e-02
1.100344 9.77831462e-07 9.35206085e-07 4.26253772e-08 4.76684310e-08 5.09710446e-02 1.52913134e-02
1.104413 1.14031341e-06 1.09042216e-06 4.98912552e-08 5.58088422e-08 5.11809502e-02 1.53542851e-02
1.108481 1.31233657e-06 1.25472229e-06 5.76142771e-08 6.44652000e-08 5.13780621e-02 1.54134186e-02
1.112550 1.49570559e-06 1.42984222e-06 6.58633695e-08 7.37151027e-08 5.15547111e-02 1.54664133e-02
1.116619 1.69249304e-06 1.61776815e-06 7.47248891e-08 8.36557509e-08 5.17105934e-02 1.55131780e-02
1.120688 1.90481418e-06 1.82052107e-06 8.42931077e-08 9.43933211e-08 5.18496175e-02 1.55548852e-02
1.124756 2.13458548e-06 2.03992695e-06 9.46585283e-08 1.06029891e-07 5.19772977e-02 1.55931893e-02
1.128825 2.38504924e-06 2.27909426e-06 1.05954975e-07 1.18716197e-07 5.20891998e-02 1.56267599e-02
1.132894 2.65860284e-06 2.54030794e-06 1.18294904e-07 1.32579203e-07 5.21902095e-02 1.56570629e-02
1.136963 2.95891559e-06 2.82707801e-06 1.31837575e-07 1.47798498e-07 5.22795965e-02 1.56838790e-02
1.141032 3.28980945e-06 3.14305753e-06 1.46751919e-07 1.64564725e-07 5.23581651e-02 1.57074495e-02
1.145100 3.65492076e-06 3.49171398e-06 1.63206778e-07 1.83068659e-07 5.24294543e-02 1.57288363e-02
1.149169 4.05923995e-06 3.87779930e-06 1.81440646e-07 2.03579454e-07 5.24987083e-02 1.57496125e-02
1.153238 4.50728132e-06 4.30557235e-06 2.01708967e-07 2.26385617e-07 5.25796800e-02 1.57739040e-02
1.157307 5.00383436e-06 4.77964880e-06 2.24185561e-07 2.51684367e-07 5.26575021e-02 1.57972506e-02
1.161375 5.55366499e-06 5.30467022e-06 2.48994769e-07 2.79617611e-07 5.27115917e-02 1.58134775e-02
1.165444 6.16191951e-06 5.88535047e-06 2.76569040e-07 3.10673546e-07 5.27876032e-02 1.58362810e-02
1.169513 6.83166426e-06 6.52443782e-06 3.07226435e-07 3.45212434e-07 5.29106788e-02 1.58732037e-02
1.173582 7.56483955e-06 7.22401189e-06 3.40827654e-07 3.83080933e-07 5.30288347e-02 1.59086504e-02
1.177650 8.36037292e-06 7.98277458e-06 3.77598337e-07 4.24535857e-07 5.31814913e-02 1.59544474e-02
1.181719 9.21367229e-06 8.79618996e-06 4.17482337e-07 4.69517449e-07 5.33773658e-02 1.60132097e-02
1.185788 1.01126576e-05 9.65262178e-06 4.60035808e-07 5.17529764e-07 5.36154607e-02 1.60846382e-02
1.189857 1.10382109e-05 1.05335356e-05 5.04675320e-07 5.67919217e-07 5.39153460e-02 1.61746038e-02
1.193926 1.19815525e-05 1.14303455e-05 5.51207035e-07 6.20470012e-07 5.42826997e-02 1.62848099e-02
1.197994 1.29089638e-05 1.23108997e-05 5.98064141e-07 6.73420143e-07 5.47011316e-02 1.64103395e-02
1.202063 1.37866377e-05 1.31425870e-05 6.44050728e-07 7.25423230e-07 5.51963804e-02 1.65589141e-02
1.206132 1.45818746e-05 1.38940041e-05 6.87870531e-07 7.75018175e-07 5.57807649e-02 1.67342295e-02
1.210201 1.52636660e-05 1.45356543e-05 7.28011698e-07 8.20499078e-07 5.64473440e-02 1.69342032e-02
1.214269 1.58087493e-05 1.50449534e-05 7.63795874e-07 8.61097574e-07 5.72349779e-02 1.71704934e-02
1.218338 1.62035542e-05 1.54099374e-05 7.93616845e-07 8.94997904e-07 5.80792694e-02 1.74237808e-02
1.222407 1.64456142e-05 1.56316251e-05 8.13989108e-07 9.18261946e-07 5.87438569e-02 1.76231571e-02
1.226476 1.65505155e-05 1.57074815e-05 8.43034039e-07 9.51328983e-07 6.05653418e-02 1.81696025e-02
1.230544 1.65267003e-05 1.56746971e-05 8.52003194e-07 9.61756745e-07 6.13572779e-02 1.84071834e-02
1.234613 1.64035104e-05 1.55447777e-05 8.58732727e-07 9.69663866e-07 6.23787542e-02 1.87136263e-02
1.238682 1.62093308e-05 1.53371989e-05 8.72131910e-07 9.85111385e-07 6.42302022e-02 1.92690607e-02
1.242751 1.59653342e-05 1.50870193e-05 8.78314866e-07 9.92416887e-07 6.57795198e-02 1.97338560e-02
1.246819 1.56935567e-05 1.48099144e-05 8.83642265e-07 9.98761823e-07 6.74387303e-02 2.02316191e-02
