# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.080000 2.16461816e-07 2.10528962e-07 5.93285437e-09 6.62607772e-09 3.14734735e-02 9.44204206e-03
1.084069 4.06555395e-07 3.95429663e-07 1.11257326e-08 1.24289399e-08 3.14314809e-02 9.42944426e-03
1.088138 5.33218831e-07 5.18696239e-07 1.45225918e-08 1.62279213e-08 3.12859821e-02 9.38579464e-03
1.092206 6.60245957e-07 6.42308115e-07 1.79378425e-08 2.00494711e-08 3.12147250e-02 9.36441749e-03
1.096275 8.06940980e-07 7.85003094e-07 2.19378854e-08 2.45268683e-08 3.12442951e-02 9.37328852e-03
1.100344 9.58445457e-07 9.32367106e-07 2.60783508e-08 2.91637083e-08 3.12792119e-02 9.38376357e-03
1.104413 1.11894656e-06 1.08846296e-06 3.04836052e-08 3.40992567e-08 3.13278981e-02 9.39836942e-03
1.108481 1.28917323e-06 1.25402051e-06 3.51527254e-08 3.93327417e-08 3.13653097e-02 9.40959291e-03
1.112550 1.47093446e-06 1.43080938e-06 4.01250785e-08 4.49084872e-08 3.13867715e-02 9.41603146e-03
1.116619 1.66630869e-06 1.62085852e-06 4.54501666e-08 5.08822143e-08 3.13921380e-02 9.41764139e-03
1.120688 1.87742302e-06 1.82624131e-06 5.11817122e-08 5.73144344e-08 3.13838232e-02 9.41514697e-03
1.124756 2.10621536e-06 2.04884489e-06 5.73704747e-08 6.42624100e-08 3.13651904e-02 9.40955711e-03
1.128825 2.35594741e-06 2.29185471e-06 6.40926939e-08 7.18120205e-08 3.13335833e-02 9.40007498e-03
1.132894 2.62905262e-06 2.55764191e-06 7.14107075e-08 8.00336648e-08 3.12919742e-02 9.38759226e-03
1.136963 2.92923735e-06 2.84982329e-06 7.94140627e-08 8.90283302e-08 3.12399476e-02 9.37198429e-03
1.141032 3.26037332e-06 3.17217652e-06 8.81968007e-08 9.89021631e-08 3.11780138e-02 9.35340413e-03
1.145100 3.62616034e-06 3.52830892e-06 9.78514224e-08 1.09759710e-07 3.11083049e-02 9.33249148e-03
1.149169 4.03165382e-06 3.92314334e-06 1.08510479e-07 1.21750581e-07 3.10339365e-02 9.31018095e-03
1.153238 4.48143978e-06 4.36112531e-06 1.20314470e-07 1.35033488e-07 3.09629921e-02 9.28889762e-03
1.157307 4.98043457e-06 4.84708167e-06 1.33352896e-07 1.49710085e-07 3.08866438e-02 9.26599313e-03
1.161375 5.53357047e-06 5.38588663e-06 1.47683849e-07 1.65846878e-07 3.07928647e-02 9.23785940e-03
1.165444 6.14605448e-06 5.98250871e-06 1.63545775e-07 1.83713064e-07 3.07083655e-02 9.21250965e-03
1.169513 6.82104254e-06 6.63993706e-06 1.81105482e-07 2.03497672e-07 3.06475302e-02 9.19425907e-03
1.173582 7.56074828e-06 7.36049086e-06 2.00257414e-07 2.25083840e-07 3.05800040e-02 9.17400119e-03
1.177650 8.36416123e-06 8.14305172e-06 2.21109503e-07 2.48594613e-07 3.05284335e-02 9.15853006e-03
1.181719 9.22678854e-06 8.98318641e-06 2.43602135e-07 2.73964771e-07 3.04975048e-02 9.14925145e-03
1.185788 1.01366281e-05 9.86917865e-06 2.67449433e-07 3.00874496e-07 3.04862751e-02 9.14588254e-03
1.189857 1.10744818e-05 1.07821946e-05 2.92287287e-07 3.28915563e-07 3.05054376e-02 9.15163128e-03
1.193926 1.20314875e-05 1.17135069e-05 3.17980547e-07 3.57937003e-07 3.05576293e-02 9.16728879e-03
1.197994 1.29737767e-05 1.26301704e-05 3.43606230e-07 3.86900569e-07 3.06330442e-02 9.18991325e-03
1.202063 1.38670862e-05 1.34986183e-05 3.68467982e-07 4.15022020e-07 3.07455187e-02 9.22365560e-03
1.206132 1.46781996e-05 1.42863754e-05 3.91824153e-07 4.41465110e-07 3.09011277e-02 9.27033830e-03
1.210201 1.53756115e-05 1.49627869e-05 4.12824596e-07 4.65270271e-07 3.10951612e-02 9.32854836e-03
1.214269 1.59352958e-05 1.55041893e-05 4.31106558e-07 4.86026207e-07 3.13480569e-02 9.40441707e-03
1.218338 1.63435715e-05 1.58977764e-05 4.45795080e-07 5.02743440e-07 3.16235068e-02 9.48705205e-03
1.222407 1.65990857e-05 1.61441012e-05 4.54984501e-07 5.13268481e-07 3.17929425e-02 9.53788275e-03
1.226476 1.67088793e-05 1.62400520e-05 4.68827304e-07 5.29052187e-07 3.25770009e-02 9.77310026e-03
1.230544 1.66949680e-05 1.62236277e-05 4.71340335e-07 5.32057567e-07 3.27952279e-02 9.83856836e-03
1.234613 1.65788966e-05 1.61063850e-05 4.72511638e-07 5.33550717e-07 3.31266586e-02 9.93799759e-03
1.238682 1.63854379e-05 1.59082020e-05 4.77235819e-07 5.39058867e-07 3.38855934e-02 1.01656780e-02
1.242751 1.61431216e-05 1.56652266e-05 4.77894982e-07 5.39978393e-07 3.44698743e-02 1.03409623e-02
1.246819 1.58716119e-05 1.53936151e-05 4.77996738e-07 5.40269420e-07 3.50969811e-02 1.05290943e-02
1.250888 1.55888949e-05 1.51109472e-05 4.77947721e-07 5.40391097e-07 3.57615635e-02 1.07284690e-02
1.254957 1.53151668e-05 1.48368964e-05 4.78270434e-07 5.40934223e-07 3.64587181e-02 1.09376154e-02
1.259026 1.50556194e-05 1.45765499e-05 4.79069472e-07 5.42017562e-07 3.71842147e-02 1.11552644e-02
1.263095 1.48231459e-05 1.43425079e-05 4.80637931e-07 5.43973378e-07 3.79273542e-02 1.13782063e-02
1.267163 1.46225055e-05 1.41393678e-05 4.83137733e-07 5.46985879e-07 3.86853139e-02 1.16055942e-02
1.271232 1.44567065e-05 1.39699913e-05 4.86715267e-07 5.51221939e-07 3.94575722e-02 1.18372717e-02
1.275301 1.43305155e-05 1.38389754e-05 4.91540120e-07 5.56874949e-07 4.02396083e-02 1.20718825e-02
1.279370 1.42433596e-05 1.37457937e-05 4.97565861e-07 5.63893765e-07 4.10230050e-02 1.23069015e-02
1.283438 1.41971760e-05 1.36923467e-05 5.04829266e-07 5.72321517e-07 4.17986434e-02 1.25395930e-02
1.287507 1.41916392e-05 1.36782979e-05 5.13341270e-07 5.82172107e-07 4.25617361e-02 1.27685208e-02
1.291576 1.42262455e-05 1.37031276e-05 5.23117944e-07 5.93465295e-07 4.33087477e-02 1.29926243e-02
1.295645 1.43007551e-05 1.37665912e-05 5.34163856e-07 6.06207831e-07 4.40347085e-02 1.32104126e-02
1.299713 1.44144043e-05 1.38679966e-05 5.46407718e-07 6.20320374e-07 4.47303524e-02 1.34191057e-02
1.303782 1.45666992e-05 1.40069019e-05 5.59797300e-07 6.35745130e-07 4.53879904e-02 1.36163971e-02
1.307851 1.47567102e-05 1.41823933e-05 5.74316929e-07 6.52465771e-07 4.60053362e-02 1.38016009e-02
1.311920 1.49835668e-05 1.43936060e-05 5.89960845e-07 6.70477226e-07 4.65816022e-02 1.39744806e-02
1.315989 1.52462751e-05 1.46395880e-05 6.06687062e-07 6.89733247e-07 4.71142526e-02 1.41342758e-02
1.320057 1.55435405e-05 1.49191580e-05 6.24382445e-07 7.10106616e-07 4.75969633e-02 1.42790890e-02
1.324126 1.58744350e-05 1.52314542e-05 6.42980831e-07 7.31523387e-07 4.80271535e-02 1.44081460e-02
1.328195 1.62365075e-05 1.55742018e-05 6.62305695e-07 7.53783913e-07 4.83995213e-02 1.45198564e-02
1.332264 1.66277743e-05 1.59455578e-05 6.82216471e-07 7.76729209e-07 4.87113224e-02 1.46133967e-02
1.336332 1.70454448e-05 1.63429321e-05 7.02512703e-07 8.00131851e-07 4.89588922e-02 1.46876677e-02
1.340401 1.74854813e-05 1.67625860e-05 7.22895286e-07 8.23651691e-07 4.91363140e-02 1.47408942e-02
1.344470 1.79446145e-05 1.72014985e-05 7.43116010e-07 8.47006090e-07 4.92402503e-02 1.47720751e-02
1.348539 1.84176390e-05 1.76547589e-05 7.62880050e-07 8.69858833e-07 4.92705019e-02 1.47811506e-02
1.352607 1.88999457e-05 1.81180257e-05 7.81920051e-07 8.91904537e-07 4.92274685e-02 1.47682405e-02
1.356676 1.93860871e-05 1.85861774e-05 7.99909695e-07 9.12770063e-07 4.91101556e-02 1.47330467e-02
